SENSE daaa 1 25-04-2019 04:47:17.201 T: 27.20639991760253 [C]; A:[-20, -8, 230]; H: 71.67486572265625
SENSE daab 1 25-04-2019 04:47:17.196 T: 27.45599937438964 [C]; A:[8, -24, 238]; H: 71.0721435546875
SENSE daaa 2 25-04-2019 04:47:17.570 T: 27.14399909973144 [C]; A:[-16, -12, 228]; H: 71.7435302734375
SENSE daac 1 25-04-2019 04:47:17.414 T: 29.39039993286132 [C]; A:[0, 0, 0]; H: 69.14190673828125
SENSE daaa 3 25-04-2019 04:47:17.962 T: 27.14399909973144 [C]; A:[-12, 0, 230]; H: 71.70538330078125
SENSE daab 2 25-04-2019 04:47:17.886 T: 27.45599937438964 [C]; A:[2, -38, 242]; H: 71.03399658203125
SENSE daaa 4 25-04-2019 04:47:18.305 T: 27.14399909973144 [C]; A:[-14, -8, 230]; H: 71.70538330078125
SENSE daab 3 25-04-2019 04:47:18.387 T: 27.45599937438964 [C]; A:[4, -34, 246]; H: 71.03399658203125
SENSE daac 2 25-04-2019 04:47:18.237 T: 29.45279884338378 [C]; A:[42, 18, 230]; H: 69.08087158203125
SENSE daaa 5 25-04-2019 04:47:18.638 T: 27.20639991760253 [C]; A:[-8, -8, 226]; H: 71.70538330078125
SENSE daab 4 25-04-2019 04:47:18.827 T: 27.45599937438964 [C]; A:[6, -34, 242]; H: 71.0721435546875
SENSE daaa 6 25-04-2019 04:47:19.040 T: 27.14399909973144 [C]; A:[-16, -8, 230]; H: 71.70538330078125
SENSE daaa 7 25-04-2019 04:47:19.393 T: 27.14399909973144 [C]; A:[-18, -8, 228]; H: 71.70538330078125
SENSE daab 5 25-04-2019 04:47:19.337 T: 27.45599937438964 [C]; A:[4, -40, 242]; H: 71.03399658203125
SENSE daac 3 25-04-2019 04:47:19.192 T: 29.39039993286132 [C]; A:[42, 16, 228]; H: 68.9969482421875
SENSE daaa 8 25-04-2019 04:47:19.740 T: 27.14399909973144 [C]; A:[-12, -10, 228]; H: 71.70538330078125
SENSE daab 6 25-04-2019 04:47:19.779 T: 27.45599937438964 [C]; A:[4, -40, 248]; H: 71.03399658203125
SENSE daaa 9 25-04-2019 04:47:20.123 T: 27.14399909973144 [C]; A:[-14, -8, 232]; H: 71.70538330078125
SENSE daab 7 25-04-2019 04:47:20.307 T: 27.45599937438964 [C]; A:[2, -34, 244]; H: 71.0111083984375
SENSE daaa 10 25-04-2019 04:47:20.455 T: 27.20639991760253 [C]; A:[-16, -6, 230]; H: 71.70538330078125
SENSE daac 4 25-04-2019 04:47:20.152 T: 29.45279884338378 [C]; A:[40, 16, 232]; H: 68.88250732421875
SENSE daab 8 25-04-2019 04:47:20.758 T: 27.39359855651855 [C]; A:[2, -38, 244]; H: 71.0111083984375
SENSE daaa 11 25-04-2019 04:47:20.838 T: 27.14399909973144 [C]; A:[-16, -8, 232]; H: 71.70538330078125
SENSE daaa 12 25-04-2019 04:47:21.260 T: 27.14399909973144 [C]; A:[-18, -6, 236]; H: 71.70538330078125
SENSE daab 9 25-04-2019 04:47:21.243 T: 27.45599937438964 [C]; A:[6, -42, 246]; H: 70.9805908203125
SENSE daac 5 25-04-2019 04:47:21.098 T: 29.45279884338378 [C]; A:[40, 20, 232]; H: 68.859619140625
SENSE daaa 13 25-04-2019 04:47:21.593 T: 27.14399909973144 [C]; A:[-10, -8, 210]; H: 71.70538330078125
SENSE daab 10 25-04-2019 04:47:21.700 T: 27.45599937438964 [C]; A:[8, -36, 244]; H: 71.0111083984375
SENSE daaa 14 25-04-2019 04:47:21.966 T: 27.20639991760253 [C]; A:[-12, -8, 226]; H: 71.73590087890625
