SENSE daaa 1 20-04-2019 14:37:30.875 T: 31.07519912719726 [C]; A:[0, 0, 0]; H: 67.7457275390625
SENSE daab 1 20-04-2019 14:37:30.874 T: 30.13919830322265 [C]; A:[0, 0, 0]; H: 68.50103759765625
SENSE daaa 2 20-04-2019 14:37:31.118 T: 31.07519912719726 [C]; A:[-4, 16, 240]; H: 67.7457275390625
SENSE daaa 3 20-04-2019 14:37:31.357 T: 31.07519912719726 [C]; A:[0, 14, 234]; H: 67.7457275390625
SENSE daaa 4 20-04-2019 14:37:31.600 T: 31.07519912719726 [C]; A:[0, 10, 236]; H: 67.7457275390625
SENSE daac 1 20-04-2019 14:37:31.111 T: 28.57919883728027 [C]; A:[0, 0, 0]; H: 74.57403564453125
SENSE daaa 5 20-04-2019 14:37:31.848 T: 31.07519912719726 [C]; A:[-4, 12, 238]; H: 67.7457275390625
SENSE daab 3 20-04-2019 14:37:31.859 T: 30.13919830322265 [C]; A:[82, -80, 204]; H: 68.50103759765625
SENSE daaa 6 20-04-2019 14:37:32.092 T: 31.07519912719726 [C]; A:[-4, 16, 236]; H: 67.7457275390625
SENSE daac 2 20-04-2019 14:37:31.548 T: 28.57919883728027 [C]; A:[14, -4, 194]; H: 74.57403564453125
SENSE daaa 7 20-04-2019 14:37:32.336 T: 31.07519912719726 [C]; A:[-4, 14, 240]; H: 67.7457275390625
SENSE daab 4 20-04-2019 14:37:32.484 T: 30.13919830322265 [C]; A:[86, -86, 202]; H: 68.50103759765625
SENSE daaa 8 20-04-2019 14:37:32.600 T: 31.07519912719726 [C]; A:[-8, 18, 238]; H: 67.7457275390625
SENSE daaa 9 20-04-2019 14:37:32.844 T: 31.07519912719726 [C]; A:[-4, 16, 238]; H: 67.7457275390625
SENSE daac 3 20-04-2019 14:37:32.098 T: 28.57919883728027 [C]; A:[14, -8, 192]; H: 74.57403564453125
SENSE daad 3 20-04-2019 14:37:32.212 T: 29.20319938659667 [C]; A:[18, -22, 248]; H: 70.14898681640625
SENSE daaa 10 20-04-2019 14:37:33.092 T: 31.07519912719726 [C]; A:[-8, 10, 238]; H: 67.7457275390625
SENSE daab 5 20-04-2019 14:37:33.130 T: 30.13919830322265 [C]; A:[88, -82, 204]; H: 68.50103759765625
SENSE daaa 12 20-04-2019 14:37:33.545 T: 31.13759994506835 [C]; A:[-6, 14, 236]; H: 67.7152099609375
SENSE daab 6 20-04-2019 14:37:33.597 T: 30.13919830322265 [C]; A:[84, -80, 200]; H: 68.50103759765625
SENSE daaa 13 20-04-2019 14:37:33.789 T: 31.07519912719726 [C]; A:[0, 14, 238]; H: 67.7152099609375
SENSE daac 4 20-04-2019 14:37:32.724 T: 28.57919883728027 [C]; A:[14, 0, 204]; H: 74.57403564453125
SENSE daaa 14 20-04-2019 14:37:34.039 T: 31.07519912719726 [C]; A:[0, 14, 232]; H: 67.7152099609375
SENSE daab 7 20-04-2019 14:37:34.143 T: 30.13919830322265 [C]; A:[90, -76, 202]; H: 68.47052001953125
SENSE daaa 15 20-04-2019 14:37:34.282 T: 31.07519912719726 [C]; A:[-6, 16, 236]; H: 67.7152099609375
SENSE daaa 16 20-04-2019 14:37:34.530 T: 31.07519912719726 [C]; A:[-8, 14, 236]; H: 67.7152099609375
SENSE daab 8 20-04-2019 14:37:34.610 T: 30.13919830322265 [C]; A:[92, -82, 210]; H: 68.47052001953125
SENSE daaa 17 20-04-2019 14:37:34.774 T: 31.13759994506835 [C]; A:[0, 14, 242]; H: 67.6846923828125
SENSE daaa 18 20-04-2019 14:37:35.018 T: 31.13759994506835 [C]; A:[0, 16, 236]; H: 67.6846923828125
SENSE daab 9 20-04-2019 14:37:35.102 T: 30.13919830322265 [C]; A:[86, -80, 200]; H: 68.432373046875
SENSE daaa 19 20-04-2019 14:37:35.262 T: 31.07519912719726 [C]; A:[-4, 20, 238]; H: 67.6846923828125
SENSE daaa 20 20-04-2019 14:37:35.506 T: 31.13759994506835 [C]; A:[0, 12, 236]; H: 67.6846923828125
SENSE daab 10 20-04-2019 14:37:35.579 T: 30.13919830322265 [C]; A:[84, -84, 208]; H: 68.432373046875
SENSE daaa 21 20-04-2019 14:37:35.760 T: 31.13759994506835 [C]; A:[0, 14, 242]; H: 67.6846923828125
SENSE daac 6 20-04-2019 14:37:33.830 T: 28.57919883728027 [C]; A:[14, 0, 204]; H: 74.60455322265625
SENSE daaa 22 20-04-2019 14:37:36.008 T: 31.13759994506835 [C]; A:[0, 18, 224]; H: 67.6846923828125
SENSE daad 6 20-04-2019 14:37:33.951 T: 29.20319938659667 [C]; A:[22, -20, 250]; H: 70.171875
SENSE daab 11 20-04-2019 14:37:36.205 T: 30.13919830322265 [C]; A:[84, -76, 210]; H: 68.432373046875
SENSE daaa 23 20-04-2019 14:37:36.262 T: 31.13759994506835 [C]; A:[-4, 22, 234]; H: 67.6846923828125
SENSE daaa 26 20-04-2019 14:37:36.944 T: 31.07519912719726 [C]; A:[0, 16, 234]; H: 67.6846923828125
SENSE daab 13 20-04-2019 14:37:37.129 T: 30.13919830322265 [C]; A:[88, -80, 208]; H: 68.47052001953125
SENSE daaa 27 20-04-2019 14:37:37.187 T: 31.07519912719726 [C]; A:[-4, 14, 236]; H: 67.6846923828125
SENSE daac 8 20-04-2019 14:37:34.869 T: 28.64159965515136 [C]; A:[16, 0, 202]; H: 74.60455322265625
SENSE daab 14 20-04-2019 14:37:37.665 T: 30.13919830322265 [C]; A:[88, -82, 202]; H: 68.47052001953125
SENSE daaa 29 20-04-2019 14:37:37.729 T: 31.13759994506835 [C]; A:[0, 12, 232]; H: 67.6846923828125
SENSE daaa 30 20-04-2019 14:37:37.975 T: 31.13759994506835 [C]; A:[0, 16, 238]; H: 67.6846923828125
SENSE daac 9 20-04-2019 14:37:35.337 T: 28.57919883728027 [C]; A:[16, -10, 198]; H: 74.60455322265625
SENSE daaa 31 20-04-2019 14:37:38.224 T: 31.13759994506835 [C]; A:[-6, 20, 232]; H: 67.66180419921875
SENSE daab 15 20-04-2019 14:37:38.217 T: 30.13919830322265 [C]; A:[88, -84, 212]; H: 68.50103759765625
SENSE daaa 32 20-04-2019 14:37:38.471 T: 31.13759994506835 [C]; A:[-8, 10, 230]; H: 67.66180419921875
SENSE daad 10 20-04-2019 14:37:35.937 T: 29.20319938659667 [C]; A:[18, -18, 246]; H: 70.14898681640625
SENSE daaa 33 20-04-2019 14:37:38.715 T: 31.13759994506835 [C]; A:[0, 18, 234]; H: 67.66180419921875
SENSE daab 16 20-04-2019 14:37:38.798 T: 30.13919830322265 [C]; A:[84, -80, 204]; H: 68.50103759765625
SENSE daaa 34 20-04-2019 14:37:38.959 T: 31.13759994506835 [C]; A:[0, 10, 234]; H: 67.66180419921875
SENSE daaa 35 20-04-2019 14:37:39.208 T: 31.13759994506835 [C]; A:[-6, 12, 232]; H: 67.66180419921875
SENSE daab 17 20-04-2019 14:37:39.260 T: 30.20159912109375 [C]; A:[84, -80, 198]; H: 68.50103759765625
SENSE daaa 36 20-04-2019 14:37:39.501 T: 31.13759994506835 [C]; A:[0, 12, 236]; H: 67.63128662109375
SENSE daac 11 20-04-2019 14:37:36.439 T: 28.57919883728027 [C]; A:[14, -8, 196]; H: 74.60455322265625
SENSE daac 12 20-04-2019 14:37:36.896 T: 28.57919883728027 [C]; A:[18, 0, 202]; H: 74.60455322265625
SENSE daaa 37 20-04-2019 14:37:39.745 T: 31.07519912719726 [C]; A:[0, 14, 230]; H: 67.63128662109375
SENSE daac 13 20-04-2019 14:37:37.361 T: 28.57919883728027 [C]; A:[14, -8, 202]; H: 74.60455322265625
SENSE daad 13 20-04-2019 14:37:37.477 T: 29.20319938659667 [C]; A:[18, -20, 240]; H: 70.14898681640625
SENSE daac 14 20-04-2019 14:37:37.897 T: 28.51679992675781 [C]; A:[16, -4, 198]; H: 74.60455322265625
SENSE daaa 38 20-04-2019 14:37:39.994 T: 31.13759994506835 [C]; A:[0, 16, 236]; H: 67.63128662109375
SENSE daad 14 20-04-2019 14:37:38.019 T: 29.20319938659667 [C]; A:[16, -22, 252]; H: 70.14898681640625
SENSE daac 15 20-04-2019 14:37:38.454 T: 28.57919883728027 [C]; A:[16, -12, 198]; H: 74.63507080078125
SENSE daaa 39 20-04-2019 14:37:40.258 T: 31.13759994506835 [C]; A:[-4, 14, 236]; H: 67.63128662109375
SENSE daab 18 20-04-2019 14:37:40.277 T: 30.20159912109375 [C]; A:[84, -78, 204]; H: 68.50103759765625
SENSE daaa 40 20-04-2019 14:37:40.502 T: 31.13759994506835 [C]; A:[0, 14, 232]; H: 67.63128662109375
SENSE daac 16 20-04-2019 14:37:39.030 T: 28.57919883728027 [C]; A:[16, -8, 246]; H: 74.63507080078125
SENSE daaa 41 20-04-2019 14:37:40.750 T: 31.13759994506835 [C]; A:[0, 12, 234]; H: 67.60076904296875
SENSE daac 17 20-04-2019 14:37:39.497 T: 28.57919883728027 [C]; A:[12, -6, 208]; H: 74.63507080078125
SENSE daad 17 20-04-2019 14:37:39.613 T: 29.20319938659667 [C]; A:[18, -20, 252]; H: 70.14898681640625
SENSE daaa 42 20-04-2019 14:37:41.000 T: 31.13759994506835 [C]; A:[0, 16, 234]; H: 67.60076904296875
SENSE daab 19 20-04-2019 14:37:40.973 T: 30.20159912109375 [C]; A:[86, -78, 200]; H: 68.50103759765625
SENSE daaa 43 20-04-2019 14:37:41.243 T: 31.13759994506835 [C]; A:[-8, 14, 236]; H: 67.577880859375
