SENSE daaa 1 19-04-2019 11:39:30.920 T: 29.45279884338378 [C]; A:[80, -70, 234]; H: 73.33807373046875
SENSE daab 1 19-04-2019 11:39:30.912 T: 30.82559967041015 [C]; A:[-20, 0, 212]; H: 72.11737060546875
SENSE daac 1 19-04-2019 11:39:31.111 T: 29.88959884643554 [C]; A:[0, 0, 0]; H: 76.11517333984375
SENSE daad 1 19-04-2019 11:39:31.238 T: 30.7007999420166 [C]; A:[0, 0, 0]; H: 73.28466796875
SENSE daab 2 19-04-2019 11:39:31.689 T: 30.82559967041015 [C]; A:[-24, 8, 222]; H: 72.14788818359375
SENSE daac 2 19-04-2019 11:39:32.028 T: 29.88959884643554 [C]; A:[-6, 4, 198]; H: 76.11517333984375
SENSE daab 3 19-04-2019 11:39:32.467 T: 30.88799858093261 [C]; A:[-30, 10, 224]; H: 72.14788818359375
SENSE daad 2 19-04-2019 11:39:32.254 T: 30.7007999420166 [C]; A:[46, 10, 230]; H: 73.254150390625
SENSE daab 4 19-04-2019 11:39:33.079 T: 30.82559967041015 [C]; A:[-28, 12, 220]; H: 72.14788818359375
SENSE daac 3 19-04-2019 11:39:32.933 T: 29.88959884643554 [C]; A:[-8, 2, 196]; H: 76.0465087890625
SENSE daab 5 19-04-2019 11:39:33.655 T: 30.82559967041015 [C]; A:[-32, 12, 224]; H: 72.14788818359375
SENSE daad 3 19-04-2019 11:39:33.578 T: 30.7007999420166 [C]; A:[44, 12, 232]; H: 73.2236328125
SENSE daab 6 19-04-2019 11:39:34.241 T: 30.88799858093261 [C]; A:[-26, 6, 224]; H: 72.14788818359375
SENSE daac 4 19-04-2019 11:39:34.089 T: 29.88959884643554 [C]; A:[-8, 2, 204]; H: 76.0465087890625
SENSE daab 7 19-04-2019 11:39:34.747 T: 30.82559967041015 [C]; A:[-32, 6, 218]; H: 72.14788818359375
SENSE daab 8 19-04-2019 11:39:35.309 T: 30.82559967041015 [C]; A:[-24, 6, 216]; H: 72.11737060546875
SENSE daac 5 19-04-2019 11:39:35.094 T: 29.88959884643554 [C]; A:[-12, 2, 202]; H: 76.02362060546875
SENSE daab 9 19-04-2019 11:39:35.771 T: 30.88799858093261 [C]; A:[-24, 4, 218]; H: 72.11737060546875
SENSE daaa 2 19-04-2019 11:39:31.399 T: 29.51519966125488 [C]; A:[82, -66, 218]; H: 73.33807373046875
SENSE daab 10 19-04-2019 11:39:36.337 T: 30.88799858093261 [C]; A:[-24, 8, 202]; H: 72.11737060546875
SENSE daac 6 19-04-2019 11:39:36.110 T: 29.88959884643554 [C]; A:[-8, 6, 206]; H: 76.061767578125
SENSE daab 11 19-04-2019 11:39:36.913 T: 30.88799858093261 [C]; A:[-36, 14, 220]; H: 72.11737060546875
SENSE daab 12 19-04-2019 11:39:37.474 T: 30.88799858093261 [C]; A:[-30, 12, 216]; H: 72.0792236328125
SENSE daac 7 19-04-2019 11:39:37.276 T: 29.88959884643554 [C]; A:[-8, 0, 204]; H: 76.061767578125
SENSE daab 13 19-04-2019 11:39:37.966 T: 30.88799858093261 [C]; A:[-28, 8, 208]; H: 72.0792236328125
SENSE daab 14 19-04-2019 11:39:38.533 T: 30.88799858093261 [C]; A:[-26, 8, 228]; H: 72.0792236328125
SENSE daac 8 19-04-2019 11:39:38.321 T: 29.88959884643554 [C]; A:[-10, 6, 208]; H: 76.061767578125
SENSE daab 15 19-04-2019 11:39:39.019 T: 30.88799858093261 [C]; A:[-34, 14, 224]; H: 72.0792236328125
SENSE daab 16 19-04-2019 11:39:39.595 T: 30.82559967041015 [C]; A:[-24, 2, 218]; H: 72.0792236328125
SENSE daac 9 19-04-2019 11:39:39.367 T: 29.88959884643554 [C]; A:[-6, 0, 202]; H: 76.061767578125
SENSE daab 17 19-04-2019 11:39:40.067 T: 30.82559967041015 [C]; A:[-32, 10, 218]; H: 72.0487060546875
SENSE daab 18 19-04-2019 11:39:40.639 T: 30.82559967041015 [C]; A:[-30, 14, 212]; H: 72.0487060546875
SENSE daac 10 19-04-2019 11:39:40.422 T: 29.88959884643554 [C]; A:[-8, 6, 196]; H: 76.061767578125
SENSE daab 19 19-04-2019 11:39:41.110 T: 30.88799858093261 [C]; A:[-26, 8, 216]; H: 72.0487060546875
SENSE daaa 3 19-04-2019 11:39:36.695 T: 29.45279884338378 [C]; A:[76, -66, 230]; H: 73.2236328125
SENSE daab 20 19-04-2019 11:39:41.677 T: 30.88799858093261 [C]; A:[-28, 6, 222]; H: 72.0792236328125
SENSE daac 11 19-04-2019 11:39:41.448 T: 29.88959884643554 [C]; A:[-6, 2, 202]; H: 76.03125
SENSE daab 21 19-04-2019 11:39:42.253 T: 30.88799858093261 [C]; A:[-32, 12, 224]; H: 72.0792236328125
SENSE daab 22 19-04-2019 11:39:42.829 T: 30.88799858093261 [C]; A:[-24, 4, 220]; H: 72.0792236328125
SENSE daac 12 19-04-2019 11:39:42.583 T: 29.95199966430664 [C]; A:[-6, 6, 206]; H: 76.03125
SENSE daab 23 19-04-2019 11:39:43.321 T: 30.88799858093261 [C]; A:[-24, 2, 222]; H: 72.11737060546875
SENSE daab 24 19-04-2019 11:39:43.882 T: 30.88799858093261 [C]; A:[-32, 10, 220]; H: 72.11737060546875
SENSE daac 13 19-04-2019 11:39:43.675 T: 29.95199966430664 [C]; A:[-8, 6, 206]; H: 76.00836181640625
SENSE daab 25 19-04-2019 11:39:44.359 T: 30.88799858093261 [C]; A:[-26, 10, 216]; H: 72.11737060546875
SENSE daab 26 19-04-2019 11:39:44.940 T: 30.88799858093261 [C]; A:[-28, 8, 224]; H: 72.11737060546875
SENSE daac 14 19-04-2019 11:39:44.710 T: 29.95199966430664 [C]; A:[-2, 0, 204]; H: 75.97784423828125
SENSE daab 27 19-04-2019 11:39:45.427 T: 30.88799858093261 [C]; A:[-32, 10, 218]; H: 72.11737060546875
SENSE daab 28 19-04-2019 11:39:46.004 T: 30.95039939880371 [C]; A:[-30, 0, 220]; H: 72.11737060546875
SENSE daac 15 19-04-2019 11:39:45.805 T: 29.95199966430664 [C]; A:[-8, 8, 204]; H: 75.94732666015625
SENSE daab 29 19-04-2019 11:39:46.490 T: 30.88799858093261 [C]; A:[-26, 6, 214]; H: 72.14788818359375
SENSE daaa 4 19-04-2019 11:39:42.031 T: 29.45279884338378 [C]; A:[76, -66, 220]; H: 73.2236328125
SENSE daab 30 19-04-2019 11:39:47.051 T: 30.88799858093261 [C]; A:[-30, 6, 224]; H: 72.14788818359375
SENSE daac 16 19-04-2019 11:39:46.831 T: 29.95199966430664 [C]; A:[-4, 4, 204]; H: 75.9244384765625
SENSE daab 31 19-04-2019 11:39:47.628 T: 30.88799858093261 [C]; A:[-30, 10, 214]; H: 72.14788818359375
SENSE daab 32 19-04-2019 11:39:48.199 T: 30.88799858093261 [C]; A:[-28, 6, 220]; H: 72.17840576171875
SENSE daac 17 19-04-2019 11:39:47.976 T: 29.95199966430664 [C]; A:[-8, 0, 194]; H: 75.8634033203125
SENSE daab 33 19-04-2019 11:39:48.782 T: 30.88799858093261 [C]; A:[-34, 6, 212]; H: 72.14788818359375
SENSE daab 34 19-04-2019 11:39:49.430 T: 30.95039939880371 [C]; A:[-28, 6, 216]; H: 72.14788818359375
SENSE daac 18 19-04-2019 11:39:49.132 T: 30.0143985748291 [C]; A:[-4, 2, 198]; H: 75.84051513671875
SENSE daab 35 19-04-2019 11:39:49.898 T: 30.88799858093261 [C]; A:[-30, 6, 214]; H: 72.14788818359375
SENSE daab 36 19-04-2019 11:39:50.474 T: 30.88799858093261 [C]; A:[-32, 6, 220]; H: 72.11737060546875
SENSE daac 19 19-04-2019 11:39:50.238 T: 30.0143985748291 [C]; A:[-8, 6, 204]; H: 75.80999755859375
SENSE daab 37 19-04-2019 11:39:50.956 T: 30.88799858093261 [C]; A:[-28, 8, 218]; H: 72.11737060546875
SENSE daab 38 19-04-2019 11:39:51.527 T: 30.95039939880371 [C]; A:[-32, 12, 220]; H: 72.11737060546875
SENSE daac 20 19-04-2019 11:39:51.309 T: 30.0143985748291 [C]; A:[-6, 4, 198]; H: 75.74896240234375
SENSE daab 39 19-04-2019 11:39:52.004 T: 30.95039939880371 [C]; A:[-28, 6, 218]; H: 72.11737060546875
SENSE daaa 5 19-04-2019 11:39:47.406 T: 29.51519966125488 [C]; A:[80, -64, 230]; H: 73.2388916015625
SENSE daab 40 19-04-2019 11:39:52.585 T: 30.95039939880371 [C]; A:[-32, 8, 220]; H: 72.11737060546875
SENSE daac 21 19-04-2019 11:39:52.354 T: 30.0767993927002 [C]; A:[-8, 6, 198]; H: 75.6650390625
SENSE daab 41 19-04-2019 11:39:53.161 T: 30.95039939880371 [C]; A:[-28, 8, 218]; H: 72.11737060546875
SENSE daab 42 19-04-2019 11:39:53.722 T: 30.95039939880371 [C]; A:[-22, 0, 266]; H: 72.0792236328125
SENSE daac 22 19-04-2019 11:39:53.515 T: 30.0143985748291 [C]; A:[-4, 0, 196]; H: 75.64215087890625
SENSE daab 43 19-04-2019 11:39:54.199 T: 30.88799858093261 [C]; A:[-30, 12, 218]; H: 72.0792236328125
SENSE daad 4 19-04-2019 11:39:49.349 T: 30.88799858093261 [C]; A:[38, 8, 232]; H: 72.7811279296875
SENSE daab 44 19-04-2019 11:39:54.790 T: 30.95039939880371 [C]; A:[-30, 6, 220]; H: 72.0792236328125
SENSE daac 23 19-04-2019 11:39:54.640 T: 30.0143985748291 [C]; A:[-6, 4, 200]; H: 75.6802978515625
SENSE daab 45 19-04-2019 11:39:55.381 T: 30.95039939880371 [C]; A:[-28, 6, 216]; H: 72.0792236328125
SENSE daad 5 19-04-2019 11:39:55.302 T: 30.95039939880371 [C]; A:[44, 12, 232]; H: 72.55987548828125
SENSE daab 46 19-04-2019 11:39:55.968 T: 30.88799858093261 [C]; A:[-28, 8, 216]; H: 72.0487060546875
SENSE daac 24 19-04-2019 11:39:55.806 T: 30.0767993927002 [C]; A:[-10, 6, 206]; H: 75.6497802734375
SENSE daab 47 19-04-2019 11:39:56.558 T: 30.95039939880371 [C]; A:[-28, 10, 216]; H: 72.0487060546875
SENSE daad 6 19-04-2019 11:39:56.486 T: 30.95039939880371 [C]; A:[42, 12, 236]; H: 72.55987548828125
SENSE daab 48 19-04-2019 11:39:57.044 T: 30.88799858093261 [C]; A:[-30, 6, 220]; H: 72.0487060546875
SENSE daab 49 19-04-2019 11:39:57.620 T: 30.95039939880371 [C]; A:[-32, 8, 216]; H: 72.0487060546875
SENSE daaa 6 19-04-2019 11:39:52.940 T: 29.51519966125488 [C]; A:[80, -64, 222]; H: 73.18548583984375
SENSE daab 50 19-04-2019 11:39:58.102 T: 30.88799858093261 [C]; A:[-30, 10, 218]; H: 72.0487060546875
SENSE daaa 7 19-04-2019 11:39:58.455 T: 29.57759857177734 [C]; A:[80, -64, 220]; H: 73.15496826171875
SENSE daab 51 19-04-2019 11:39:58.674 T: 30.88799858093261 [C]; A:[-26, 8, 212]; H: 72.0181884765625
SENSE daaa 8 19-04-2019 11:39:59.027 T: 29.51519966125488 [C]; A:[82, -64, 224]; H: 73.15496826171875
SENSE daab 52 19-04-2019 11:39:59.254 T: 30.95039939880371 [C]; A:[-28, 4, 216]; H: 72.0181884765625
SENSE daaa 9 19-04-2019 11:39:59.610 T: 29.51519966125488 [C]; A:[82, -66, 226]; H: 73.15496826171875
SENSE daab 53 19-04-2019 11:39:59.835 T: 30.95039939880371 [C]; A:[-24, 8, 216]; H: 72.0181884765625
SENSE daaa 10 19-04-2019 11:40:00.182 T: 29.57759857177734 [C]; A:[80, -68, 230]; H: 73.15496826171875
SENSE daab 54 19-04-2019 11:40:00.406 T: 30.95039939880371 [C]; A:[-28, 6, 224]; H: 72.0181884765625
SENSE daab 55 19-04-2019 11:40:00.977 T: 30.88799858093261 [C]; A:[-28, 6, 224]; H: 72.0181884765625
SENSE daab 56 19-04-2019 11:40:01.479 T: 30.95039939880371 [C]; A:[-32, 8, 212]; H: 72.0181884765625
SENSE daac 25 19-04-2019 11:40:01.323 T: 30.13919830322265 [C]; A:[0, 0, 200]; H: 75.512451171875
SENSE daab 57 19-04-2019 11:40:01.971 T: 30.95039939880371 [C]; A:[-22, 0, 220]; H: 72.0181884765625
SENSE daad 7 19-04-2019 11:39:57.462 T: 30.95039939880371 [C]; A:[48, 16, 232]; H: 72.52935791015625
SENSE daab 58 19-04-2019 11:40:02.589 T: 30.95039939880371 [C]; A:[-28, 2, 212]; H: 72.0181884765625
SENSE daab 59 19-04-2019 11:40:03.108 T: 30.95039939880371 [C]; A:[-28, 4, 224]; H: 71.9876708984375
SENSE daad 8 19-04-2019 11:40:03.016 T: 31.01279830932617 [C]; A:[44, 10, 236]; H: 72.4454345703125
SENSE daab 60 19-04-2019 11:40:03.584 T: 30.95039939880371 [C]; A:[-32, 12, 212]; H: 71.9876708984375
SENSE daab 61 19-04-2019 11:40:04.151 T: 30.95039939880371 [C]; A:[-20, 2, 260]; H: 71.9571533203125
SENSE daad 9 19-04-2019 11:40:03.997 T: 31.01279830932617 [C]; A:[46, 12, 230]; H: 72.39202880859375
SENSE daab 62 19-04-2019 11:40:04.628 T: 30.95039939880371 [C]; A:[-34, 0, 224]; H: 71.9571533203125
SENSE daab 63 19-04-2019 11:40:05.213 T: 30.95039939880371 [C]; A:[-26, 2, 224]; H: 71.91900634765625
SENSE daad 10 19-04-2019 11:40:05.037 T: 31.01279830932617 [C]; A:[40, 10, 236]; H: 72.39202880859375
SENSE daaa 11 19-04-2019 11:40:00.764 T: 29.57759857177734 [C]; A:[78, -66, 230]; H: 73.15496826171875
SENSE daad 11 19-04-2019 11:40:06.063 T: 31.01279830932617 [C]; A:[40, 8, 234]; H: 72.36151123046875
SENSE daaa 12 19-04-2019 11:40:06.329 T: 29.57759857177734 [C]; A:[78, -64, 224]; H: 73.09393310546875
SENSE daad 12 19-04-2019 11:40:06.635 T: 31.01279830932617 [C]; A:[46, 10, 234]; H: 72.33099365234375
SENSE daaa 13 19-04-2019 11:40:06.927 T: 29.57759857177734 [C]; A:[80, -66, 226]; H: 73.071044921875
SENSE daac 26 19-04-2019 11:40:02.304 T: 30.13919830322265 [C]; A:[-4, 2, 200]; H: 75.48193359375
SENSE daad 13 19-04-2019 11:40:07.207 T: 31.01279830932617 [C]; A:[44, 14, 234]; H: 72.33099365234375
SENSE daac 27 19-04-2019 11:40:07.701 T: 30.20159912109375 [C]; A:[-8, 4, 198]; H: 75.3446044921875
SENSE daad 14 19-04-2019 11:40:08.128 T: 31.07519912719726 [C]; A:[48, 12, 232]; H: 72.30047607421875
SENSE daac 28 19-04-2019 11:40:08.277 T: 30.13919830322265 [C]; A:[-4, 8, 202]; H: 75.3446044921875
SENSE daad 15 19-04-2019 11:40:08.770 T: 31.07519912719726 [C]; A:[48, 8, 226]; H: 72.277587890625
SENSE daac 29 19-04-2019 11:40:08.992 T: 30.13919830322265 [C]; A:[-4, 4, 196]; H: 75.3140869140625
