SENSE daaa 1 22-04-2019 18:15:09.586 T: 26.02079963684082 [C]; A:[-18, 8, 230]; H: 65.9146728515625
SENSE daab 1 22-04-2019 18:15:09.581 T: 26.20800018310546 [C]; A:[4, 8, 250]; H: 64.1904296875
SENSE daad 1 22-04-2019 18:15:09.897 T: 26.89439964294433 [C]; A:[-6, -4, 190]; H: 65.7926025390625
SENSE daab 2 22-04-2019 18:15:10.294 T: 26.20800018310546 [C]; A:[0, 10, 252]; H: 64.220947265625
SENSE daab 3 22-04-2019 18:15:10.866 T: 26.20800018310546 [C]; A:[2, 6, 252]; H: 64.220947265625
SENSE daad 2 22-04-2019 18:15:10.678 T: 26.89439964294433 [C]; A:[-4, 0, 196]; H: 65.7620849609375
SENSE daab 4 22-04-2019 18:15:11.329 T: 26.20800018310546 [C]; A:[0, 10, 252]; H: 64.220947265625
SENSE daab 5 22-04-2019 18:15:11.920 T: 26.20800018310546 [C]; A:[2, 2, 254]; H: 64.220947265625
SENSE daad 3 22-04-2019 18:15:11.728 T: 26.83199882507324 [C]; A:[-4, 0, 202]; H: 65.7620849609375
SENSE daab 6 22-04-2019 18:15:12.384 T: 26.20800018310546 [C]; A:[2, 12, 252]; H: 64.281982421875
SENSE daab 7 22-04-2019 18:15:12.956 T: 26.20800018310546 [C]; A:[2, 8, 252]; H: 64.281982421875
SENSE daad 4 22-04-2019 18:15:12.788 T: 26.89439964294433 [C]; A:[0, 0, 196]; H: 65.7620849609375
SENSE daab 8 22-04-2019 18:15:13.419 T: 26.20800018310546 [C]; A:[0, 8, 248]; H: 64.281982421875
SENSE daab 9 22-04-2019 18:15:14.002 T: 26.20800018310546 [C]; A:[0, 10, 244]; H: 64.281982421875
SENSE daad 5 22-04-2019 18:15:13.808 T: 26.89439964294433 [C]; A:[0, -8, 200]; H: 65.7620849609375
SENSE daab 10 22-04-2019 18:15:14.491 T: 26.20800018310546 [C]; A:[2, 10, 252]; H: 64.281982421875
SENSE daac 1 22-04-2019 18:15:09.786 T: 28.89119911193847 [C]; A:[0, 0, 0]; H: 60.97845458984375
SENSE daab 11 22-04-2019 18:15:15.070 T: 26.20800018310546 [C]; A:[0, 14, 254]; H: 64.281982421875
SENSE daad 6 22-04-2019 18:15:14.888 T: 26.89439964294433 [C]; A:[0, 0, 202]; H: 65.80023193359375
SENSE daab 12 22-04-2019 18:15:15.649 T: 26.20800018310546 [C]; A:[0, 8, 250]; H: 64.281982421875
SENSE daac 2 22-04-2019 18:15:15.499 T: 28.95359992980957 [C]; A:[26, 6, 258]; H: 60.97845458984375
SENSE daab 13 22-04-2019 18:15:16.227 T: 26.20800018310546 [C]; A:[2, 12, 248]; H: 64.281982421875
SENSE daad 7 22-04-2019 18:15:16.138 T: 26.89439964294433 [C]; A:[-4, 0, 200]; H: 65.83074951171875
SENSE daab 14 22-04-2019 18:15:16.820 T: 26.27039909362792 [C]; A:[4, 4, 244]; H: 64.25146484375
SENSE daac 3 22-04-2019 18:15:16.663 T: 29.01599884033203 [C]; A:[26, 8, 230]; H: 60.97845458984375
SENSE daab 15 22-04-2019 18:15:17.317 T: 26.27039909362792 [C]; A:[2, 8, 252]; H: 64.25146484375
SENSE daab 16 22-04-2019 18:15:17.879 T: 26.27039909362792 [C]; A:[0, 10, 246]; H: 64.25146484375
SENSE daac 4 22-04-2019 18:15:17.643 T: 28.95359992980957 [C]; A:[24, 6, 236]; H: 60.97845458984375
SENSE daab 17 22-04-2019 18:15:18.342 T: 26.27039909362792 [C]; A:[0, 8, 250]; H: 64.25146484375
SENSE daac 5 22-04-2019 18:15:18.678 T: 29.01599884033203 [C]; A:[28, 8, 234]; H: 60.97845458984375
SENSE daab 18 22-04-2019 18:15:19.006 T: 26.27039909362792 [C]; A:[0, 10, 246]; H: 64.25146484375
SENSE daab 19 22-04-2019 18:15:19.507 T: 26.27039909362792 [C]; A:[4, 6, 250]; H: 64.22857666015625
SENSE daac 6 22-04-2019 18:15:19.360 T: 29.01599884033203 [C]; A:[22, 8, 230]; H: 60.97845458984375
SENSE daaa 2 22-04-2019 18:15:10.049 T: 26.08319854736328 [C]; A:[-10, 0, 234]; H: 65.9146728515625
SENSE daac 7 22-04-2019 18:15:20.291 T: 29.01599884033203 [C]; A:[22, 8, 232]; H: 60.95556640625
SENSE daaa 3 22-04-2019 18:15:20.628 T: 26.14559936523437 [C]; A:[-6, -4, 230]; H: 65.9757080078125
SENSE daac 8 22-04-2019 18:15:20.858 T: 28.95359992980957 [C]; A:[26, 8, 234]; H: 60.925048828125
SENSE daac 9 22-04-2019 18:15:21.425 T: 29.01599884033203 [C]; A:[26, 8, 230]; H: 60.89453125
SENSE daad 8 22-04-2019 18:15:21.634 T: 26.9567985534668 [C]; A:[-4, 0, 200]; H: 65.95281982421875
SENSE daac 10 22-04-2019 18:15:21.987 T: 29.01599884033203 [C]; A:[26, 12, 228]; H: 60.864013671875
SENSE daad 9 22-04-2019 18:15:22.389 T: 26.9567985534668 [C]; A:[-4, -4, 208]; H: 65.89178466796875
SENSE daac 11 22-04-2019 18:15:22.559 T: 29.01599884033203 [C]; A:[26, 6, 228]; H: 60.89453125
SENSE daad 10 22-04-2019 18:15:23.024 T: 26.9567985534668 [C]; A:[-4, 0, 198]; H: 65.89178466796875
SENSE daac 12 22-04-2019 18:15:23.246 T: 29.01599884033203 [C]; A:[26, 8, 240]; H: 60.89453125
SENSE daad 11 22-04-2019 18:15:23.729 T: 26.9567985534668 [C]; A:[-6, 0, 200]; H: 65.89178466796875
SENSE daac 13 22-04-2019 18:15:23.943 T: 29.01599884033203 [C]; A:[28, 8, 234]; H: 60.925048828125
SENSE daad 12 22-04-2019 18:15:24.414 T: 27.0191993713379 [C]; A:[0, 0, 210]; H: 65.86126708984375
SENSE daac 14 22-04-2019 18:15:24.635 T: 29.01599884033203 [C]; A:[32, 8, 238]; H: 60.925048828125
SENSE daad 13 22-04-2019 18:15:25.104 T: 27.0191993713379 [C]; A:[-6, 0, 206]; H: 65.83074951171875
SENSE daac 15 22-04-2019 18:15:25.326 T: 29.07839965820312 [C]; A:[20, 14, 236]; H: 60.925048828125
SENSE daaa 4 22-04-2019 18:15:21.204 T: 26.08319854736328 [C]; A:[-8, -4, 232]; H: 65.9451904296875
SENSE daad 14 22-04-2019 18:15:25.799 T: 26.9567985534668 [C]; A:[0, -4, 198]; H: 65.83074951171875
SENSE daaa 5 22-04-2019 18:15:26.459 T: 26.14559936523437 [C]; A:[-6, 0, 228]; H: 66.07489013671875
SENSE daad 15 22-04-2019 18:15:26.744 T: 26.9567985534668 [C]; A:[0, -6, 206]; H: 65.83074951171875
SENSE daaa 6 22-04-2019 18:15:27.025 T: 26.20800018310546 [C]; A:[-8, 0, 234]; H: 66.07489013671875
SENSE daad 16 22-04-2019 18:15:27.339 T: 27.0191993713379 [C]; A:[-6, 0, 204]; H: 65.80023193359375
SENSE daaa 7 22-04-2019 18:15:27.607 T: 26.14559936523437 [C]; A:[-6, 2, 236]; H: 66.0977783203125
SENSE daad 17 22-04-2019 18:15:27.914 T: 27.0191993713379 [C]; A:[-8, 0, 214]; H: 65.80023193359375
SENSE daaa 8 22-04-2019 18:15:28.198 T: 26.20800018310546 [C]; A:[-10, 0, 230]; H: 66.0977783203125
SENSE daad 18 22-04-2019 18:15:28.479 T: 27.0191993713379 [C]; A:[0, 0, 200]; H: 65.80023193359375
SENSE daaa 9 22-04-2019 18:15:28.779 T: 26.20800018310546 [C]; A:[-8, 0, 226]; H: 66.1282958984375
SENSE daad 19 22-04-2019 18:15:29.054 T: 27.0191993713379 [C]; A:[-6, 0, 202]; H: 65.83074951171875
SENSE daaa 10 22-04-2019 18:15:29.350 T: 26.14559936523437 [C]; A:[-8, -4, 226]; H: 66.1282958984375
SENSE daad 20 22-04-2019 18:15:29.645 T: 27.0191993713379 [C]; A:[-4, 0, 200]; H: 65.83074951171875
