SENSE daaa 1 22-04-2019 18:19:53.475 T: 26.64480018615722 [C]; A:[0, 0, 232]; H: 65.319580078125
SENSE daab 1 22-04-2019 18:19:53.473 T: 26.70719909667968 [C]; A:[0, 8, 248]; H: 63.82421875
SENSE daac 1 22-04-2019 18:19:53.671 T: 29.51519966125488 [C]; A:[0, 0, 0]; H: 60.009521484375
SENSE daad 1 22-04-2019 18:19:53.803 T: 27.5807991027832 [C]; A:[2, -6, 204]; H: 64.89996337890625
SENSE daab 2 22-04-2019 18:19:54.258 T: 26.70719909667968 [C]; A:[0, 10, 246]; H: 63.76318359375
SENSE daac 2 22-04-2019 18:19:54.588 T: 29.51519966125488 [C]; A:[14, 8, 236]; H: 60.009521484375
SENSE daab 3 22-04-2019 18:19:55.027 T: 26.64480018615722 [C]; A:[0, 12, 250]; H: 63.732666015625
SENSE daad 2 22-04-2019 18:19:54.810 T: 27.5807991027832 [C]; A:[-4, 2, 194]; H: 64.953369140625
SENSE daab 4 22-04-2019 18:19:55.635 T: 26.70719909667968 [C]; A:[0, 12, 252]; H: 63.732666015625
SENSE daac 3 22-04-2019 18:19:55.489 T: 29.57759857177734 [C]; A:[22, 10, 242]; H: 59.97900390625
SENSE daab 5 22-04-2019 18:19:56.212 T: 26.70719909667968 [C]; A:[4, 8, 242]; H: 63.70977783203125
SENSE daad 3 22-04-2019 18:19:56.135 T: 27.5807991027832 [C]; A:[-6, 0, 212]; H: 64.98388671875
SENSE daab 6 22-04-2019 18:19:56.789 T: 26.64480018615722 [C]; A:[2, 6, 252]; H: 63.70977783203125
SENSE daac 4 22-04-2019 18:19:56.638 T: 29.51519966125488 [C]; A:[20, 14, 232]; H: 59.948486328125
SENSE daad 4 22-04-2019 18:19:57.295 T: 27.5807991027832 [C]; A:[-8, 0, 204]; H: 65.014404296875
SENSE daac 5 22-04-2019 18:19:57.619 T: 29.51519966125488 [C]; A:[8, 0, 228]; H: 59.948486328125
SENSE daad 5 22-04-2019 18:19:57.910 T: 27.5807991027832 [C]; A:[2, -6, 202]; H: 65.014404296875
SENSE daac 6 22-04-2019 18:19:58.270 T: 29.57759857177734 [C]; A:[14, 6, 232]; H: 59.948486328125
SENSE daaa 2 22-04-2019 18:19:53.953 T: 26.64480018615722 [C]; A:[-10, 0, 226]; H: 65.35772705078125
SENSE daad 6 22-04-2019 18:19:58.686 T: 27.5807991027832 [C]; A:[-6, 0, 206]; H: 65.014404296875
SENSE daaa 3 22-04-2019 18:19:59.208 T: 26.64480018615722 [C]; A:[0, 0, 224]; H: 65.41876220703125
SENSE daad 7 22-04-2019 18:19:59.511 T: 27.5807991027832 [C]; A:[0, 20, 206]; H: 65.014404296875
SENSE daaa 4 22-04-2019 18:19:59.784 T: 26.64480018615722 [C]; A:[-8, 0, 230]; H: 65.47216796875
SENSE daad 8 22-04-2019 18:20:00.091 T: 27.5807991027832 [C]; A:[-8, -14, 202]; H: 64.98388671875
SENSE daaa 5 22-04-2019 18:20:00.365 T: 26.64480018615722 [C]; A:[-6, -4, 228]; H: 65.47216796875
SENSE daad 9 22-04-2019 18:20:00.666 T: 27.5807991027832 [C]; A:[-4, -4, 194]; H: 64.98388671875
SENSE daaa 6 22-04-2019 18:20:00.937 T: 26.64480018615722 [C]; A:[0, 0, 228]; H: 65.52557373046875
SENSE daad 10 22-04-2019 18:20:01.236 T: 27.5807991027832 [C]; A:[0, 0, 208]; H: 64.98388671875
SENSE daaa 7 22-04-2019 18:20:01.513 T: 26.70719909667968 [C]; A:[-8, 0, 230]; H: 65.52557373046875
SENSE daad 11 22-04-2019 18:20:01.796 T: 27.5807991027832 [C]; A:[2, 0, 206]; H: 64.98388671875
SENSE daaa 8 22-04-2019 18:20:02.094 T: 26.64480018615722 [C]; A:[-6, -6, 236]; H: 65.52557373046875
SENSE daab 7 22-04-2019 18:20:02.133 T: 26.70719909667968 [C]; A:[0, 16, 254]; H: 63.61822509765625
SENSE daaa 9 22-04-2019 18:20:02.685 T: 26.64480018615722 [C]; A:[-10, 0, 234]; H: 65.55609130859375
SENSE daab 8 22-04-2019 18:20:02.916 T: 26.70719909667968 [C]; A:[2, 4, 252]; H: 63.61822509765625
