SENSE daaa 1 22-04-2019 11:21:47.025 T: 25.83359909057617 [C]; A:[0, 0, 248]; H: 63.427490234375
SENSE daab 1 22-04-2019 11:21:45.901 T: 28.32959938049316 [C]; A:[0, 0, 0]; H: 61.39044189453125
SENSE daaa 2 22-04-2019 11:21:47.489 T: 25.89599990844726 [C]; A:[0, 0, 246]; H: 63.39697265625
SENSE daaa 3 22-04-2019 11:21:48.136 T: 25.89599990844726 [C]; A:[8, 0, 246]; H: 63.3359375
SENSE daaa 4 22-04-2019 11:21:48.584 T: 25.83359909057617 [C]; A:[8, -4, 254]; H: 63.3359375
SENSE daaa 5 22-04-2019 11:21:49.032 T: 25.83359909057617 [C]; A:[6, 0, 250]; H: 63.27490234375
SENSE daaa 6 22-04-2019 11:21:49.480 T: 25.83359909057617 [C]; A:[4, 0, 248]; H: 63.27490234375
SENSE daaa 7 22-04-2019 11:21:49.928 T: 25.83359909057617 [C]; A:[2, 0, 248]; H: 63.27490234375
SENSE daaa 8 22-04-2019 11:21:50.396 T: 25.83359909057617 [C]; A:[4, 0, 248]; H: 63.244384765625
SENSE daaa 9 22-04-2019 11:21:50.844 T: 25.83359909057617 [C]; A:[2, 4, 258]; H: 63.244384765625
SENSE daaa 10 22-04-2019 11:21:51.292 T: 25.77120018005371 [C]; A:[8, -6, 246]; H: 63.22149658203125
SENSE daaa 11 22-04-2019 11:21:51.735 T: 25.83359909057617 [C]; A:[4, 0, 252]; H: 63.19097900390625
SENSE daac 1 22-04-2019 11:21:47.280 T: 27.0191993713379 [C]; A:[0, 50, 200]; H: 64.53375244140625
SENSE daaa 12 22-04-2019 11:21:52.183 T: 25.83359909057617 [C]; A:[4, 2, 248]; H: 63.16046142578125
SENSE daac 2 22-04-2019 11:21:52.567 T: 26.9567985534668 [C]; A:[0, 62, 194]; H: 64.53375244140625
SENSE daaa 13 22-04-2019 11:21:52.924 T: 25.83359909057617 [C]; A:[4, 0, 250]; H: 63.16046142578125
SENSE daac 3 22-04-2019 11:21:53.152 T: 27.0191993713379 [C]; A:[-2, 64, 196]; H: 64.50323486328125
SENSE daab 2 22-04-2019 11:21:51.214 T: 28.26719856262207 [C]; A:[62, 94, 342]; H: 61.45147705078125
SENSE daac 4 22-04-2019 11:21:53.727 T: 27.0191993713379 [C]; A:[0, 62, 196]; H: 64.50323486328125
SENSE daac 5 22-04-2019 11:21:54.782 T: 27.0191993713379 [C]; A:[0, 60, 200]; H: 64.53375244140625
SENSE daac 6 22-04-2019 11:21:55.277 T: 26.9567985534668 [C]; A:[0, 62, 194]; H: 64.53375244140625
SENSE daac 7 22-04-2019 11:21:55.792 T: 26.9567985534668 [C]; A:[0, 62, 192]; H: 64.53375244140625
SENSE daac 8 22-04-2019 11:21:56.287 T: 26.9567985534668 [C]; A:[0, 64, 180]; H: 64.53375244140625
SENSE daac 9 22-04-2019 11:21:56.792 T: 27.0191993713379 [C]; A:[0, 64, 186]; H: 64.53375244140625
SENSE daac 10 22-04-2019 11:21:57.287 T: 26.9567985534668 [C]; A:[0, 64, 192]; H: 64.53375244140625
SENSE daad 1 22-04-2019 11:21:47.403 T: 25.58399963378906 [C]; A:[0, 0, 0]; H: 65.3958740234375
SENSE daac 11 22-04-2019 11:21:57.782 T: 27.0191993713379 [C]; A:[4, 62, 192]; H: 64.53375244140625
SENSE daaa 14 22-04-2019 11:21:53.512 T: 25.83359909057617 [C]; A:[0, 4, 252]; H: 63.12994384765625
SENSE daad 2 22-04-2019 11:21:58.189 T: 25.52159881591796 [C]; A:[-6, 4, 228]; H: 65.3958740234375
SENSE daaa 15 22-04-2019 11:21:58.768 T: 25.89599990844726 [C]; A:[4, 0, 244]; H: 63.22149658203125
