SENSE daaa 1 22-04-2019 11:26:49.538 T: 26.02079963684082 [C]; A:[6, -14, 250]; H: 62.511962890625
SENSE daab 1 22-04-2019 11:26:47.797 T: 28.14239883422851 [C]; A:[0, 0, 0]; H: 61.718505859375
SENSE daaa 2 22-04-2019 11:26:50.002 T: 26.08319854736328 [C]; A:[4, -8, 250]; H: 62.511962890625
SENSE daad 1 22-04-2019 11:26:49.898 T: 25.64639854431152 [C]; A:[-2, 2, 234]; H: 64.86944580078125
SENSE daaa 3 22-04-2019 11:26:50.634 T: 26.08319854736328 [C]; A:[4, 0, 244]; H: 62.511962890625
SENSE daad 2 22-04-2019 11:26:50.913 T: 25.70879936218261 [C]; A:[0, 0, 224]; H: 64.86944580078125
SENSE daaa 4 22-04-2019 11:26:51.212 T: 26.08319854736328 [C]; A:[8, 0, 250]; H: 62.511962890625
SENSE daad 3 22-04-2019 11:26:51.499 T: 25.70879936218261 [C]; A:[0, 0, 232]; H: 64.86944580078125
SENSE daaa 5 22-04-2019 11:26:51.794 T: 26.08319854736328 [C]; A:[4, -4, 248]; H: 62.511962890625
SENSE daad 4 22-04-2019 11:26:52.085 T: 25.70879936218261 [C]; A:[0, 0, 232]; H: 64.86944580078125
SENSE daaa 6 22-04-2019 11:26:52.386 T: 26.08319854736328 [C]; A:[4, 0, 250]; H: 62.511962890625
SENSE daad 5 22-04-2019 11:26:52.691 T: 25.70879936218261 [C]; A:[-4, 0, 226]; H: 64.86944580078125
SENSE daaa 7 22-04-2019 11:26:53.000 T: 26.08319854736328 [C]; A:[8, -8, 246]; H: 62.4814453125
SENSE daad 6 22-04-2019 11:26:53.278 T: 25.70879936218261 [C]; A:[-4, 0, 228]; H: 64.86944580078125
SENSE daaa 8 22-04-2019 11:26:53.571 T: 26.08319854736328 [C]; A:[6, -6, 246]; H: 62.42803955078125
SENSE daad 7 22-04-2019 11:26:53.883 T: 25.70879936218261 [C]; A:[0, 4, 234]; H: 64.86944580078125
SENSE daaa 9 22-04-2019 11:26:54.163 T: 26.08319854736328 [C]; A:[6, -10, 246]; H: 62.42803955078125
SENSE daad 8 22-04-2019 11:26:54.490 T: 25.70879936218261 [C]; A:[-6, 4, 228]; H: 64.9075927734375
SENSE daac 1 22-04-2019 11:26:49.775 T: 27.20639991760253 [C]; A:[4, 54, 202]; H: 63.854736328125
SENSE daad 9 22-04-2019 11:26:55.086 T: 25.70879936218261 [C]; A:[0, 0, 228]; H: 64.8770751953125
SENSE daac 2 22-04-2019 11:26:55.311 T: 27.14399909973144 [C]; A:[-4, 66, 192]; H: 63.82421875
SENSE daad 10 22-04-2019 11:26:55.801 T: 25.70879936218261 [C]; A:[-2, 2, 236]; H: 64.8770751953125
SENSE daac 3 22-04-2019 11:26:56.032 T: 27.08160018920898 [C]; A:[-4, 64, 200]; H: 63.82421875
SENSE daad 11 22-04-2019 11:26:56.516 T: 25.70879936218261 [C]; A:[-6, 6, 234]; H: 64.8770751953125
SENSE daac 4 22-04-2019 11:26:56.742 T: 27.14399909973144 [C]; A:[-4, 68, 196]; H: 63.82421875
SENSE daad 12 22-04-2019 11:26:57.222 T: 25.70879936218261 [C]; A:[-6, 0, 242]; H: 64.8770751953125
SENSE daac 5 22-04-2019 11:26:57.442 T: 27.14399909973144 [C]; A:[-4, 64, 200]; H: 63.854736328125
SENSE daad 13 22-04-2019 11:26:57.927 T: 25.70879936218261 [C]; A:[0, 2, 230]; H: 64.8770751953125
SENSE daac 6 22-04-2019 11:26:58.178 T: 27.14399909973144 [C]; A:[0, 64, 198]; H: 63.854736328125
SENSE daad 14 22-04-2019 11:26:58.643 T: 25.70879936218261 [C]; A:[-4, 0, 230]; H: 64.80841064453125
SENSE daac 7 22-04-2019 11:26:58.867 T: 27.14399909973144 [C]; A:[-6, 64, 198]; H: 63.854736328125
SENSE daaa 10 22-04-2019 11:26:54.786 T: 26.02079963684082 [C]; A:[14, -14, 248]; H: 62.42803955078125
SENSE daad 15 22-04-2019 11:26:59.358 T: 25.70879936218261 [C]; A:[-4, 2, 228]; H: 64.80841064453125
SENSE daaa 11 22-04-2019 11:27:00.042 T: 26.08319854736328 [C]; A:[10, 10, 252]; H: 62.36700439453125
SENSE daad 16 22-04-2019 11:27:00.322 T: 25.70879936218261 [C]; A:[0, 2, 226]; H: 64.80841064453125
SENSE daaa 12 22-04-2019 11:27:00.624 T: 26.08319854736328 [C]; A:[0, -8, 244]; H: 62.36700439453125
SENSE daad 17 22-04-2019 11:27:00.908 T: 25.70879936218261 [C]; A:[-4, 4, 238]; H: 64.7855224609375
SENSE daaa 13 22-04-2019 11:27:01.206 T: 26.08319854736328 [C]; A:[4, 12, 248]; H: 62.36700439453125
SENSE daad 18 22-04-2019 11:27:01.504 T: 25.77120018005371 [C]; A:[-4, 6, 232]; H: 64.7855224609375
SENSE daaa 14 22-04-2019 11:27:01.804 T: 26.08319854736328 [C]; A:[6, -4, 246]; H: 62.39752197265625
SENSE daad 19 22-04-2019 11:27:02.090 T: 25.70879936218261 [C]; A:[-4, 2, 232]; H: 64.7855224609375
SENSE daab 2 22-04-2019 11:26:58.104 T: 28.2047996520996 [C]; A:[62, 94, 318]; H: 61.48199462890625
SENSE daad 20 22-04-2019 11:27:02.712 T: 25.70879936218261 [C]; A:[0, 2, 238]; H: 64.7855224609375
SENSE daac 8 22-04-2019 11:26:59.592 T: 27.14399909973144 [C]; A:[-4, 60, 202]; H: 63.88525390625
SENSE daac 9 22-04-2019 11:27:04.888 T: 27.14399909973144 [C]; A:[-6, 66, 200]; H: 64.00732421875
SENSE daac 10 22-04-2019 11:27:05.373 T: 27.14399909973144 [C]; A:[-4, 64, 192]; H: 64.00732421875
SENSE daac 11 22-04-2019 11:27:05.848 T: 27.14399909973144 [C]; A:[0, 64, 230]; H: 64.037841796875
SENSE daac 12 22-04-2019 11:27:06.354 T: 27.14399909973144 [C]; A:[0, 66, 196]; H: 64.037841796875
SENSE daac 13 22-04-2019 11:27:06.843 T: 27.14399909973144 [C]; A:[-4, 70, 190]; H: 64.037841796875
SENSE daaa 15 22-04-2019 11:27:02.386 T: 26.08319854736328 [C]; A:[10, -10, 248]; H: 62.39752197265625
SENSE daac 14 22-04-2019 11:27:07.348 T: 27.14399909973144 [C]; A:[0, 64, 186]; H: 64.037841796875
SENSE daac 15 22-04-2019 11:27:07.914 T: 27.14399909973144 [C]; A:[0, 60, 190]; H: 64.037841796875
SENSE daad 21 22-04-2019 11:27:08.146 T: 25.70879936218261 [C]; A:[-6, 8, 230]; H: 64.7244873046875
SENSE daac 16 22-04-2019 11:27:08.529 T: 27.14399909973144 [C]; A:[0, 60, 196]; H: 64.00732421875
