SENSE daaa 1 22-04-2019 11:08:30.897 T: 25.70879936218261 [C]; A:[6, 0, 246]; H: 64.06072998046875
SENSE daab 1 22-04-2019 11:08:30.374 T: 29.32799911499023 [C]; A:[0, 0, 0]; H: 58.75830078125
SENSE daac 1 22-04-2019 11:08:31.093 T: 26.70719909667968 [C]; A:[0, 64, 200]; H: 65.29669189453125
SENSE daad 1 22-04-2019 11:08:31.227 T: 25.52159881591796 [C]; A:[0, 0, 0]; H: 65.32720947265625
SENSE daab 2 22-04-2019 11:08:31.117 T: 29.32799911499023 [C]; A:[62, 78, 256]; H: 58.75830078125
SENSE daac 2 22-04-2019 11:08:32.039 T: 26.76959991455078 [C]; A:[0, 62, 196]; H: 65.319580078125
SENSE daab 3 22-04-2019 11:08:31.858 T: 29.32799911499023 [C]; A:[-48, -32, 160]; H: 58.727783203125
SENSE daad 2 22-04-2019 11:08:32.256 T: 25.52159881591796 [C]; A:[-4, 4, 228]; H: 65.34246826171875
SENSE daab 4 22-04-2019 11:08:32.435 T: 29.32799911499023 [C]; A:[-56, -24, 254]; H: 58.727783203125
SENSE daac 3 22-04-2019 11:08:32.924 T: 26.76959991455078 [C]; A:[-8, 62, 184]; H: 65.319580078125
SENSE daab 5 22-04-2019 11:08:32.986 T: 29.32799911499023 [C]; A:[30, 78, 318]; H: 58.697265625
SENSE daad 3 22-04-2019 11:08:33.593 T: 25.52159881591796 [C]; A:[0, 0, 232]; H: 65.34246826171875
SENSE daab 6 22-04-2019 11:08:33.549 T: 29.32799911499023 [C]; A:[-56, -32, 206]; H: 58.697265625
SENSE daac 4 22-04-2019 11:08:34.110 T: 26.76959991455078 [C]; A:[0, 62, 192]; H: 65.35009765625
SENSE daab 7 22-04-2019 11:08:33.995 T: 29.32799911499023 [C]; A:[30, 62, 318]; H: 58.697265625
SENSE daac 5 22-04-2019 11:08:35.065 T: 26.76959991455078 [C]; A:[0, 64, 200]; H: 65.35009765625
SENSE daab 8 22-04-2019 11:08:34.654 T: 29.32799911499023 [C]; A:[-2, 62, 318]; H: 58.697265625
SENSE daab 9 22-04-2019 11:08:35.134 T: 29.32799911499023 [C]; A:[24, 0, 192]; H: 58.697265625
SENSE daac 6 22-04-2019 11:08:35.760 T: 26.76959991455078 [C]; A:[0, 64, 194]; H: 65.380615234375
SENSE daab 10 22-04-2019 11:08:35.582 T: 29.32799911499023 [C]; A:[-56, -32, 190]; H: 58.697265625
SENSE daab 11 22-04-2019 11:08:36.143 T: 29.32799911499023 [C]; A:[60, 66, 256]; H: 58.727783203125
SENSE daac 7 22-04-2019 11:08:36.716 T: 26.83199882507324 [C]; A:[-4, 64, 190]; H: 65.380615234375
SENSE daab 12 22-04-2019 11:08:36.594 T: 29.32799911499023 [C]; A:[-48, -32, 160]; H: 58.697265625
SENSE daab 13 22-04-2019 11:08:37.126 T: 29.32799911499023 [C]; A:[-64, -32, 184]; H: 58.697265625
SENSE daac 8 22-04-2019 11:08:37.765 T: 26.83199882507324 [C]; A:[-4, 64, 198]; H: 65.380615234375
SENSE daab 14 22-04-2019 11:08:37.585 T: 29.32799911499023 [C]; A:[58, 60, 224]; H: 58.697265625
SENSE daab 15 22-04-2019 11:08:38.150 T: 29.32799911499023 [C]; A:[-56, -40, 168]; H: 58.697265625
SENSE daab 16 22-04-2019 11:08:38.627 T: 29.32799911499023 [C]; A:[62, 78, 318]; H: 58.666748046875
SENSE daad 4 22-04-2019 11:08:39.485 T: 25.58399963378906 [C]; A:[0, 6, 230]; H: 65.22802734375
SENSE daab 17 22-04-2019 11:08:39.074 T: 29.32799911499023 [C]; A:[62, 78, 292]; H: 58.666748046875
SENSE daab 18 22-04-2019 11:08:39.604 T: 29.32799911499023 [C]; A:[-56, -32, 160]; H: 58.666748046875
SENSE daad 5 22-04-2019 11:08:40.479 T: 25.58399963378906 [C]; A:[-6, 6, 230]; H: 65.22802734375
SENSE daab 19 22-04-2019 11:08:40.050 T: 29.32799911499023 [C]; A:[-56, -40, 160]; H: 58.63623046875
SENSE daaa 2 22-04-2019 11:08:31.376 T: 25.70879936218261 [C]; A:[0, 0, 252]; H: 64.06072998046875
SENSE daab 20 22-04-2019 11:08:40.587 T: 29.32799911499023 [C]; A:[62, 78, 300]; H: 58.63623046875
SENSE daad 6 22-04-2019 11:08:41.507 T: 25.58399963378906 [C]; A:[0, 2, 236]; H: 65.22802734375
SENSE daab 21 22-04-2019 11:08:41.124 T: 29.32799911499023 [C]; A:[62, 78, 334]; H: 58.63623046875
SENSE daab 22 22-04-2019 11:08:41.647 T: 29.32799911499023 [C]; A:[0, 0, 176]; H: 58.63623046875
SENSE daad 7 22-04-2019 11:08:42.645 T: 25.58399963378906 [C]; A:[-4, 2, 234]; H: 65.197509765625
SENSE daab 23 22-04-2019 11:08:42.094 T: 29.32799911499023 [C]; A:[-32, 0, 160]; H: 58.63623046875
SENSE daab 24 22-04-2019 11:08:42.630 T: 29.32799911499023 [C]; A:[-56, -32, 190]; H: 58.666748046875
SENSE daad 8 22-04-2019 11:08:43.683 T: 25.58399963378906 [C]; A:[-4, 8, 228]; H: 65.17462158203125
SENSE daab 25 22-04-2019 11:08:43.073 T: 29.32799911499023 [C]; A:[-48, -32, 152]; H: 58.666748046875
SENSE daab 26 22-04-2019 11:08:43.608 T: 29.32799911499023 [C]; A:[46, 94, 318]; H: 58.666748046875
SENSE daad 9 22-04-2019 11:08:44.721 T: 25.58399963378906 [C]; A:[0, 6, 230]; H: 65.17462158203125
SENSE daab 27 22-04-2019 11:08:44.052 T: 29.32799911499023 [C]; A:[-60, -28, 174]; H: 58.666748046875
SENSE daab 28 22-04-2019 11:08:44.584 T: 29.32799911499023 [C]; A:[42, 32, 200]; H: 58.666748046875
