SENSE daaa 1 22-04-2019 11:14:12.193 T: 25.39679908752441 [C]; A:[6, -32, 248]; H: 64.0836181640625
SENSE daab 1 22-04-2019 11:14:10.646 T: 28.82879829406738 [C]; A:[0, 0, 0]; H: 59.704345703125
SENSE daaa 2 22-04-2019 11:14:12.672 T: 25.4591999053955 [C]; A:[2, -28, 246]; H: 64.0836181640625
SENSE daad 1 22-04-2019 11:14:12.568 T: 25.64639854431152 [C]; A:[0, 0, 0]; H: 64.64056396484375
SENSE daaa 3 22-04-2019 11:14:13.289 T: 25.4591999053955 [C]; A:[8, -26, 248]; H: 64.06072998046875
SENSE daad 2 22-04-2019 11:14:13.573 T: 25.64639854431152 [C]; A:[2, 0, 238]; H: 64.64056396484375
SENSE daaa 4 22-04-2019 11:14:13.861 T: 25.39679908752441 [C]; A:[4, -28, 242]; H: 64.03021240234375
SENSE daad 3 22-04-2019 11:14:14.149 T: 25.64639854431152 [C]; A:[0, 4, 224]; H: 64.64056396484375
SENSE daaa 5 22-04-2019 11:14:14.443 T: 25.4591999053955 [C]; A:[6, -24, 248]; H: 64.03021240234375
SENSE daad 4 22-04-2019 11:14:14.745 T: 25.64639854431152 [C]; A:[0, 4, 236]; H: 64.64056396484375
SENSE daaa 6 22-04-2019 11:14:15.031 T: 25.39679908752441 [C]; A:[4, -26, 242]; H: 63.99969482421875
SENSE daad 5 22-04-2019 11:14:15.331 T: 25.64639854431152 [C]; A:[0, 0, 236]; H: 64.64056396484375
SENSE daaa 7 22-04-2019 11:14:15.634 T: 25.4591999053955 [C]; A:[8, -30, 250]; H: 63.96917724609375
SENSE daad 6 22-04-2019 11:14:15.903 T: 25.64639854431152 [C]; A:[0, 2, 230]; H: 64.61767578125
SENSE daaa 8 22-04-2019 11:14:16.200 T: 25.4591999053955 [C]; A:[6, -26, 246]; H: 63.96917724609375
SENSE daad 7 22-04-2019 11:14:16.512 T: 25.64639854431152 [C]; A:[0, 2, 232]; H: 64.61767578125
SENSE daaa 9 22-04-2019 11:14:16.792 T: 25.4591999053955 [C]; A:[6, -24, 248]; H: 63.96917724609375
SENSE daad 8 22-04-2019 11:14:17.110 T: 25.70879936218261 [C]; A:[-4, 4, 220]; H: 64.61767578125
