SENSE daaa 1 20-04-2019 13:23:00.831 T: 33.88319778442382 [C]; A:[-76, 96, 206]; H: 61.9168701171875
SENSE daaa 2 20-04-2019 13:23:01.180 T: 33.88319778442382 [C]; A:[-66, 88, 208]; H: 61.9168701171875
SENSE daaa 3 20-04-2019 13:23:01.543 T: 33.88319778442382 [C]; A:[-64, 86, 212]; H: 61.9168701171875
SENSE daaa 4 20-04-2019 13:23:01.901 T: 33.88319778442382 [C]; A:[-64, 88, 218]; H: 61.9168701171875
SENSE daac 1 20-04-2019 13:23:01.271 T: 30.7007999420166 [C]; A:[0, 0, 0]; H: 71.00347900390625
SENSE daaa 5 20-04-2019 13:23:02.329 T: 33.94559860229492 [C]; A:[-64, 88, 246]; H: 61.9168701171875
SENSE daad 1 20-04-2019 13:23:01.514 T: 30.26399993896484 [C]; A:[0, 0, 0]; H: 68.36370849609375
SENSE daab 3 20-04-2019 13:23:01.885 T: 33.25919723510742 [C]; A:[-8, -72, 224]; H: 65.2890625
SENSE daaa 6 20-04-2019 13:23:02.852 T: 33.94559860229492 [C]; A:[-84, 90, 232]; H: 61.9168701171875
SENSE daaa 7 20-04-2019 13:23:03.215 T: 33.94559860229492 [C]; A:[-66, 86, 208]; H: 61.9168701171875
SENSE daaa 8 20-04-2019 13:23:03.568 T: 33.94559860229492 [C]; A:[-64, 84, 220]; H: 61.9168701171875
SENSE daaa 9 20-04-2019 13:23:03.941 T: 33.94559860229492 [C]; A:[-68, 86, 214]; H: 61.9168701171875
SENSE daaa 10 20-04-2019 13:23:04.346 T: 33.94559860229492 [C]; A:[-64, 86, 212]; H: 61.9168701171875
SENSE daaa 11 20-04-2019 13:23:04.708 T: 33.94559860229492 [C]; A:[-64, 80, 212]; H: 61.9168701171875
SENSE daaa 12 20-04-2019 13:23:05.071 T: 33.88319778442382 [C]; A:[-64, 88, 214]; H: 61.9168701171875
SENSE daaa 13 20-04-2019 13:23:05.429 T: 33.94559860229492 [C]; A:[-64, 88, 214]; H: 61.9168701171875
SENSE daaa 14 20-04-2019 13:23:05.742 T: 33.94559860229492 [C]; A:[-64, 88, 204]; H: 61.9168701171875
SENSE daaa 15 20-04-2019 13:23:06.120 T: 33.94559860229492 [C]; A:[-62, 88, 216]; H: 61.9168701171875
SENSE daaa 16 20-04-2019 13:23:06.479 T: 33.94559860229492 [C]; A:[-64, 86, 218]; H: 61.9168701171875
SENSE daad 5 20-04-2019 13:23:03.576 T: 30.26399993896484 [C]; A:[8, -26, 248]; H: 68.3408203125
SENSE daaa 17 20-04-2019 13:23:06.882 T: 33.94559860229492 [C]; A:[-66, 90, 214]; H: 61.9168701171875
SENSE daaa 17 20-04-2019 13:23:06.882 T: 33.94559860229492 [C]; A:[-66, 90, 214]; H: 61.9168701171875
SENSE daaa 18 20-04-2019 13:23:07.250 T: 33.94559860229492 [C]; A:[-64, 90, 212]; H: 61.9168701171875
SENSE daac 7 20-04-2019 13:23:04.133 T: 30.7007999420166 [C]; A:[2, -8, 202]; H: 70.94244384765625
SENSE daad 6 20-04-2019 13:23:03.944 T: 30.26399993896484 [C]; A:[14, -34, 244]; H: 68.3408203125
SENSE daad 7 20-04-2019 13:23:04.375 T: 30.26399993896484 [C]; A:[10, -28, 244]; H: 68.3408203125
SENSE daad 8 20-04-2019 13:23:04.805 T: 30.26399993896484 [C]; A:[20, -36, 238]; H: 68.3408203125
SENSE daaa 19 20-04-2019 13:23:07.892 T: 33.94559860229492 [C]; A:[-60, 88, 214]; H: 61.9473876953125
SENSE daaa 20 20-04-2019 13:23:08.245 T: 33.88319778442382 [C]; A:[-68, 84, 216]; H: 61.9473876953125
SENSE daaa 21 20-04-2019 13:23:08.603 T: 33.94559860229492 [C]; A:[-62, 90, 212]; H: 61.9473876953125
SENSE daac 11 20-04-2019 13:23:06.216 T: 30.7007999420166 [C]; A:[0, -4, 194]; H: 70.9195556640625
SENSE daac 12 20-04-2019 13:23:06.584 T: 30.7007999420166 [C]; A:[4, 0, 200]; H: 70.8890380859375
SENSE daaa 22 20-04-2019 13:23:09.076 T: 33.94559860229492 [C]; A:[-58, 88, 212]; H: 61.9168701171875
SENSE daaa 23 20-04-2019 13:23:09.439 T: 33.94559860229492 [C]; A:[-58, 88, 222]; H: 61.9168701171875
SENSE daab 15 20-04-2019 13:23:07.489 T: 33.25919723510742 [C]; A:[-6, -60, 226]; H: 64.9075927734375
SENSE daaa 24 20-04-2019 13:23:09.867 T: 33.94559860229492 [C]; A:[-64, 82, 220]; H: 61.9168701171875
SENSE daac 13 20-04-2019 13:23:07.341 T: 30.7007999420166 [C]; A:[0, 0, 202]; H: 70.8890380859375
SENSE daaa 25 20-04-2019 13:23:10.305 T: 33.94559860229492 [C]; A:[-50, 88, 212]; H: 61.8863525390625
SENSE daab 16 20-04-2019 13:23:08.133 T: 33.1968002319336 [C]; A:[-4, -64, 224]; H: 64.79315185546875
SENSE daac 15 20-04-2019 13:23:08.369 T: 30.7007999420166 [C]; A:[2, -8, 202]; H: 70.8585205078125
SENSE daaa 26 20-04-2019 13:23:10.851 T: 33.94559860229492 [C]; A:[-60, 88, 216]; H: 61.8863525390625
SENSE daac 16 20-04-2019 13:23:08.830 T: 30.7007999420166 [C]; A:[0, -6, 198]; H: 70.83563232421875
SENSE daaa 27 20-04-2019 13:23:11.245 T: 33.94559860229492 [C]; A:[-54, 86, 216]; H: 61.8863525390625
SENSE daab 19 20-04-2019 13:23:09.684 T: 33.25919723510742 [C]; A:[0, -68, 224]; H: 64.53375244140625
SENSE daac 17 20-04-2019 13:23:09.536 T: 30.7007999420166 [C]; A:[0, 0, 196]; H: 70.83563232421875
SENSE daac 18 20-04-2019 13:23:09.920 T: 30.7007999420166 [C]; A:[2, -6, 202]; H: 70.83563232421875
