SENSE daaa 1 19-04-2019 09:07:30.051 T: 28.01759910583496 [C]; A:[16, -20, 252]; H: 76.3822021484375
SENSE daaa 2 19-04-2019 09:07:30.625 T: 27.9552001953125 [C]; A:[16, -20, 250]; H: 76.3822021484375
SENSE daab 1 19-04-2019 09:07:30.253 T: 27.9552001953125 [C]; A:[38, -30, 236]; H: 78.81597900390625
SENSE daab 2 19-04-2019 09:07:31.332 T: 28.01759910583496 [C]; A:[16, -20, 220]; H: 78.81597900390625
SENSE daab 3 19-04-2019 09:07:31.823 T: 27.9552001953125 [C]; A:[20, -26, 226]; H: 78.81597900390625
SENSE daab 4 19-04-2019 09:07:32.315 T: 27.9552001953125 [C]; A:[18, -20, 220]; H: 78.81597900390625
SENSE daab 5 19-04-2019 09:07:32.807 T: 28.01759910583496 [C]; A:[22, -22, 224]; H: 78.81597900390625
SENSE daab 6 19-04-2019 09:07:33.339 T: 27.9552001953125 [C]; A:[22, -18, 222]; H: 78.81597900390625
SENSE daab 7 19-04-2019 09:07:33.835 T: 27.9552001953125 [C]; A:[20, -18, 230]; H: 78.81597900390625
SENSE daab 8 19-04-2019 09:07:34.331 T: 28.01759910583496 [C]; A:[20, -18, 220]; H: 78.81597900390625
SENSE daab 9 19-04-2019 09:07:34.823 T: 27.9552001953125 [C]; A:[20, -22, 218]; H: 78.81597900390625
SENSE daab 10 19-04-2019 09:07:35.300 T: 27.9552001953125 [C]; A:[22, -24, 222]; H: 78.81597900390625
SENSE daad 1 19-04-2019 09:07:30.583 T: 27.20639991760253 [C]; A:[0, 0, 0]; H: 81.50152587890625
SENSE daaa 3 19-04-2019 09:07:35.975 T: 28.01759910583496 [C]; A:[12, -18, 248]; H: 76.32879638671875
SENSE daab 11 19-04-2019 09:07:35.901 T: 27.9552001953125 [C]; A:[24, -22, 226]; H: 78.81597900390625
SENSE daaa 4 19-04-2019 09:07:36.448 T: 28.07999992370605 [C]; A:[16, -14, 252]; H: 76.32879638671875
SENSE daaa 5 19-04-2019 09:07:37.026 T: 28.01759910583496 [C]; A:[14, -18, 252]; H: 76.32879638671875
SENSE daab 12 19-04-2019 09:07:36.799 T: 28.01759910583496 [C]; A:[20, -22, 228]; H: 78.81597900390625
SENSE daaa 6 19-04-2019 09:07:37.504 T: 28.07999992370605 [C]; A:[14, -20, 250]; H: 76.32879638671875
SENSE daab 13 19-04-2019 09:07:37.837 T: 28.01759910583496 [C]; A:[20, -24, 224]; H: 78.81597900390625
SENSE daaa 7 19-04-2019 09:07:38.172 T: 28.01759910583496 [C]; A:[16, -16, 250]; H: 76.32879638671875
SENSE daaa 8 19-04-2019 09:07:38.658 T: 28.07999992370605 [C]; A:[14, -24, 252]; H: 76.32879638671875
SENSE daab 14 19-04-2019 09:07:38.508 T: 27.9552001953125 [C]; A:[20, -24, 226]; H: 78.81597900390625
SENSE daaa 9 19-04-2019 09:07:39.121 T: 28.07999992370605 [C]; A:[18, -18, 248]; H: 76.29827880859375
SENSE daaa 10 19-04-2019 09:07:39.698 T: 28.07999992370605 [C]; A:[12, -18, 252]; H: 76.29827880859375
SENSE daab 15 19-04-2019 09:07:39.467 T: 27.9552001953125 [C]; A:[16, -22, 226]; H: 78.81597900390625
SENSE daaa 11 19-04-2019 09:07:40.177 T: 28.07999992370605 [C]; A:[14, -12, 256]; H: 76.29827880859375
SENSE daaa 12 19-04-2019 09:07:40.754 T: 28.07999992370605 [C]; A:[12, -14, 248]; H: 76.29827880859375
SENSE daab 16 19-04-2019 09:07:40.524 T: 28.01759910583496 [C]; A:[18, -20, 222]; H: 78.81597900390625
SENSE daaa 13 19-04-2019 09:07:41.216 T: 28.07999992370605 [C]; A:[16, -16, 248]; H: 76.275390625
SENSE daab 17 19-04-2019 09:07:41.553 T: 27.9552001953125 [C]; A:[24, -20, 222]; H: 78.81597900390625
SENSE daaa 14 19-04-2019 09:07:41.880 T: 28.07999992370605 [C]; A:[16, -22, 244]; H: 76.275390625
SENSE daaa 15 19-04-2019 09:07:42.366 T: 28.07999992370605 [C]; A:[16, -14, 250]; H: 76.275390625
SENSE daab 18 19-04-2019 09:07:42.223 T: 27.9552001953125 [C]; A:[22, -20, 224]; H: 78.81597900390625
SENSE daaa 16 19-04-2019 09:07:42.854 T: 28.07999992370605 [C]; A:[12, -18, 252]; H: 76.28302001953125
SENSE daaa 17 19-04-2019 09:07:43.421 T: 28.07999992370605 [C]; A:[16, -16, 252]; H: 76.28302001953125
SENSE daab 19 19-04-2019 09:07:43.191 T: 28.01759910583496 [C]; A:[18, -22, 224]; H: 78.81597900390625
SENSE daaa 18 19-04-2019 09:07:43.894 T: 28.07999992370605 [C]; A:[14, -16, 254]; H: 76.28302001953125
SENSE daaa 19 19-04-2019 09:07:44.461 T: 28.07999992370605 [C]; A:[12, -14, 248]; H: 76.28302001953125
SENSE daab 20 19-04-2019 09:07:44.239 T: 28.01759910583496 [C]; A:[22, -20, 218]; H: 78.81597900390625
SENSE daaa 20 19-04-2019 09:07:44.924 T: 28.07999992370605 [C]; A:[12, -20, 250]; H: 76.2601318359375
SENSE daaa 21 19-04-2019 09:07:45.497 T: 28.07999992370605 [C]; A:[16, -20, 242]; H: 76.2601318359375
SENSE daab 21 19-04-2019 09:07:45.288 T: 28.01759910583496 [C]; A:[18, -24, 220]; H: 78.81597900390625
SENSE daab 22 19-04-2019 09:07:46.321 T: 28.01759910583496 [C]; A:[16, -22, 216]; H: 78.81597900390625
SENSE daab 23 19-04-2019 09:07:46.853 T: 28.01759910583496 [C]; A:[14, -16, 224]; H: 78.81597900390625
