SENSE daaa 1 19-04-2019 09:30:30.244 T: 28.57919883728027 [C]; A:[0, 0, 0]; H: 74.8563232421875
SENSE daab 1 19-04-2019 09:30:30.458 T: 28.76639938354492 [C]; A:[0, 0, 0]; H: 76.66448974609375
SENSE daad 1 19-04-2019 09:30:30.708 T: 27.76799964904785 [C]; A:[0, 0, 0]; H: 80.25030517578125
SENSE daab 2 19-04-2019 09:30:31.338 T: 28.82879829406738 [C]; A:[8, -74, 212]; H: 76.66448974609375
SENSE daad 2 19-04-2019 09:30:31.820 T: 27.70559883117675 [C]; A:[100, 0, 184]; H: 80.25030517578125
SENSE daab 3 19-04-2019 09:30:31.919 T: 28.76639938354492 [C]; A:[8, -72, 214]; H: 76.66448974609375
SENSE daad 3 19-04-2019 09:30:32.544 T: 27.76799964904785 [C]; A:[96, 0, 188]; H: 80.25030517578125
SENSE daab 4 19-04-2019 09:30:32.689 T: 28.76639938354492 [C]; A:[6, -76, 220]; H: 76.63397216796875
SENSE daad 4 19-04-2019 09:30:33.325 T: 27.76799964904785 [C]; A:[96, 0, 190]; H: 80.25030517578125
SENSE daab 5 19-04-2019 09:30:33.459 T: 28.76639938354492 [C]; A:[10, -76, 214]; H: 76.63397216796875
SENSE daad 5 19-04-2019 09:30:34.075 T: 27.70559883117675 [C]; A:[94, 0, 182]; H: 80.25030517578125
SENSE daab 6 19-04-2019 09:30:34.228 T: 28.76639938354492 [C]; A:[8, -74, 232]; H: 76.63397216796875
SENSE daad 6 19-04-2019 09:30:34.850 T: 27.76799964904785 [C]; A:[100, 0, 186]; H: 80.25030517578125
SENSE daaa 2 19-04-2019 09:30:35.709 T: 28.64159965515136 [C]; A:[14, -10, 256]; H: 74.83343505859375
SENSE daac 1 19-04-2019 09:30:30.584 T: 29.14079856872558 [C]; A:[0, 0, 0]; H: 75.71844482421875
SENSE daad 7 19-04-2019 09:30:35.620 T: 27.76799964904785 [C]; A:[92, 0, 182]; H: 80.25030517578125
SENSE daaa 3 19-04-2019 09:30:36.259 T: 28.57919883728027 [C]; A:[10, -8, 246]; H: 74.810546875
SENSE daac 2 19-04-2019 09:30:36.686 T: 29.20319938659667 [C]; A:[12, -26, 230]; H: 75.68792724609375
SENSE daaa 4 19-04-2019 09:30:37.144 T: 28.57919883728027 [C]; A:[14, -12, 248]; H: 74.810546875
SENSE daad 8 19-04-2019 09:30:36.964 T: 27.76799964904785 [C]; A:[100, 0, 178]; H: 80.25030517578125
SENSE daaa 5 19-04-2019 09:30:37.606 T: 28.64159965515136 [C]; A:[16, -14, 252]; H: 74.780029296875
SENSE daaa 6 19-04-2019 09:30:38.183 T: 28.57919883728027 [C]; A:[12, -10, 248]; H: 74.780029296875
SENSE daad 9 19-04-2019 09:30:38.070 T: 27.76799964904785 [C]; A:[96, 0, 184]; H: 80.25030517578125
SENSE daaa 7 19-04-2019 09:30:38.652 T: 28.64159965515136 [C]; A:[8, -14, 242]; H: 74.780029296875
SENSE daaa 8 19-04-2019 09:30:39.223 T: 28.64159965515136 [C]; A:[14, -16, 244]; H: 74.780029296875
SENSE daad 10 19-04-2019 09:30:39.135 T: 27.76799964904785 [C]; A:[94, 0, 188]; H: 80.21978759765625
SENSE daaa 9 19-04-2019 09:30:39.701 T: 28.64159965515136 [C]; A:[6, -14, 250]; H: 74.74951171875
