SENSE daaa 1 20-04-2019 14:12:30.635 T: 30.6383991241455 [C]; A:[0, 0, 0]; H: 70.34735107421875
SENSE daac 1 20-04-2019 14:12:30.635 T: 29.82719993591308 [C]; A:[0, 0, 0]; H: 70.46942138671875
SENSE daaa 2 20-04-2019 14:12:30.999 T: 30.7007999420166 [C]; A:[18, -34, 234]; H: 70.31683349609375
SENSE daac 2 20-04-2019 14:12:30.994 T: 29.82719993591308 [C]; A:[118, -18, 204]; H: 70.4312744140625
SENSE daab 1 20-04-2019 14:12:30.885 T: 29.20319938659667 [C]; A:[0, 0, 0]; H: 71.30865478515625
SENSE daad 1 20-04-2019 14:12:30.881 T: 29.26559829711914 [C]; A:[0, 0, 0]; H: 74.05523681640625
SENSE daaa 3 20-04-2019 14:12:31.427 T: 30.6383991241455 [C]; A:[16, -28, 224]; H: 70.2939453125
SENSE daac 3 20-04-2019 14:12:31.431 T: 29.82719993591308 [C]; A:[112, -18, 200]; H: 70.4312744140625
SENSE daab 2 20-04-2019 14:12:31.244 T: 29.26559829711914 [C]; A:[-40, -16, 248]; H: 71.27813720703125
SENSE daac 4 20-04-2019 14:12:31.799 T: 29.82719993591308 [C]; A:[114, -10, 206]; H: 70.3702392578125
SENSE daaa 4 20-04-2019 14:12:31.860 T: 30.6383991241455 [C]; A:[14, -26, 234]; H: 70.263427734375
SENSE daab 3 20-04-2019 14:12:31.677 T: 29.20319938659667 [C]; A:[-38, -14, 248]; H: 71.27813720703125
SENSE daac 5 20-04-2019 14:12:32.152 T: 29.82719993591308 [C]; A:[112, -16, 210]; H: 70.3702392578125
SENSE daaa 5 20-04-2019 14:12:32.298 T: 30.6383991241455 [C]; A:[12, -24, 232]; H: 70.21002197265625
SENSE daac 6 20-04-2019 14:12:32.514 T: 29.88959884643554 [C]; A:[114, -20, 206]; H: 70.3702392578125
SENSE daaa 6 20-04-2019 14:12:32.667 T: 30.7007999420166 [C]; A:[12, -28, 234]; H: 70.21002197265625
