SENSE daaa 1 19-04-2019 11:57:29.223 T: 30.76319885253906 [C]; A:[-40, 56, 192]; H: 72.62091064453125
SENSE daab 1 19-04-2019 11:57:29.218 T: 31.13759994506835 [C]; A:[0, 0, 0]; H: 71.38494873046875
SENSE daac 1 19-04-2019 11:57:29.214 T: 30.3263988494873 [C]; A:[50, -28, 242]; H: 70.7822265625
SENSE daab 2 19-04-2019 11:57:29.911 T: 31.13759994506835 [C]; A:[-8, 8, 234]; H: 71.41546630859375
SENSE daac 2 19-04-2019 11:57:30.136 T: 30.3887996673584 [C]; A:[48, -30, 240]; H: 70.751708984375
SENSE daab 3 19-04-2019 11:57:30.488 T: 31.13759994506835 [C]; A:[0, 16, 236]; H: 71.41546630859375
SENSE daac 3 19-04-2019 11:57:30.713 T: 30.3887996673584 [C]; A:[50, -30, 240]; H: 70.7822265625
SENSE daab 4 19-04-2019 11:57:31.065 T: 31.19999885559082 [C]; A:[-6, 8, 234]; H: 71.41546630859375
SENSE daac 4 19-04-2019 11:57:31.290 T: 30.3887996673584 [C]; A:[50, -28, 242]; H: 70.7822265625
SENSE daab 5 19-04-2019 11:57:31.642 T: 31.13759994506835 [C]; A:[-4, 8, 238]; H: 71.41546630859375
SENSE daac 5 19-04-2019 11:57:31.867 T: 30.3887996673584 [C]; A:[48, -26, 258]; H: 70.80511474609375
SENSE daab 6 19-04-2019 11:57:32.220 T: 31.13759994506835 [C]; A:[-4, 12, 244]; H: 71.41546630859375
SENSE daac 6 19-04-2019 11:57:32.461 T: 30.3887996673584 [C]; A:[50, -32, 242]; H: 70.80511474609375
SENSE daab 7 19-04-2019 11:57:32.788 T: 31.13759994506835 [C]; A:[0, 14, 240]; H: 71.41546630859375
SENSE daac 7 19-04-2019 11:57:33.007 T: 30.3887996673584 [C]; A:[50, -32, 252]; H: 70.7822265625
SENSE daab 8 19-04-2019 11:57:33.359 T: 31.19999885559082 [C]; A:[-8, 14, 236]; H: 71.44598388671875
SENSE daac 8 19-04-2019 11:57:33.584 T: 30.3887996673584 [C]; A:[50, -30, 236]; H: 70.7822265625
SENSE daab 9 19-04-2019 11:57:33.936 T: 31.13759994506835 [C]; A:[-8, 18, 234]; H: 71.44598388671875
SENSE daac 9 19-04-2019 11:57:34.171 T: 30.3887996673584 [C]; A:[50, -34, 244]; H: 70.7822265625
SENSE daad 1 19-04-2019 11:57:29.423 T: 30.3263988494873 [C]; A:[0, 0, 0]; H: 74.7037353515625
SENSE daac 10 19-04-2019 11:57:34.739 T: 30.3887996673584 [C]; A:[48, -26, 238]; H: 70.751708984375
SENSE daad 2 19-04-2019 11:57:35.050 T: 30.26399993896484 [C]; A:[-8, 0, 198]; H: 74.81817626953125
SENSE daac 11 19-04-2019 11:57:35.392 T: 30.3887996673584 [C]; A:[48, -34, 246]; H: 70.751708984375
SENSE daac 12 19-04-2019 11:57:35.874 T: 30.3887996673584 [C]; A:[54, -32, 246]; H: 70.72119140625
SENSE daad 3 19-04-2019 11:57:35.731 T: 30.3263988494873 [C]; A:[-8, -4, 204]; H: 74.84869384765625
SENSE daac 13 19-04-2019 11:57:36.351 T: 30.3887996673584 [C]; A:[46, -32, 240]; H: 70.751708984375
SENSE daac 14 19-04-2019 11:57:36.923 T: 30.3887996673584 [C]; A:[54, -30, 246]; H: 70.751708984375
SENSE daad 4 19-04-2019 11:57:36.691 T: 30.26399993896484 [C]; A:[-8, -6, 202]; H: 74.87158203125
SENSE daac 15 19-04-2019 11:57:37.386 T: 30.3887996673584 [C]; A:[48, -28, 244]; H: 70.751708984375
SENSE daad 5 19-04-2019 11:57:37.706 T: 30.26399993896484 [C]; A:[-4, -4, 204]; H: 74.9326171875
SENSE daac 16 19-04-2019 11:57:38.050 T: 30.3887996673584 [C]; A:[48, -30, 244]; H: 70.751708984375
SENSE daac 17 19-04-2019 11:57:38.531 T: 30.3887996673584 [C]; A:[50, -30, 240]; H: 70.7822265625
SENSE daad 6 19-04-2019 11:57:38.406 T: 30.26399993896484 [C]; A:[-4, 0, 202]; H: 74.9326171875
SENSE daac 18 19-04-2019 11:57:39.009 T: 30.3887996673584 [C]; A:[50, -28, 240]; H: 70.7822265625
SENSE daab 10 19-04-2019 11:57:34.514 T: 31.13759994506835 [C]; A:[-6, 10, 230]; H: 71.47650146484375
SENSE daad 7 19-04-2019 11:57:39.327 T: 30.3263988494873 [C]; A:[0, 0, 200]; H: 74.95550537109375
SENSE daac 19 19-04-2019 11:57:39.672 T: 30.3887996673584 [C]; A:[50, -30, 240]; H: 70.7822265625
SENSE daad 8 19-04-2019 11:57:40.156 T: 30.3263988494873 [C]; A:[-8, 0, 202]; H: 74.95550537109375
SENSE daac 20 19-04-2019 11:57:40.500 T: 30.3887996673584 [C]; A:[48, -30, 242]; H: 70.7822265625
SENSE daac 21 19-04-2019 11:57:41.019 T: 30.45119857788085 [C]; A:[50, -28, 244]; H: 70.7822265625
SENSE daad 9 19-04-2019 11:57:40.816 T: 30.3263988494873 [C]; A:[-8, 0, 198]; H: 74.98602294921875
SENSE daac 22 19-04-2019 11:57:41.508 T: 30.3887996673584 [C]; A:[50, -36, 240]; H: 70.80511474609375
SENSE daac 23 19-04-2019 11:57:42.080 T: 30.45119857788085 [C]; A:[54, -34, 248]; H: 70.7822265625
SENSE daad 10 19-04-2019 11:57:41.851 T: 30.3263988494873 [C]; A:[-8, -4, 202]; H: 75.01654052734375
SENSE daac 24 19-04-2019 11:57:42.542 T: 30.3887996673584 [C]; A:[50, -30, 246]; H: 70.7822265625
SENSE daac 25 19-04-2019 11:57:43.115 T: 30.45119857788085 [C]; A:[54, -30, 240]; H: 70.7822265625
SENSE daad 11 19-04-2019 11:57:42.871 T: 30.3263988494873 [C]; A:[-6, 0, 202]; H: 75.01654052734375
SENSE daac 26 19-04-2019 11:57:43.578 T: 30.3887996673584 [C]; A:[48, -26, 244]; H: 70.7822265625
SENSE daad 12 19-04-2019 11:57:43.911 T: 30.3263988494873 [C]; A:[-8, -8, 202]; H: 75.01654052734375
SENSE daac 27 19-04-2019 11:57:44.251 T: 30.45119857788085 [C]; A:[52, -34, 238]; H: 70.7822265625
SENSE daaa 2 19-04-2019 11:57:29.686 T: 30.82559967041015 [C]; A:[-38, 56, 214]; H: 72.65142822265625
SENSE daab 11 19-04-2019 11:57:39.938 T: 31.13759994506835 [C]; A:[0, 8, 234]; H: 71.61383056640625
SENSE daad 13 19-04-2019 11:57:44.576 T: 30.3263988494873 [C]; A:[-8, 0, 206]; H: 75.01654052734375
SENSE daab 12 19-04-2019 11:57:45.372 T: 31.13759994506835 [C]; A:[-4, 14, 236]; H: 71.81219482421875
SENSE daad 14 19-04-2019 11:57:45.582 T: 30.26399993896484 [C]; A:[0, -6, 200]; H: 75.01654052734375
SENSE daab 13 19-04-2019 11:57:45.970 T: 31.13759994506835 [C]; A:[-4, 10, 240]; H: 71.81219482421875
SENSE daad 15 19-04-2019 11:57:46.162 T: 30.26399993896484 [C]; A:[-6, 0, 200]; H: 75.01654052734375
SENSE daab 14 19-04-2019 11:57:46.532 T: 31.13759994506835 [C]; A:[0, 10, 238]; H: 71.81219482421875
SENSE daad 16 19-04-2019 11:57:46.741 T: 30.3263988494873 [C]; A:[-10, -4, 204]; H: 75.0394287109375
