SENSE daaa 1 19-04-2019 07:09:30.270 T: 28.64159965515136 [C]; A:[28, -70, 216]; H: 76.52716064453125
SENSE daab 1 19-04-2019 07:09:30.269 T: 29.01599884033203 [C]; A:[16, -30, 238]; H: 72.52935791015625
SENSE daac 1 19-04-2019 07:09:30.264 T: 26.20800018310546 [C]; A:[0, 0, 0]; H: 84.6524658203125
SENSE daad 1 19-04-2019 07:09:30.265 T: 26.83199882507324 [C]; A:[0, 0, 0]; H: 81.890625
SENSE daaa 2 19-04-2019 07:09:30.514 T: 28.64159965515136 [C]; A:[12, -64, 212]; H: 76.52716064453125
SENSE daab 2 19-04-2019 07:09:30.512 T: 29.07839965820312 [C]; A:[16, -30, 246]; H: 72.5064697265625
SENSE daac 2 19-04-2019 07:09:30.501 T: 26.20800018310546 [C]; A:[-36, 102, 178]; H: 84.6524658203125
SENSE daad 2 19-04-2019 07:09:30.507 T: 26.83199882507324 [C]; A:[20, -4, 232]; H: 81.890625
SENSE daaa 3 19-04-2019 07:09:30.752 T: 28.64159965515136 [C]; A:[8, -68, 214]; H: 76.52716064453125
SENSE daab 3 19-04-2019 07:09:30.751 T: 29.07839965820312 [C]; A:[16, -30, 246]; H: 72.52935791015625
SENSE daac 3 19-04-2019 07:09:30.741 T: 26.20800018310546 [C]; A:[-40, 104, 178]; H: 84.6524658203125
SENSE daad 3 19-04-2019 07:09:30.745 T: 26.83199882507324 [C]; A:[24, -8, 236]; H: 81.890625
SENSE daaa 4 19-04-2019 07:09:30.996 T: 28.57919883728027 [C]; A:[16, -66, 226]; H: 76.52716064453125
SENSE daab 4 19-04-2019 07:09:30.989 T: 29.07839965820312 [C]; A:[18, -30, 244]; H: 72.5064697265625
SENSE daac 4 19-04-2019 07:09:30.981 T: 26.20800018310546 [C]; A:[-36, 100, 184]; H: 84.6524658203125
SENSE daad 4 19-04-2019 07:09:30.984 T: 26.83199882507324 [C]; A:[24, 0, 232]; H: 81.890625
SENSE daaa 5 19-04-2019 07:09:31.239 T: 28.64159965515136 [C]; A:[12, -72, 222]; H: 76.52716064453125
SENSE daab 5 19-04-2019 07:09:31.228 T: 29.07839965820312 [C]; A:[12, -32, 246]; H: 72.5064697265625
SENSE daac 5 19-04-2019 07:09:31.221 T: 26.20800018310546 [C]; A:[-32, 98, 184]; H: 84.6524658203125
SENSE daad 5 19-04-2019 07:09:31.223 T: 26.83199882507324 [C]; A:[18, -6, 230]; H: 81.890625
SENSE daaa 6 19-04-2019 07:09:31.477 T: 28.64159965515136 [C]; A:[14, -64, 220]; H: 76.52716064453125
SENSE daab 6 19-04-2019 07:09:31.462 T: 29.07839965820312 [C]; A:[16, -26, 246]; H: 72.5064697265625
SENSE daac 6 19-04-2019 07:09:31.461 T: 26.20800018310546 [C]; A:[-38, 100, 182]; H: 84.6524658203125
SENSE daad 6 19-04-2019 07:09:31.462 T: 26.89439964294433 [C]; A:[18, 0, 232]; H: 81.890625
SENSE daaa 7 19-04-2019 07:09:31.721 T: 28.57919883728027 [C]; A:[18, -68, 214]; H: 76.52716064453125
