SENSE daaa 1 22-04-2019 12:40:45.718 T: 26.33279991149902 [C]; A:[0, 0, 0]; H: 64.6024169921875
SENSE daab 1 22-04-2019 12:40:45.717 T: 26.51999855041503 [C]; A:[40, -28, 238]; H: 62.42803955078125
SENSE daac 1 22-04-2019 12:40:45.717 T: 26.58239936828613 [C]; A:[0, 0, 0]; H: 65.258544921875
SENSE daad 1 22-04-2019 12:40:45.714 T: 26.20800018310546 [C]; A:[0, 56, 194]; H: 67.57025146484375
SENSE daaa 2 22-04-2019 12:40:46.050 T: 26.39519882202148 [C]; A:[0, 6, 232]; H: 64.6024169921875
SENSE daab 2 22-04-2019 12:40:46.049 T: 26.51999855041503 [C]; A:[40, -32, 240]; H: 62.42803955078125
SENSE daac 2 22-04-2019 12:40:46.049 T: 26.58239936828613 [C]; A:[0, 4, 236]; H: 65.258544921875
SENSE daad 2 22-04-2019 12:40:46.045 T: 26.33279991149902 [C]; A:[4, 58, 198]; H: 67.53973388671875
SENSE daaa 3 22-04-2019 12:40:46.383 T: 26.39519882202148 [C]; A:[-8, -4, 234]; H: 64.6024169921875
SENSE daab 3 22-04-2019 12:40:46.383 T: 26.58239936828613 [C]; A:[38, -26, 248]; H: 62.42803955078125
SENSE daac 3 22-04-2019 12:40:46.381 T: 26.64480018615722 [C]; A:[-6, 12, 236]; H: 65.2890625
SENSE daad 3 22-04-2019 12:40:46.377 T: 26.14559936523437 [C]; A:[0, 58, 202]; H: 67.53973388671875
SENSE daaa 4 22-04-2019 12:40:46.717 T: 26.39519882202148 [C]; A:[0, 0, 234]; H: 64.6024169921875
SENSE daab 4 22-04-2019 12:40:46.717 T: 26.58239936828613 [C]; A:[40, -32, 244]; H: 62.45855712890625
SENSE daac 4 22-04-2019 12:40:46.716 T: 26.58239936828613 [C]; A:[4, 10, 230]; H: 65.31195068359375
SENSE daad 4 22-04-2019 12:40:46.714 T: 26.02079963684082 [C]; A:[0, 62, 192]; H: 67.53973388671875
SENSE daaa 5 22-04-2019 12:40:47.052 T: 26.39519882202148 [C]; A:[-8, 0, 226]; H: 64.6024169921875
SENSE daab 5 22-04-2019 12:40:47.051 T: 26.58239936828613 [C]; A:[38, -30, 244]; H: 62.42803955078125
SENSE daac 5 22-04-2019 12:40:47.051 T: 26.64480018615722 [C]; A:[2, 6, 230]; H: 65.31195068359375
SENSE daad 5 22-04-2019 12:40:47.047 T: 26.14559936523437 [C]; A:[0, 60, 198]; H: 67.53973388671875
SENSE daaa 6 22-04-2019 12:40:47.390 T: 26.39519882202148 [C]; A:[-4, 0, 232]; H: 64.6024169921875
SENSE daab 6 22-04-2019 12:40:47.389 T: 26.51999855041503 [C]; A:[42, -30, 244]; H: 62.42803955078125
SENSE daac 6 22-04-2019 12:40:47.389 T: 26.58239936828613 [C]; A:[0, 8, 228]; H: 65.34246826171875
SENSE daad 6 22-04-2019 12:40:47.384 T: 26.14559936523437 [C]; A:[0, 60, 200]; H: 67.53973388671875
SENSE daaa 7 22-04-2019 12:40:47.722 T: 26.39519882202148 [C]; A:[0, 0, 224]; H: 64.6024169921875
SENSE daab 7 22-04-2019 12:40:47.721 T: 26.51999855041503 [C]; A:[48, -28, 240]; H: 62.45855712890625
SENSE daac 7 22-04-2019 12:40:47.720 T: 26.58239936828613 [C]; A:[-4, 0, 228]; H: 65.37298583984375
SENSE daad 7 22-04-2019 12:40:47.718 T: 26.02079963684082 [C]; A:[4, 64, 198]; H: 67.57025146484375
SENSE daaa 8 22-04-2019 12:40:48.063 T: 26.39519882202148 [C]; A:[0, -6, 228]; H: 64.6024169921875
SENSE daab 8 22-04-2019 12:40:48.061 T: 26.58239936828613 [C]; A:[34, -20, 246]; H: 62.45855712890625
SENSE daac 8 22-04-2019 12:40:48.059 T: 26.64480018615722 [C]; A:[0, 8, 234]; H: 65.37298583984375
SENSE daad 8 22-04-2019 12:40:48.054 T: 25.89599990844726 [C]; A:[2, 62, 194]; H: 67.5931396484375
SENSE daaa 9 22-04-2019 12:40:48.392 T: 26.39519882202148 [C]; A:[-10, 2, 230]; H: 64.6024169921875
SENSE daab 9 22-04-2019 12:40:48.392 T: 26.58239936828613 [C]; A:[38, -26, 242]; H: 62.45855712890625
SENSE daac 9 22-04-2019 12:40:48.391 T: 26.58239936828613 [C]; A:[0, 6, 234]; H: 65.37298583984375
SENSE daad 9 22-04-2019 12:40:48.388 T: 26.14559936523437 [C]; A:[0, 60, 198]; H: 67.5931396484375
SENSE daaa 10 22-04-2019 12:40:48.730 T: 26.39519882202148 [C]; A:[-4, 2, 232]; H: 64.6024169921875
