SENSE daaa 1 19-04-2019 06:06:44.781 T: 25.64639854431152 [C]; A:[0, 0, 0]; H: 86.00286865234375
SENSE daab 1 19-04-2019 06:06:44.782 T: 27.14399909973144 [C]; A:[0, 0, 0]; H: 80.578369140625
SENSE daaa 2 19-04-2019 06:06:45.262 T: 25.70879936218261 [C]; A:[-74, 0, 194]; H: 86.00286865234375
SENSE daab 2 19-04-2019 06:06:45.480 T: 27.14399909973144 [C]; A:[0, 4, 230]; H: 80.578369140625
SENSE daaa 3 19-04-2019 06:06:45.822 T: 25.70879936218261 [C]; A:[-74, 2, 194]; H: 86.00286865234375
SENSE daab 3 19-04-2019 06:06:46.047 T: 27.20639991760253 [C]; A:[2, 4, 236]; H: 80.578369140625
SENSE daaa 4 19-04-2019 06:06:46.397 T: 25.70879936218261 [C]; A:[-76, 4, 192]; H: 86.00286865234375
SENSE daab 4 19-04-2019 06:06:46.615 T: 27.14399909973144 [C]; A:[6, 2, 232]; H: 80.578369140625
SENSE daaa 5 19-04-2019 06:06:46.972 T: 25.70879936218261 [C]; A:[-70, 0, 198]; H: 86.00286865234375
SENSE daab 5 19-04-2019 06:06:47.192 T: 27.14399909973144 [C]; A:[6, 2, 230]; H: 80.578369140625
SENSE daaa 6 19-04-2019 06:06:47.547 T: 25.70879936218261 [C]; A:[-70, 0, 198]; H: 85.97235107421875
SENSE daab 6 19-04-2019 06:06:47.779 T: 27.14399909973144 [C]; A:[2, 0, 236]; H: 80.578369140625
SENSE daaa 7 19-04-2019 06:06:48.138 T: 25.70879936218261 [C]; A:[-72, 4, 192]; H: 85.97235107421875
SENSE daab 7 19-04-2019 06:06:48.362 T: 27.20639991760253 [C]; A:[4, 0, 232]; H: 80.578369140625
SENSE daaa 8 19-04-2019 06:06:48.712 T: 25.70879936218261 [C]; A:[-74, 0, 192]; H: 85.97235107421875
SENSE daab 8 19-04-2019 06:06:48.943 T: 27.20639991760253 [C]; A:[8, 4, 240]; H: 80.578369140625
SENSE daaa 9 19-04-2019 06:06:49.287 T: 25.70879936218261 [C]; A:[-70, 2, 192]; H: 85.97235107421875
SENSE daab 9 19-04-2019 06:06:49.521 T: 27.20639991760253 [C]; A:[4, 6, 232]; H: 80.578369140625
SENSE daac 1 19-04-2019 06:06:44.779 T: 28.51679992675781 [C]; A:[22, -64, 210]; H: 76.13043212890625
SENSE daab 10 19-04-2019 06:06:50.088 T: 27.20639991760253 [C]; A:[8, 0, 234]; H: 80.55548095703125
SENSE daac 2 19-04-2019 06:06:50.313 T: 28.45439910888671 [C]; A:[16, -72, 214]; H: 76.09991455078125
SENSE daab 11 19-04-2019 06:06:50.665 T: 27.20639991760253 [C]; A:[6, 0, 230]; H: 80.55548095703125
SENSE daac 3 19-04-2019 06:06:50.893 T: 28.51679992675781 [C]; A:[14, -68, 216]; H: 76.09991455078125
SENSE daab 12 19-04-2019 06:06:51.233 T: 27.14399909973144 [C]; A:[6, 8, 236]; H: 80.55548095703125
SENSE daac 4 19-04-2019 06:06:51.465 T: 28.51679992675781 [C]; A:[14, -68, 210]; H: 76.09991455078125
SENSE daab 13 19-04-2019 06:06:51.826 T: 27.20639991760253 [C]; A:[8, 2, 234]; H: 80.52496337890625
SENSE daac 5 19-04-2019 06:06:52.036 T: 28.51679992675781 [C]; A:[18, -74, 216]; H: 76.09991455078125
SENSE daab 14 19-04-2019 06:06:52.383 T: 27.20639991760253 [C]; A:[2, 4, 234]; H: 80.52496337890625
SENSE daac 6 19-04-2019 06:06:52.617 T: 28.51679992675781 [C]; A:[16, -68, 216]; H: 76.09991455078125
SENSE daab 15 19-04-2019 06:06:52.970 T: 27.20639991760253 [C]; A:[4, 2, 240]; H: 80.52496337890625
SENSE daac 7 19-04-2019 06:06:53.199 T: 28.51679992675781 [C]; A:[16, -72, 216]; H: 76.09991455078125
