SENSE daaa 1 19-04-2019 05:54:47.339 T: 25.20959854125976 [C]; A:[0, 0, 0]; H: 87.6431884765625
SENSE daab 1 19-04-2019 05:54:47.326 T: 25.27199935913085 [C]; A:[0, 0, 0]; H: 87.36090087890625
SENSE daaa 2 19-04-2019 05:54:47.804 T: 25.27199935913085 [C]; A:[-80, -18, 192]; H: 87.6431884765625
SENSE daab 2 19-04-2019 05:54:48.028 T: 25.27199935913085 [C]; A:[0, 2, 234]; H: 87.36090087890625
SENSE daaa 3 19-04-2019 05:54:48.377 T: 25.20959854125976 [C]; A:[-80, -12, 200]; H: 87.62030029296875
SENSE daab 3 19-04-2019 05:54:48.606 T: 25.27199935913085 [C]; A:[6, 0, 234]; H: 87.33038330078125
SENSE daaa 4 19-04-2019 05:54:48.960 T: 25.27199935913085 [C]; A:[-80, -12, 196]; H: 87.58978271484375
SENSE daab 4 19-04-2019 05:54:49.193 T: 25.27199935913085 [C]; A:[6, 2, 230]; H: 87.33038330078125
SENSE daaa 5 19-04-2019 05:54:49.544 T: 25.20959854125976 [C]; A:[-84, -20, 196]; H: 87.6126708984375
SENSE daab 5 19-04-2019 05:54:49.760 T: 25.27199935913085 [C]; A:[4, 2, 234]; H: 87.33038330078125
SENSE daaa 6 19-04-2019 05:54:50.102 T: 25.27199935913085 [C]; A:[-82, -16, 198]; H: 87.6126708984375
SENSE daab 6 19-04-2019 05:54:50.337 T: 25.27199935913085 [C]; A:[4, 0, 230]; H: 87.33038330078125
SENSE daaa 7 19-04-2019 05:54:50.685 T: 25.27199935913085 [C]; A:[-84, -12, 200]; H: 87.536376953125
SENSE daab 7 19-04-2019 05:54:50.910 T: 25.33440017700195 [C]; A:[12, 14, 248]; H: 87.33038330078125
SENSE daaa 8 19-04-2019 05:54:51.263 T: 25.27199935913085 [C]; A:[-86, -12, 196]; H: 87.5821533203125
SENSE daab 8 19-04-2019 05:54:51.487 T: 25.27199935913085 [C]; A:[0, 6, 234]; H: 87.33038330078125
SENSE daaa 9 19-04-2019 05:54:51.836 T: 25.27199935913085 [C]; A:[-78, -18, 198]; H: 87.5516357421875
SENSE daab 9 19-04-2019 05:54:52.064 T: 25.33440017700195 [C]; A:[4, 4, 236]; H: 87.33038330078125
SENSE daac 1 19-04-2019 05:54:47.335 T: 28.64159965515136 [C]; A:[30, -80, 212]; H: 76.49664306640625
SENSE daab 10 19-04-2019 05:54:52.641 T: 25.27199935913085 [C]; A:[6, 4, 230]; H: 87.33038330078125
SENSE daac 2 19-04-2019 05:54:52.878 T: 28.64159965515136 [C]; A:[24, -76, 216]; H: 76.3974609375
SENSE daab 11 19-04-2019 05:54:53.218 T: 25.27199935913085 [C]; A:[2, 0, 236]; H: 87.3074951171875
SENSE daac 3 19-04-2019 05:54:53.450 T: 28.64159965515136 [C]; A:[24, -76, 216]; H: 76.3974609375
SENSE daab 12 19-04-2019 05:54:53.796 T: 25.33440017700195 [C]; A:[2, 2, 230]; H: 87.3074951171875
SENSE daac 4 19-04-2019 05:54:54.021 T: 28.64159965515136 [C]; A:[20, -72, 214]; H: 76.366943359375
SENSE daab 13 19-04-2019 05:54:54.373 T: 25.27199935913085 [C]; A:[2, 6, 234]; H: 87.2769775390625
SENSE daac 5 19-04-2019 05:54:54.602 T: 28.64159965515136 [C]; A:[24, -74, 218]; H: 76.366943359375
SENSE daab 14 19-04-2019 05:54:54.951 T: 25.33440017700195 [C]; A:[10, 12, 238]; H: 87.2769775390625
SENSE daac 6 19-04-2019 05:54:55.179 T: 28.64159965515136 [C]; A:[26, -76, 224]; H: 76.366943359375
SENSE daab 15 19-04-2019 05:54:55.527 T: 25.33440017700195 [C]; A:[0, 0, 216]; H: 87.2769775390625
