SENSE daaa 1 24-04-2019 06:55:36.336 T: 30.82559967041015 [C]; A:[-36, 62, 200]; H: 68.737548828125
SENSE daaa 2 24-04-2019 06:55:36.688 T: 30.76319885253906 [C]; A:[-28, 60, 190]; H: 68.737548828125
SENSE daaa 3 24-04-2019 06:55:37.048 T: 30.82559967041015 [C]; A:[-28, 48, 196]; H: 68.76043701171875
SENSE daaa 4 24-04-2019 06:55:37.403 T: 30.82559967041015 [C]; A:[-26, 56, 190]; H: 68.737548828125
SENSE daac 1 24-04-2019 06:55:36.784 T: 28.07999992370605 [C]; A:[0, 0, 0]; H: 74.5816650390625
SENSE daaa 5 24-04-2019 06:55:37.838 T: 30.76319885253906 [C]; A:[-28, 56, 192]; H: 68.737548828125
SENSE daad 1 24-04-2019 06:55:37.025 T: 28.39199829101562 [C]; A:[0, 0, 0]; H: 72.88031005859375
SENSE daab 3 24-04-2019 06:55:37.395 T: 29.82719993591308 [C]; A:[-20, -58, 212]; H: 70.934814453125
SENSE daaa 6 24-04-2019 06:55:38.319 T: 30.76319885253906 [C]; A:[-26, 54, 194]; H: 68.737548828125
SENSE daab 4 24-04-2019 06:55:37.857 T: 29.82719993591308 [C]; A:[-16, -60, 214]; H: 70.934814453125
SENSE daaa 7 24-04-2019 06:55:38.744 T: 30.76319885253906 [C]; A:[-34, 62, 188]; H: 68.737548828125
SENSE daac 3 24-04-2019 06:55:37.674 T: 28.07999992370605 [C]; A:[-32, 0, 238]; H: 74.5816650390625
SENSE daaa 8 24-04-2019 06:55:39.174 T: 30.82559967041015 [C]; A:[-30, 60, 196]; H: 68.737548828125
SENSE daad 4 24-04-2019 06:55:38.371 T: 28.39199829101562 [C]; A:[152, 58, 198]; H: 72.88031005859375
SENSE daaa 9 24-04-2019 06:55:39.574 T: 30.82559967041015 [C]; A:[-30, 60, 192]; H: 68.737548828125
SENSE daaa 10 24-04-2019 06:55:39.939 T: 30.82559967041015 [C]; A:[-32, 56, 192]; H: 68.737548828125
SENSE daaa 11 24-04-2019 06:55:40.299 T: 30.82559967041015 [C]; A:[-28, 54, 198]; H: 68.737548828125
SENSE daab 5 24-04-2019 06:55:38.990 T: 29.82719993591308 [C]; A:[-12, -64, 218]; H: 70.89666748046875
SENSE daaa 12 24-04-2019 06:55:40.744 T: 30.82559967041015 [C]; A:[-28, 56, 174]; H: 68.737548828125
SENSE daaa 13 24-04-2019 06:55:41.099 T: 30.82559967041015 [C]; A:[-28, 58, 196]; H: 68.737548828125
SENSE daad 5 24-04-2019 06:55:39.500 T: 28.32959938049316 [C]; A:[156, 56, 192]; H: 72.88031005859375
SENSE daaa 14 24-04-2019 06:55:41.504 T: 30.76319885253906 [C]; A:[-30, 56, 190]; H: 68.737548828125
SENSE daaa 15 24-04-2019 06:55:41.859 T: 30.82559967041015 [C]; A:[-28, 58, 196]; H: 68.737548828125
SENSE daac 6 24-04-2019 06:55:40.041 T: 28.07999992370605 [C]; A:[-28, 0, 230]; H: 74.54351806640625
SENSE daaa 16 24-04-2019 06:55:42.299 T: 30.82559967041015 [C]; A:[-28, 60, 196]; H: 68.76043701171875
SENSE daad 6 24-04-2019 06:55:40.285 T: 28.39199829101562 [C]; A:[150, 56, 196]; H: 72.88031005859375
SENSE daaa 17 24-04-2019 06:55:42.729 T: 30.82559967041015 [C]; A:[-30, 54, 194]; H: 68.737548828125
SENSE daaa 18 24-04-2019 06:55:43.044 T: 30.82559967041015 [C]; A:[-28, 54, 196]; H: 68.76043701171875
SENSE daac 7 24-04-2019 06:55:40.508 T: 28.14239883422851 [C]; A:[-26, -6, 232]; H: 74.54351806640625
SENSE daaa 19 24-04-2019 06:55:43.449 T: 30.82559967041015 [C]; A:[-28, 58, 194]; H: 68.76043701171875
SENSE daac 8 24-04-2019 06:55:40.884 T: 28.14239883422851 [C]; A:[-32, 0, 236]; H: 74.54351806640625
SENSE daad 7 24-04-2019 06:55:40.751 T: 28.39199829101562 [C]; A:[152, 50, 192]; H: 72.857421875
SENSE daab 10 24-04-2019 06:55:41.751 T: 29.82719993591308 [C]; A:[-18, -64, 212]; H: 70.86614990234375
SENSE daaa 20 24-04-2019 06:55:44.030 T: 30.82559967041015 [C]; A:[-34, 58, 194]; H: 68.76043701171875
SENSE daab 11 24-04-2019 06:55:42.117 T: 29.88959884643554 [C]; A:[-14, -58, 218]; H: 70.86614990234375
SENSE daaa 21 24-04-2019 06:55:44.459 T: 30.82559967041015 [C]; A:[-30, 58, 196]; H: 68.76043701171875
SENSE daab 12 24-04-2019 06:55:42.553 T: 29.88959884643554 [C]; A:[-18, -60, 214]; H: 70.86614990234375
SENSE daad 10 24-04-2019 06:55:42.607 T: 28.39199829101562 [C]; A:[152, 56, 200]; H: 72.826904296875
SENSE daaa 22 24-04-2019 06:55:44.924 T: 30.82559967041015 [C]; A:[-28, 58, 190]; H: 68.737548828125
SENSE daaa 23 24-04-2019 06:55:45.280 T: 30.76319885253906 [C]; A:[-28, 62, 190]; H: 68.737548828125
SENSE daaa 24 24-04-2019 06:55:45.635 T: 30.82559967041015 [C]; A:[-28, 60, 192]; H: 68.76043701171875
SENSE daab 13 24-04-2019 06:55:43.698 T: 29.82719993591308 [C]; A:[-22, -60, 210]; H: 70.83563232421875
SENSE daaa 25 24-04-2019 06:55:46.075 T: 30.82559967041015 [C]; A:[-32, 58, 194]; H: 68.737548828125
SENSE daaa 26 24-04-2019 06:55:46.430 T: 30.82559967041015 [C]; A:[-32, 58, 192]; H: 68.737548828125
SENSE daaa 27 24-04-2019 06:55:46.745 T: 30.82559967041015 [C]; A:[-32, 60, 192]; H: 68.737548828125
SENSE daab 14 24-04-2019 06:55:44.277 T: 29.88959884643554 [C]; A:[-16, -62, 218]; H: 70.83563232421875
SENSE daac 13 24-04-2019 06:55:44.519 T: 28.14239883422851 [C]; A:[-30, -4, 224]; H: 74.51300048828125
SENSE daaa 28 24-04-2019 06:55:47.250 T: 30.82559967041015 [C]; A:[-32, 58, 198]; H: 68.737548828125
SENSE daaa 29 24-04-2019 06:55:47.610 T: 30.82559967041015 [C]; A:[-28, 54, 192]; H: 68.737548828125
SENSE daac 14 24-04-2019 06:55:45.379 T: 28.14239883422851 [C]; A:[-30, -4, 228]; H: 74.48248291015625
SENSE daad 14 24-04-2019 06:55:45.618 T: 28.39199829101562 [C]; A:[152, 56, 194]; H: 72.74298095703125
SENSE daaa 31 24-04-2019 06:55:48.405 T: 30.82559967041015 [C]; A:[-26, 56, 192]; H: 68.70703125
SENSE daac 15 24-04-2019 06:55:45.847 T: 28.14239883422851 [C]; A:[-30, 0, 224]; H: 74.48248291015625
SENSE daac 16 24-04-2019 06:55:46.209 T: 28.14239883422851 [C]; A:[-26, 0, 226]; H: 74.51300048828125
SENSE daaa 32 24-04-2019 06:55:48.900 T: 30.82559967041015 [C]; A:[-24, 56, 192]; H: 68.70703125
SENSE daab 19 24-04-2019 06:55:46.993 T: 29.82719993591308 [C]; A:[-14, -64, 220]; H: 70.83563232421875
SENSE daaa 33 24-04-2019 06:55:49.325 T: 30.82559967041015 [C]; A:[-28, 56, 190]; H: 68.70703125
SENSE daaa 34 24-04-2019 06:55:49.675 T: 30.82559967041015 [C]; A:[-32, 54, 192]; H: 68.70703125
SENSE daad 17 24-04-2019 06:55:47.474 T: 28.45439910888671 [C]; A:[154, 52, 198]; H: 72.71246337890625
SENSE daac 18 24-04-2019 06:55:47.739 T: 28.2047996520996 [C]; A:[-28, 0, 224]; H: 74.74188232421875
SENSE daad 18 24-04-2019 06:55:47.982 T: 28.45439910888671 [C]; A:[152, 56, 192]; H: 72.71246337890625
SENSE daaa 35 24-04-2019 06:55:50.281 T: 30.82559967041015 [C]; A:[-26, 58, 194]; H: 68.70703125
SENSE daab 22 24-04-2019 06:55:48.649 T: 29.82719993591308 [C]; A:[-14, -62, 208]; H: 70.89666748046875
SENSE daaa 36 24-04-2019 06:55:50.711 T: 30.82559967041015 [C]; A:[-26, 54, 194]; H: 68.70703125
SENSE daac 19 24-04-2019 06:55:48.899 T: 28.2047996520996 [C]; A:[-30, 0, 230]; H: 75.00128173828125
SENSE daaa 37 24-04-2019 06:55:51.146 T: 30.82559967041015 [C]; A:[-32, 58, 194]; H: 68.70703125
SENSE daab 23 24-04-2019 06:55:49.151 T: 29.88959884643554 [C]; A:[-20, -64, 216]; H: 70.89666748046875
SENSE daaa 38 24-04-2019 06:55:51.561 T: 30.82559967041015 [C]; A:[-26, 54, 202]; H: 68.676513671875
SENSE daaa 39 24-04-2019 06:55:51.916 T: 30.82559967041015 [C]; A:[-28, 56, 192]; H: 68.676513671875
SENSE daab 25 24-04-2019 06:55:49.962 T: 29.88959884643554 [C]; A:[-16, -64, 220]; H: 70.89666748046875
SENSE daaa 40 24-04-2019 06:55:52.356 T: 30.82559967041015 [C]; A:[-26, 56, 192]; H: 68.676513671875
SENSE daac 21 24-04-2019 06:55:49.830 T: 28.2047996520996 [C]; A:[-28, -6, 228]; H: 75.09283447265625
SENSE daaa 41 24-04-2019 06:55:52.786 T: 30.82559967041015 [C]; A:[-28, 56, 198]; H: 68.676513671875
SENSE daab 26 24-04-2019 06:55:50.529 T: 29.88959884643554 [C]; A:[-20, -62, 210]; H: 70.89666748046875
SENSE daac 23 24-04-2019 06:55:50.771 T: 28.14239883422851 [C]; A:[-30, -4, 228]; H: 75.1309814453125
SENSE daaa 42 24-04-2019 06:55:53.291 T: 30.82559967041015 [C]; A:[-28, 58, 194]; H: 68.676513671875
SENSE daad 23 24-04-2019 06:55:51.026 T: 28.45439910888671 [C]; A:[150, 60, 194]; H: 72.71246337890625
SENSE daaa 43 24-04-2019 06:55:53.726 T: 30.82559967041015 [C]; A:[-26, 56, 196]; H: 68.676513671875
SENSE daaa 44 24-04-2019 06:55:54.081 T: 30.82559967041015 [C]; A:[-32, 60, 194]; H: 68.676513671875
SENSE daac 25 24-04-2019 06:55:52.016 T: 28.2047996520996 [C]; A:[-32, 0, 232]; H: 75.06231689453125
SENSE daaa 45 24-04-2019 06:55:54.522 T: 30.88799858093261 [C]; A:[-28, 54, 198]; H: 68.676513671875
SENSE daaa 46 24-04-2019 06:55:54.837 T: 30.82559967041015 [C]; A:[-26, 54, 190]; H: 68.676513671875
SENSE daab 30 24-04-2019 06:55:52.610 T: 29.88959884643554 [C]; A:[-16, -60, 216]; H: 70.89666748046875
SENSE daaa 47 24-04-2019 06:55:55.267 T: 30.82559967041015 [C]; A:[-30, 56, 192]; H: 68.676513671875
