SENSE daaa 1 24-04-2019 00:37:22.894 T: 31.63679885864257 [C]; A:[-6, -28, 212]; H: 66.052001953125
SENSE daab 1 24-04-2019 00:37:23.096 T: 31.57439994812011 [C]; A:[60, -204, 146]; H: 65.05255126953125
SENSE daaa 2 24-04-2019 00:37:23.572 T: 31.63679885864257 [C]; A:[4, -30, 230]; H: 66.052001953125
SENSE daac 1 24-04-2019 00:37:23.321 T: 30.6383991241455 [C]; A:[12, -86, 218]; H: 69.50048828125
SENSE daad 1 24-04-2019 00:37:23.531 T: 31.26239967346191 [C]; A:[-40, 48, 192]; H: 68.6612548828125
SENSE daac 2 24-04-2019 00:37:24.276 T: 30.6383991241455 [C]; A:[8, -76, 220]; H: 69.531005859375
SENSE daad 2 24-04-2019 00:37:24.632 T: 31.26239967346191 [C]; A:[-40, 50, 194]; H: 68.6612548828125
SENSE daac 3 24-04-2019 00:37:24.972 T: 30.6383991241455 [C]; A:[6, -78, 212]; H: 69.531005859375
SENSE daac 4 24-04-2019 00:37:25.551 T: 30.6383991241455 [C]; A:[12, -82, 214]; H: 69.531005859375
SENSE daad 3 24-04-2019 00:37:25.347 T: 31.26239967346191 [C]; A:[-40, 48, 194]; H: 68.6612548828125
SENSE daaa 3 24-04-2019 00:37:26.600 T: 31.63679885864257 [C]; A:[0, -26, 224]; H: 66.052001953125
SENSE daab 2 24-04-2019 00:37:26.501 T: 31.57439994812011 [C]; A:[54, -194, 142]; H: 65.05255126953125
SENSE daac 5 24-04-2019 00:37:26.245 T: 30.6383991241455 [C]; A:[10, -78, 214]; H: 69.531005859375
SENSE daab 3 24-04-2019 00:37:27.293 T: 31.51199913024902 [C]; A:[54, -198, 148]; H: 65.05255126953125
SENSE daab 4 24-04-2019 00:37:27.875 T: 31.57439994812011 [C]; A:[58, -198, 144]; H: 65.05255126953125
SENSE daac 6 24-04-2019 00:37:27.642 T: 30.57599830627441 [C]; A:[10, -80, 208]; H: 69.5615234375
SENSE daab 5 24-04-2019 00:37:28.392 T: 31.57439994812011 [C]; A:[56, -200, 152]; H: 65.05255126953125
SENSE daab 6 24-04-2019 00:37:28.974 T: 31.57439994812011 [C]; A:[58, -202, 146]; H: 65.05255126953125
SENSE daac 7 24-04-2019 00:37:28.764 T: 30.6383991241455 [C]; A:[6, -76, 212]; H: 69.5615234375
SENSE daab 7 24-04-2019 00:37:29.502 T: 31.57439994812011 [C]; A:[56, -196, 142]; H: 65.05255126953125
SENSE daaa 4 24-04-2019 00:37:29.944 T: 31.63679885864257 [C]; A:[-10, -24, 228]; H: 66.021484375
SENSE daad 4 24-04-2019 00:37:26.602 T: 31.19999885559082 [C]; A:[-42, 46, 192]; H: 68.6917724609375
SENSE daaa 5 24-04-2019 00:37:30.446 T: 31.63679885864257 [C]; A:[-6, -28, 228]; H: 66.021484375
SENSE daaa 6 24-04-2019 00:37:31.017 T: 31.63679885864257 [C]; A:[0, -24, 222]; H: 66.021484375
SENSE daad 5 24-04-2019 00:37:30.778 T: 31.19999885559082 [C]; A:[-42, 46, 192]; H: 68.6917724609375
SENSE daaa 7 24-04-2019 00:37:31.480 T: 31.63679885864257 [C]; A:[-6, -24, 228]; H: 65.99859619140625
SENSE daaa 8 24-04-2019 00:37:32.056 T: 31.63679885864257 [C]; A:[0, -24, 220]; H: 65.99859619140625
SENSE daad 6 24-04-2019 00:37:31.813 T: 31.26239967346191 [C]; A:[-44, 50, 198]; H: 68.7222900390625
SENSE daaa 9 24-04-2019 00:37:32.624 T: 31.57439994812011 [C]; A:[0, -28, 224]; H: 65.99859619140625
SENSE daaa 10 24-04-2019 00:37:33.184 T: 31.63679885864257 [C]; A:[0, -28, 230]; H: 65.99859619140625
SENSE daab 8 24-04-2019 00:37:33.071 T: 31.57439994812011 [C]; A:[54, -198, 146]; H: 65.05255126953125
SENSE daab 9 24-04-2019 00:37:33.906 T: 31.57439994812011 [C]; A:[56, -194, 144]; H: 65.05255126953125
SENSE daab 10 24-04-2019 00:37:34.414 T: 31.57439994812011 [C]; A:[52, -196, 146]; H: 65.05255126953125
SENSE daab 11 24-04-2019 00:37:34.947 T: 31.57439994812011 [C]; A:[56, -198, 144]; H: 65.05255126953125
SENSE daab 12 24-04-2019 00:37:35.455 T: 31.57439994812011 [C]; A:[56, -194, 150]; H: 65.05255126953125
SENSE daaa 11 24-04-2019 00:37:36.212 T: 31.63679885864257 [C]; A:[0, -30, 226]; H: 65.99859619140625
SENSE daab 13 24-04-2019 00:37:35.972 T: 31.57439994812011 [C]; A:[58, -202, 138]; H: 65.05255126953125
SENSE daaa 12 24-04-2019 00:37:36.676 T: 31.63679885864257 [C]; A:[-4, -24, 230]; H: 65.99859619140625
SENSE daaa 13 24-04-2019 00:37:37.252 T: 31.63679885864257 [C]; A:[-8, -26, 230]; H: 65.99859619140625
SENSE daab 14 24-04-2019 00:37:37.032 T: 31.57439994812011 [C]; A:[56, -200, 148]; H: 65.05255126953125
SENSE daaa 14 24-04-2019 00:37:37.714 T: 31.63679885864257 [C]; A:[-4, -26, 230]; H: 65.99859619140625
SENSE daaa 15 24-04-2019 00:37:38.290 T: 31.69919967651367 [C]; A:[0, -22, 230]; H: 65.96807861328125
SENSE daab 15 24-04-2019 00:37:38.047 T: 31.57439994812011 [C]; A:[54, -196, 144]; H: 65.05255126953125
SENSE daaa 16 24-04-2019 00:37:38.768 T: 31.63679885864257 [C]; A:[0, -26, 228]; H: 65.96807861328125
SENSE daac 8 24-04-2019 00:37:29.950 T: 30.6383991241455 [C]; A:[14, -84, 216]; H: 69.59967041015625
SENSE daaa 17 24-04-2019 00:37:39.344 T: 31.63679885864257 [C]; A:[-4, -28, 226]; H: 65.96807861328125
SENSE daab 16 24-04-2019 00:37:39.183 T: 31.57439994812011 [C]; A:[56, -200, 144]; H: 65.05255126953125
SENSE daaa 18 24-04-2019 00:37:39.880 T: 31.63679885864257 [C]; A:[0, -30, 228]; H: 65.96807861328125
SENSE daaa 19 24-04-2019 00:37:40.456 T: 31.57439994812011 [C]; A:[-4, -26, 228]; H: 65.96807861328125
SENSE daab 17 24-04-2019 00:37:40.212 T: 31.57439994812011 [C]; A:[56, -198, 140]; H: 65.05255126953125
SENSE daaa 20 24-04-2019 00:37:40.923 T: 31.63679885864257 [C]; A:[0, -26, 230]; H: 65.96807861328125
SENSE daaa 21 24-04-2019 00:37:41.495 T: 31.63679885864257 [C]; A:[0, -28, 232]; H: 65.96807861328125
SENSE daab 18 24-04-2019 00:37:41.286 T: 31.57439994812011 [C]; A:[58, -196, 142]; H: 65.05255126953125
SENSE daaa 22 24-04-2019 00:37:41.967 T: 31.63679885864257 [C]; A:[-6, -24, 228]; H: 65.96807861328125
SENSE daaa 23 24-04-2019 00:37:42.488 T: 31.63679885864257 [C]; A:[0, -30, 230]; H: 65.96807861328125
SENSE daaa 24 24-04-2019 00:37:42.955 T: 31.69919967651367 [C]; A:[-10, -42, 234]; H: 65.96807861328125
SENSE daac 9 24-04-2019 00:37:42.838 T: 30.57599830627441 [C]; A:[16, -82, 208]; H: 69.72174072265625
SENSE daaa 25 24-04-2019 00:37:43.423 T: 31.63679885864257 [C]; A:[-4, -28, 234]; H: 65.93756103515625
SENSE daaa 26 24-04-2019 00:37:43.989 T: 31.69919967651367 [C]; A:[-4, -26, 234]; H: 65.93756103515625
SENSE daac 10 24-04-2019 00:37:43.761 T: 30.57599830627441 [C]; A:[6, -76, 214]; H: 69.72174072265625
SENSE daab 19 24-04-2019 00:37:44.785 T: 31.57439994812011 [C]; A:[52, -198, 146]; H: 65.05255126953125
SENSE daac 11 24-04-2019 00:37:44.714 T: 30.57599830627441 [C]; A:[10, -82, 214]; H: 69.7598876953125
SENSE daad 7 24-04-2019 00:37:32.989 T: 31.19999885559082 [C]; A:[-44, 52, 196]; H: 68.7222900390625
SENSE daab 20 24-04-2019 00:37:45.394 T: 31.57439994812011 [C]; A:[52, -200, 146]; H: 65.05255126953125
