SENSE daaa 1 25-04-2019 05:08:09.159 T: 28.82879829406738 [C]; A:[152, -6, 176]; H: 70.25579833984375
SENSE daaa 2 25-04-2019 05:08:09.647 T: 28.89119911193847 [C]; A:[152, -6, 172]; H: 70.25579833984375
SENSE daab 1 25-04-2019 05:08:09.371 T: 30.3263988494873 [C]; A:[24, 20, 214]; H: 66.296142578125
SENSE daaa 3 25-04-2019 05:08:10.085 T: 28.82879829406738 [C]; A:[152, -8, 168]; H: 70.25579833984375
SENSE daaa 4 25-04-2019 05:08:10.509 T: 28.89119911193847 [C]; A:[160, -10, 164]; H: 70.22528076171875
SENSE daab 2 25-04-2019 05:08:10.427 T: 30.3887996673584 [C]; A:[26, 16, 226]; H: 66.21221923828125
SENSE daaa 5 25-04-2019 05:08:10.989 T: 28.89119911193847 [C]; A:[152, -10, 172]; H: 70.22528076171875
SENSE daaa 6 25-04-2019 05:08:11.433 T: 28.89119911193847 [C]; A:[152, -12, 184]; H: 70.22528076171875
SENSE daab 3 25-04-2019 05:08:11.353 T: 30.3887996673584 [C]; A:[20, 24, 234]; H: 66.15118408203125
SENSE daaa 7 25-04-2019 05:08:11.882 T: 28.89119911193847 [C]; A:[152, -8, 176]; H: 70.22528076171875
SENSE daaa 8 25-04-2019 05:08:12.306 T: 28.89119911193847 [C]; A:[152, -8, 176]; H: 70.22528076171875
SENSE daab 4 25-04-2019 05:08:12.228 T: 30.3887996673584 [C]; A:[24, 24, 224]; H: 66.12066650390625
SENSE daaa 9 25-04-2019 05:08:12.750 T: 28.89119911193847 [C]; A:[152, -8, 172]; H: 70.22528076171875
SENSE daaa 10 25-04-2019 05:08:13.170 T: 28.89119911193847 [C]; A:[154, -8, 178]; H: 70.22528076171875
SENSE daab 5 25-04-2019 05:08:13.094 T: 30.3887996673584 [C]; A:[28, 20, 236]; H: 66.05963134765625
SENSE daaa 11 25-04-2019 05:08:13.619 T: 28.89119911193847 [C]; A:[152, -8, 174]; H: 70.22528076171875
SENSE daaa 12 25-04-2019 05:08:14.043 T: 28.89119911193847 [C]; A:[154, -8, 176]; H: 70.22528076171875
SENSE daab 6 25-04-2019 05:08:13.970 T: 30.45119857788085 [C]; A:[22, 22, 238]; H: 66.05963134765625
SENSE daaa 13 25-04-2019 05:08:14.488 T: 28.89119911193847 [C]; A:[152, -4, 174]; H: 70.25579833984375
SENSE daaa 14 25-04-2019 05:08:14.902 T: 28.89119911193847 [C]; A:[152, -8, 178]; H: 70.25579833984375
SENSE daab 7 25-04-2019 05:08:14.820 T: 30.3887996673584 [C]; A:[26, 20, 236]; H: 66.0367431640625
SENSE daad 1 25-04-2019 05:08:09.791 T: 26.83199882507324 [C]; A:[-12, -8, 240]; H: 73.04815673828125
SENSE daab 8 25-04-2019 05:08:15.442 T: 30.3887996673584 [C]; A:[24, 22, 232]; H: 66.0062255859375
SENSE daab 9 25-04-2019 05:08:15.859 T: 30.3887996673584 [C]; A:[24, 24, 238]; H: 66.0062255859375
SENSE daad 2 25-04-2019 05:08:15.781 T: 26.76959991455078 [C]; A:[-14, -10, 224]; H: 73.13970947265625
SENSE daab 10 25-04-2019 05:08:16.295 T: 30.3887996673584 [C]; A:[28, 18, 236]; H: 66.0062255859375
SENSE daab 11 25-04-2019 05:08:16.726 T: 30.45119857788085 [C]; A:[24, 22, 232]; H: 66.0062255859375
SENSE daad 3 25-04-2019 05:08:16.650 T: 26.83199882507324 [C]; A:[-14, -4, 228]; H: 73.13970947265625
SENSE daab 12 25-04-2019 05:08:17.156 T: 30.45119857788085 [C]; A:[30, 16, 240]; H: 66.0062255859375
SENSE daab 13 25-04-2019 05:08:17.572 T: 30.3887996673584 [C]; A:[30, 14, 228]; H: 66.0062255859375
SENSE daad 4 25-04-2019 05:08:17.494 T: 26.83199882507324 [C]; A:[-18, -4, 230]; H: 73.13970947265625
