SENSE daaa 1 24-04-2019 07:44:41.117 T: 29.88959884643554 [C]; A:[-20, -58, 212]; H: 70.54571533203125
SENSE daac 1 24-04-2019 07:44:41.113 T: 30.26399993896484 [C]; A:[-30, 52, 192]; H: 70.02691650390625
SENSE daaa 2 24-04-2019 07:44:41.480 T: 29.88959884643554 [C]; A:[-18, -60, 218]; H: 70.54571533203125
SENSE daac 2 24-04-2019 07:44:41.471 T: 30.26399993896484 [C]; A:[-32, 52, 196]; H: 70.02691650390625
SENSE daab 1 24-04-2019 07:44:41.361 T: 29.7023983001709 [C]; A:[82, 0, 208]; H: 70.080322265625
SENSE daac 3 24-04-2019 07:44:41.827 T: 30.20159912109375 [C]; A:[-36, 52, 196]; H: 70.02691650390625
SENSE daaa 3 24-04-2019 07:44:41.907 T: 29.88959884643554 [C]; A:[-18, -60, 248]; H: 70.54571533203125
SENSE daab 2 24-04-2019 07:44:41.717 T: 29.7023983001709 [C]; A:[78, 2, 220]; H: 70.080322265625
SENSE daac 4 24-04-2019 07:44:42.182 T: 30.26399993896484 [C]; A:[-36, 50, 234]; H: 70.02691650390625
SENSE daaa 4 24-04-2019 07:44:42.329 T: 29.88959884643554 [C]; A:[-16, -66, 220]; H: 70.54571533203125
SENSE daab 3 24-04-2019 07:44:42.146 T: 29.7023983001709 [C]; A:[78, 2, 220]; H: 70.080322265625
SENSE daac 5 24-04-2019 07:44:42.537 T: 30.20159912109375 [C]; A:[-34, 54, 192]; H: 70.02691650390625
SENSE daaa 5 24-04-2019 07:44:42.756 T: 29.88959884643554 [C]; A:[-16, -60, 218]; H: 70.54571533203125
SENSE daad 3 24-04-2019 07:44:42.070 T: 30.0767993927002 [C]; A:[40, -50, 238]; H: 67.3795166015625
SENSE daab 4 24-04-2019 07:44:42.566 T: 29.7023983001709 [C]; A:[78, 4, 216]; H: 70.080322265625
SENSE daac 6 24-04-2019 07:44:42.962 T: 30.26399993896484 [C]; A:[-36, 54, 194]; H: 70.02691650390625
SENSE daaa 6 24-04-2019 07:44:43.198 T: 29.88959884643554 [C]; A:[-14, -64, 216]; H: 70.54571533203125
SENSE daad 4 24-04-2019 07:44:42.424 T: 30.0767993927002 [C]; A:[46, -50, 264]; H: 67.3795166015625
SENSE daac 7 24-04-2019 07:44:43.412 T: 30.26399993896484 [C]; A:[-34, 54, 188]; H: 70.02691650390625
SENSE daaa 7 24-04-2019 07:44:43.550 T: 29.88959884643554 [C]; A:[-16, -64, 216]; H: 70.54571533203125
SENSE daad 5 24-04-2019 07:44:42.779 T: 30.0767993927002 [C]; A:[42, -42, 238]; H: 67.3795166015625
SENSE daab 5 24-04-2019 07:44:42.995 T: 29.7023983001709 [C]; A:[80, 0, 226]; H: 70.080322265625
SENSE daac 8 24-04-2019 07:44:43.842 T: 30.26399993896484 [C]; A:[-32, 52, 194]; H: 70.02691650390625
SENSE daaa 8 24-04-2019 07:44:43.977 T: 29.95199966430664 [C]; A:[-18, -62, 224]; H: 70.54571533203125
SENSE daac 9 24-04-2019 07:44:44.197 T: 30.26399993896484 [C]; A:[-36, 58, 196]; H: 70.02691650390625
SENSE daaa 9 24-04-2019 07:44:44.335 T: 29.88959884643554 [C]; A:[-16, -62, 218]; H: 70.54571533203125
SENSE daad 6 24-04-2019 07:44:43.220 T: 30.0767993927002 [C]; A:[40, -48, 240]; H: 67.4100341796875
SENSE daaa 10 24-04-2019 07:44:44.687 T: 29.88959884643554 [C]; A:[-20, -56, 214]; H: 70.54571533203125
SENSE daac 10 24-04-2019 07:44:44.642 T: 30.26399993896484 [C]; A:[-36, 52, 188]; H: 70.02691650390625
SENSE daab 7 24-04-2019 07:44:43.789 T: 29.7023983001709 [C]; A:[76, 0, 224]; H: 70.080322265625
SENSE daac 11 24-04-2019 07:44:44.997 T: 30.26399993896484 [C]; A:[-30, 48, 226]; H: 70.02691650390625
SENSE daaa 11 24-04-2019 07:44:45.114 T: 29.88959884643554 [C]; A:[-20, -62, 224]; H: 70.54571533203125
SENSE daad 7 24-04-2019 07:44:43.655 T: 30.0767993927002 [C]; A:[42, -50, 238]; H: 67.4100341796875
SENSE daaa 12 24-04-2019 07:44:45.492 T: 29.88959884643554 [C]; A:[-16, -62, 216]; H: 70.54571533203125
SENSE daac 12 24-04-2019 07:44:45.433 T: 30.26399993896484 [C]; A:[-32, 50, 200]; H: 70.02691650390625
SENSE daaa 13 24-04-2019 07:44:45.844 T: 29.95199966430664 [C]; A:[-18, -60, 226]; H: 70.54571533203125
SENSE daac 13 24-04-2019 07:44:45.793 T: 30.26399993896484 [C]; A:[-34, 50, 198]; H: 70.02691650390625
SENSE daab 9 24-04-2019 07:44:44.574 T: 29.764799118042 [C]; A:[74, 2, 214]; H: 70.080322265625
SENSE daad 9 24-04-2019 07:44:44.441 T: 30.0767993927002 [C]; A:[40, -48, 240]; H: 67.4100341796875
SENSE daaa 14 24-04-2019 07:44:46.271 T: 29.88959884643554 [C]; A:[-12, -60, 220]; H: 70.54571533203125
SENSE daac 14 24-04-2019 07:44:46.223 T: 30.26399993896484 [C]; A:[-34, 52, 236]; H: 70.02691650390625
SENSE daab 10 24-04-2019 07:44:44.926 T: 29.764799118042 [C]; A:[76, 2, 218]; H: 70.080322265625
SENSE daad 10 24-04-2019 07:44:44.887 T: 30.0143985748291 [C]; A:[42, -46, 238]; H: 67.4100341796875
SENSE daac 15 24-04-2019 07:44:46.653 T: 30.3263988494873 [C]; A:[-34, 52, 190]; H: 70.02691650390625
SENSE daad 11 24-04-2019 07:44:45.249 T: 30.0767993927002 [C]; A:[38, -48, 240]; H: 67.46343994140625
SENSE daaa 16 24-04-2019 07:44:47.041 T: 29.95199966430664 [C]; A:[-18, -62, 214]; H: 70.54571533203125
SENSE daac 16 24-04-2019 07:44:47.093 T: 30.26399993896484 [C]; A:[-38, 56, 194]; H: 70.02691650390625
SENSE daab 12 24-04-2019 07:44:45.732 T: 29.7023983001709 [C]; A:[78, 0, 216]; H: 70.0498046875
SENSE daaa 17 24-04-2019 07:44:47.473 T: 29.88959884643554 [C]; A:[-16, -60, 220]; H: 70.54571533203125
SENSE daac 17 24-04-2019 07:44:47.457 T: 30.26399993896484 [C]; A:[-36, 54, 198]; H: 70.02691650390625
SENSE daab 13 24-04-2019 07:44:46.084 T: 29.7023983001709 [C]; A:[76, 2, 214]; H: 70.0498046875
SENSE daad 13 24-04-2019 07:44:46.035 T: 30.0767993927002 [C]; A:[44, -50, 240]; H: 67.46343994140625
SENSE daac 18 24-04-2019 07:44:47.888 T: 30.26399993896484 [C]; A:[-36, 56, 194]; H: 70.02691650390625
SENSE daad 14 24-04-2019 07:44:46.467 T: 30.0767993927002 [C]; A:[44, -50, 240]; H: 67.46343994140625
SENSE daaa 19 24-04-2019 07:44:48.228 T: 29.88959884643554 [C]; A:[-18, -62, 216]; H: 70.54571533203125
SENSE daac 19 24-04-2019 07:44:48.318 T: 30.26399993896484 [C]; A:[-36, 58, 202]; H: 70.02691650390625
SENSE daaa 20 24-04-2019 07:44:48.585 T: 29.88959884643554 [C]; A:[-16, -60, 218]; H: 70.54571533203125
SENSE daac 20 24-04-2019 07:44:48.699 T: 30.26399993896484 [C]; A:[-34, 50, 192]; H: 70.02691650390625
SENSE daaa 21 24-04-2019 07:44:48.943 T: 29.88959884643554 [C]; A:[-16, -62, 218]; H: 70.54571533203125
SENSE daad 15 24-04-2019 07:44:46.908 T: 30.0767993927002 [C]; A:[42, -52, 242]; H: 67.46343994140625
SENSE daab 16 24-04-2019 07:44:47.290 T: 29.7023983001709 [C]; A:[80, 4, 218]; H: 70.0498046875
