SENSE daaa 1 24-04-2019 12:12:11.678 T: 27.8927993774414 [C]; A:[26, -4, 192]; H: 67.40240478515625
SENSE daac 1 24-04-2019 12:12:11.680 T: 25.95839881896972 [C]; A:[12, -38, 246]; H: 68.0966796875
SENSE daab 1 24-04-2019 12:12:11.892 T: 29.51519966125488 [C]; A:[50, -6, 224]; H: 63.9005126953125
SENSE daac 2 24-04-2019 12:12:12.159 T: 25.95839881896972 [C]; A:[12, -36, 250]; H: 68.0966796875
SENSE daab 2 24-04-2019 12:12:12.331 T: 29.45279884338378 [C]; A:[50, 0, 228]; H: 63.8699951171875
SENSE daac 3 24-04-2019 12:12:12.497 T: 25.95839881896972 [C]; A:[12, -40, 244]; H: 68.0966796875
SENSE daab 3 24-04-2019 12:12:12.699 T: 29.51519966125488 [C]; A:[52, -4, 228]; H: 63.8394775390625
SENSE daac 4 24-04-2019 12:12:12.846 T: 25.95839881896972 [C]; A:[14, -44, 248]; H: 68.0966796875
SENSE daab 4 24-04-2019 12:12:13.052 T: 29.51519966125488 [C]; A:[48, 0, 228]; H: 63.8394775390625
SENSE daac 5 24-04-2019 12:12:13.204 T: 25.95839881896972 [C]; A:[16, -34, 248]; H: 68.0966796875
SENSE daab 5 24-04-2019 12:12:13.405 T: 29.51519966125488 [C]; A:[52, 0, 224]; H: 63.8394775390625
SENSE daac 6 24-04-2019 12:12:13.543 T: 25.95839881896972 [C]; A:[14, -38, 240]; H: 68.07379150390625
SENSE daab 6 24-04-2019 12:12:13.749 T: 29.51519966125488 [C]; A:[52, 0, 232]; H: 63.8089599609375
SENSE daac 7 24-04-2019 12:12:13.927 T: 25.95839881896972 [C]; A:[16, -44, 244]; H: 68.07379150390625
SENSE daab 7 24-04-2019 12:12:14.113 T: 29.51519966125488 [C]; A:[54, 2, 228]; H: 63.7784423828125
SENSE daac 8 24-04-2019 12:12:14.264 T: 25.89599990844726 [C]; A:[12, -42, 244]; H: 68.0966796875
SENSE daab 8 24-04-2019 12:12:14.460 T: 29.51519966125488 [C]; A:[50, 0, 232]; H: 63.7784423828125
SENSE daac 9 24-04-2019 12:12:14.608 T: 25.95839881896972 [C]; A:[14, -36, 246]; H: 68.0966796875
SENSE daab 9 24-04-2019 12:12:14.804 T: 29.51519966125488 [C]; A:[48, 0, 232]; H: 63.8089599609375
SENSE daac 10 24-04-2019 12:12:14.976 T: 25.95839881896972 [C]; A:[16, -48, 242]; H: 68.0966796875
SENSE daab 10 24-04-2019 12:12:15.147 T: 29.51519966125488 [C]; A:[48, 2, 234]; H: 63.8394775390625
SENSE daac 11 24-04-2019 12:12:15.315 T: 25.95839881896972 [C]; A:[12, -40, 244]; H: 68.0966796875
SENSE daab 11 24-04-2019 12:12:15.520 T: 29.51519966125488 [C]; A:[52, 0, 236]; H: 63.9005126953125
SENSE daac 12 24-04-2019 12:12:15.673 T: 25.95839881896972 [C]; A:[12, -48, 240]; H: 68.0966796875
SENSE daab 12 24-04-2019 12:12:15.863 T: 29.51519966125488 [C]; A:[48, 2, 224]; H: 63.9615478515625
SENSE daac 13 24-04-2019 12:12:16.022 T: 26.02079963684082 [C]; A:[14, -44, 248]; H: 68.0966796875
SENSE daab 13 24-04-2019 12:12:16.207 T: 29.51519966125488 [C]; A:[52, 0, 232]; H: 64.01495361328125
SENSE daac 14 24-04-2019 12:12:16.365 T: 25.95839881896972 [C]; A:[14, -42, 242]; H: 68.0966796875
SENSE daac 15 24-04-2019 12:12:16.703 T: 26.02079963684082 [C]; A:[14, -40, 244]; H: 68.07379150390625
SENSE daaa 2 24-04-2019 12:12:16.796 T: 27.8927993774414 [C]; A:[20, -4, 198]; H: 67.26507568359375
SENSE daad 1 24-04-2019 12:12:11.901 T: 27.0191993713379 [C]; A:[122, 0, 200]; H: 68.28741455078125
SENSE daab 14 24-04-2019 12:12:16.591 T: 29.51519966125488 [C]; A:[50, 0, 232]; H: 64.01495361328125
SENSE daaa 3 24-04-2019 12:12:17.232 T: 27.8927993774414 [C]; A:[22, -4, 202]; H: 67.23455810546875
SENSE daad 2 24-04-2019 12:12:17.241 T: 27.0191993713379 [C]; A:[120, -6, 200]; H: 68.22637939453125
SENSE daaa 4 24-04-2019 12:12:17.649 T: 27.8927993774414 [C]; A:[22, -6, 194]; H: 67.23455810546875
SENSE daad 3 24-04-2019 12:12:17.643 T: 26.9567985534668 [C]; A:[120, -10, 232]; H: 68.28741455078125
SENSE daab 15 24-04-2019 12:12:17.580 T: 29.57759857177734 [C]; A:[48, 0, 232]; H: 64.07598876953125
SENSE daaa 5 24-04-2019 12:12:18.087 T: 27.83039855957031 [C]; A:[24, -8, 204]; H: 67.20404052734375
SENSE daad 4 24-04-2019 12:12:18.045 T: 27.0191993713379 [C]; A:[118, -10, 200]; H: 68.3865966796875
SENSE daaa 6 24-04-2019 12:12:18.530 T: 27.8927993774414 [C]; A:[22, -8, 194]; H: 67.18115234375
SENSE daad 5 24-04-2019 12:12:18.497 T: 27.0191993713379 [C]; A:[124, -8, 204]; H: 68.4171142578125
SENSE daab 16 24-04-2019 12:12:18.461 T: 29.57759857177734 [C]; A:[48, 2, 230]; H: 64.07598876953125
SENSE daaa 7 24-04-2019 12:12:18.967 T: 27.8927993774414 [C]; A:[24, -12, 194]; H: 67.18115234375
SENSE daad 6 24-04-2019 12:12:18.919 T: 27.0191993713379 [C]; A:[124, -8, 198]; H: 68.4171142578125
SENSE daaa 8 24-04-2019 12:12:19.385 T: 27.8927993774414 [C]; A:[18, -6, 194]; H: 67.150634765625
SENSE daad 7 24-04-2019 12:12:19.362 T: 27.0191993713379 [C]; A:[122, -8, 198]; H: 68.3560791015625
SENSE daab 17 24-04-2019 12:12:19.322 T: 29.57759857177734 [C]; A:[54, 0, 226]; H: 64.13702392578125
SENSE daaa 9 24-04-2019 12:12:19.823 T: 27.8927993774414 [C]; A:[18, 0, 198]; H: 67.150634765625
SENSE daad 8 24-04-2019 12:12:19.793 T: 27.0191993713379 [C]; A:[126, -8, 198]; H: 68.25689697265625
SENSE daaa 10 24-04-2019 12:12:20.240 T: 27.8927993774414 [C]; A:[20, -10, 204]; H: 67.1201171875
SENSE daad 9 24-04-2019 12:12:20.215 T: 27.0191993713379 [C]; A:[118, -4, 192]; H: 68.15771484375
SENSE daab 18 24-04-2019 12:12:20.172 T: 29.57759857177734 [C]; A:[46, 0, 232]; H: 64.19805908203125
SENSE daaa 11 24-04-2019 12:12:20.693 T: 27.8927993774414 [C]; A:[14, -6, 198]; H: 67.1201171875
SENSE daad 10 24-04-2019 12:12:20.657 T: 27.08160018920898 [C]; A:[120, -4, 202]; H: 68.0966796875
SENSE daaa 12 24-04-2019 12:12:21.110 T: 27.8927993774414 [C]; A:[30, -6, 206]; H: 67.1201171875
SENSE daad 11 24-04-2019 12:12:21.079 T: 27.0191993713379 [C]; A:[118, -10, 198]; H: 68.02801513671875
SENSE daab 19 24-04-2019 12:12:21.043 T: 29.57759857177734 [C]; A:[54, 0, 232]; H: 64.19805908203125
SENSE daaa 13 24-04-2019 12:12:21.548 T: 27.8927993774414 [C]; A:[18, -8, 192]; H: 67.09722900390625
SENSE daac 16 24-04-2019 12:12:21.737 T: 26.02079963684082 [C]; A:[12, -42, 250]; H: 67.9898681640625
SENSE daad 12 24-04-2019 12:12:21.511 T: 27.0191993713379 [C]; A:[118, -6, 204]; H: 67.96697998046875
SENSE daaa 14 24-04-2019 12:12:21.977 T: 27.8927993774414 [C]; A:[16, -4, 200]; H: 67.09722900390625
SENSE daab 20 24-04-2019 12:12:21.909 T: 29.63999938964843 [C]; A:[54, 0, 226]; H: 64.19805908203125
SENSE daac 17 24-04-2019 12:12:22.160 T: 26.02079963684082 [C]; A:[18, -42, 252]; H: 67.9898681640625
SENSE daaa 15 24-04-2019 12:12:22.415 T: 27.8927993774414 [C]; A:[10, 0, 196]; H: 67.09722900390625
SENSE daac 18 24-04-2019 12:12:22.587 T: 26.02079963684082 [C]; A:[16, -44, 242]; H: 67.9898681640625
SENSE daad 13 24-04-2019 12:12:22.524 T: 27.08160018920898 [C]; A:[126, -8, 204]; H: 67.76861572265625
