SENSE daaa 1 24-04-2019 22:19:06.825 T: 26.27039909362792 [C]; A:[0, 0, 0]; H: 79.47210693359375
SENSE daac 1 24-04-2019 22:19:06.818 T: 28.14239883422851 [C]; A:[22, -56, 248]; H: 70.1871337890625
SENSE daad 1 24-04-2019 22:19:07.028 T: 27.83039855957031 [C]; A:[54, 70, 206]; H: 71.29339599609375
SENSE daaa 2 24-04-2019 22:19:07.293 T: 26.27039909362792 [C]; A:[-18, -12, 222]; H: 79.47210693359375
SENSE daac 2 24-04-2019 22:19:07.380 T: 28.07999992370605 [C]; A:[22, -46, 238]; H: 70.1566162109375
SENSE daaa 3 24-04-2019 22:19:07.714 T: 26.20800018310546 [C]; A:[-20, -14, 222]; H: 79.44158935546875
SENSE daac 3 24-04-2019 22:19:07.809 T: 28.07999992370605 [C]; A:[16, -46, 246]; H: 70.1566162109375
SENSE daad 2 24-04-2019 22:19:07.739 T: 27.8927993774414 [C]; A:[70, 76, 206]; H: 71.29339599609375
SENSE daaa 4 24-04-2019 22:19:08.057 T: 26.20800018310546 [C]; A:[-20, -14, 222]; H: 79.44158935546875
SENSE daac 4 24-04-2019 22:19:08.245 T: 28.07999992370605 [C]; A:[20, -52, 258]; H: 70.13372802734375
SENSE daaa 5 24-04-2019 22:19:08.450 T: 26.27039909362792 [C]; A:[-22, -16, 218]; H: 79.44158935546875
SENSE daac 5 24-04-2019 22:19:08.660 T: 28.14239883422851 [C]; A:[24, -46, 242]; H: 70.10321044921875
SENSE daaa 6 24-04-2019 22:19:08.833 T: 26.20800018310546 [C]; A:[-20, -14, 224]; H: 79.44158935546875
SENSE daad 3 24-04-2019 22:19:08.588 T: 27.8927993774414 [C]; A:[72, 78, 208]; H: 71.26287841796875
SENSE daaa 7 24-04-2019 22:19:09.184 T: 26.20800018310546 [C]; A:[-20, -14, 222]; H: 79.4034423828125
SENSE daac 6 24-04-2019 22:19:09.116 T: 28.14239883422851 [C]; A:[18, -46, 240]; H: 70.10321044921875
SENSE daaa 8 24-04-2019 22:19:09.527 T: 26.27039909362792 [C]; A:[-18, -12, 220]; H: 79.4034423828125
SENSE daac 7 24-04-2019 22:19:09.562 T: 28.07999992370605 [C]; A:[18, -50, 240]; H: 70.080322265625
SENSE daad 4 24-04-2019 22:19:09.457 T: 27.83039855957031 [C]; A:[66, 80, 212]; H: 71.23236083984375
SENSE daaa 9 24-04-2019 22:19:09.864 T: 26.20800018310546 [C]; A:[-24, -14, 222]; H: 79.4034423828125
SENSE daac 8 24-04-2019 22:19:09.997 T: 28.14239883422851 [C]; A:[18, -50, 246]; H: 70.0498046875
SENSE daaa 10 24-04-2019 22:19:10.227 T: 26.27039909362792 [C]; A:[-22, -12, 222]; H: 79.4034423828125
SENSE daac 9 24-04-2019 22:19:10.412 T: 28.14239883422851 [C]; A:[22, -50, 246]; H: 70.0498046875
SENSE daaa 11 24-04-2019 22:19:10.565 T: 26.27039909362792 [C]; A:[-14, -16, 218]; H: 79.4034423828125
SENSE daad 5 24-04-2019 22:19:10.336 T: 27.8927993774414 [C]; A:[72, 78, 196]; H: 71.20184326171875
SENSE daac 10 24-04-2019 22:19:10.865 T: 28.07999992370605 [C]; A:[20, -48, 242]; H: 70.019287109375
SENSE daaa 12 24-04-2019 22:19:10.934 T: 26.27039909362792 [C]; A:[-20, -14, 218]; H: 79.4034423828125
SENSE daac 11 24-04-2019 22:19:11.283 T: 28.14239883422851 [C]; A:[22, -54, 240]; H: 69.98876953125
SENSE daaa 13 24-04-2019 22:19:11.369 T: 26.27039909362792 [C]; A:[-22, -14, 220]; H: 79.4034423828125
SENSE daad 6 24-04-2019 22:19:11.215 T: 27.8927993774414 [C]; A:[82, 64, 204]; H: 71.1636962890625
SENSE daac 12 24-04-2019 22:19:11.719 T: 28.14239883422851 [C]; A:[20, -52, 246]; H: 69.98876953125
SENSE daaa 14 24-04-2019 22:19:11.791 T: 26.20800018310546 [C]; A:[-22, -12, 234]; H: 79.4034423828125
SENSE daab 1 24-04-2019 22:19:07.041 T: 30.7007999420166 [C]; A:[54, 2, 232]; H: 66.59368896484375
SENSE daac 13 24-04-2019 22:19:12.134 T: 28.14239883422851 [C]; A:[24, -50, 238]; H: 69.96588134765625
SENSE daaa 15 24-04-2019 22:19:12.226 T: 26.27039909362792 [C]; A:[-16, -12, 222]; H: 79.4034423828125
SENSE daad 7 24-04-2019 22:19:12.064 T: 27.83039855957031 [C]; A:[72, 72, 208]; H: 71.1636962890625
SENSE daac 14 24-04-2019 22:19:12.570 T: 28.07999992370605 [C]; A:[22, -54, 248]; H: 69.93536376953125
SENSE daaa 16 24-04-2019 22:19:12.665 T: 26.27039909362792 [C]; A:[-20, -12, 230]; H: 79.4034423828125
SENSE daab 2 24-04-2019 22:19:12.585 T: 30.76319885253906 [C]; A:[48, 0, 236]; H: 66.80731201171875
SENSE daac 15 24-04-2019 22:19:12.986 T: 28.14239883422851 [C]; A:[20, -48, 242]; H: 69.93536376953125
SENSE daaa 17 24-04-2019 22:19:13.109 T: 26.27039909362792 [C]; A:[-18, -14, 220]; H: 79.4034423828125
