SENSE daaa 1 25-04-2019 06:00:51.315 T: 27.6431999206543 [C]; A:[-10, -28, 246]; H: 67.34136962890625
SENSE daab 1 25-04-2019 06:00:51.311 T: 27.70559883117675 [C]; A:[0, 0, 0]; H: 67.50921630859375
SENSE daaa 2 25-04-2019 06:00:51.660 T: 27.6431999206543 [C]; A:[8, -40, 246]; H: 67.3642578125
SENSE daac 1 25-04-2019 06:00:51.533 T: 30.45119857788085 [C]; A:[0, 0, 0]; H: 62.36700439453125
SENSE daaa 3 25-04-2019 06:00:52.058 T: 27.6431999206543 [C]; A:[8, -42, 246]; H: 67.3642578125
SENSE daab 2 25-04-2019 06:00:51.990 T: 27.70559883117675 [C]; A:[-16, -8, 234]; H: 67.53973388671875
SENSE daaa 4 25-04-2019 06:00:52.387 T: 27.6431999206543 [C]; A:[4, -40, 244]; H: 67.3642578125
SENSE daab 3 25-04-2019 06:00:52.485 T: 27.70559883117675 [C]; A:[-20, 0, 230]; H: 67.53973388671875
SENSE daac 2 25-04-2019 06:00:52.336 T: 30.45119857788085 [C]; A:[0, 2, 236]; H: 62.33648681640625
SENSE daaa 5 25-04-2019 06:00:52.725 T: 27.6431999206543 [C]; A:[6, -40, 248]; H: 67.3642578125
SENSE daab 4 25-04-2019 06:00:52.928 T: 27.70559883117675 [C]; A:[-16, -8, 224]; H: 67.53973388671875
SENSE daaa 6 25-04-2019 06:00:53.143 T: 27.6431999206543 [C]; A:[8, -40, 244]; H: 67.394775390625
SENSE daaa 7 25-04-2019 06:00:53.506 T: 27.70559883117675 [C]; A:[6, -38, 240]; H: 67.394775390625
SENSE daab 5 25-04-2019 06:00:53.442 T: 27.70559883117675 [C]; A:[-12, -6, 230]; H: 67.577880859375
SENSE daac 3 25-04-2019 06:00:53.306 T: 30.45119857788085 [C]; A:[2, 0, 228]; H: 62.36700439453125
SENSE daaa 8 25-04-2019 06:00:53.855 T: 27.6431999206543 [C]; A:[4, -32, 242]; H: 67.394775390625
SENSE daab 6 25-04-2019 06:00:53.893 T: 27.70559883117675 [C]; A:[-16, -4, 226]; H: 67.577880859375
SENSE daaa 9 25-04-2019 06:00:54.228 T: 27.70559883117675 [C]; A:[8, -40, 240]; H: 67.42529296875
SENSE daab 7 25-04-2019 06:00:54.395 T: 27.70559883117675 [C]; A:[-18, -8, 230]; H: 67.577880859375
SENSE daaa 10 25-04-2019 06:00:54.572 T: 27.6431999206543 [C]; A:[2, -44, 248]; H: 67.42529296875
SENSE daac 4 25-04-2019 06:00:54.246 T: 30.45119857788085 [C]; A:[2, 0, 230]; H: 62.42803955078125
SENSE daab 8 25-04-2019 06:00:54.840 T: 27.70559883117675 [C]; A:[-20, 0, 228]; H: 67.577880859375
SENSE daaa 11 25-04-2019 06:00:54.925 T: 27.6431999206543 [C]; A:[8, -40, 246]; H: 67.42529296875
SENSE daaa 12 25-04-2019 06:00:55.348 T: 27.6431999206543 [C]; A:[8, -36, 246]; H: 67.42529296875
SENSE daab 9 25-04-2019 06:00:55.334 T: 27.70559883117675 [C]; A:[-20, -8, 240]; H: 67.5626220703125
SENSE daac 5 25-04-2019 06:00:55.197 T: 30.45119857788085 [C]; A:[-4, 2, 234]; H: 62.45855712890625
SENSE daaa 13 25-04-2019 06:00:55.692 T: 27.6431999206543 [C]; A:[2, -36, 242]; H: 67.42529296875
SENSE daab 10 25-04-2019 06:00:55.789 T: 27.70559883117675 [C]; A:[-14, 0, 232]; H: 67.5626220703125
SENSE daaa 14 25-04-2019 06:00:56.041 T: 27.70559883117675 [C]; A:[4, -40, 244]; H: 67.44818115234375
SENSE daab 11 25-04-2019 06:00:56.282 T: 27.70559883117675 [C]; A:[-18, -8, 230]; H: 67.5626220703125
SENSE daaa 15 25-04-2019 06:00:56.388 T: 27.70559883117675 [C]; A:[0, -38, 248]; H: 67.44818115234375
SENSE daac 6 25-04-2019 06:00:56.127 T: 30.45119857788085 [C]; A:[0, 0, 230]; H: 62.54248046875
SENSE daaa 16 25-04-2019 06:00:56.791 T: 27.6431999206543 [C]; A:[6, -34, 242]; H: 67.44818115234375
SENSE daab 12 25-04-2019 06:00:56.727 T: 27.70559883117675 [C]; A:[-16, -8, 226]; H: 67.5626220703125
SENSE daad 1 25-04-2019 06:00:51.639 T: 27.39359855651855 [C]; A:[0, 0, 0]; H: 73.2694091796875
SENSE daaa 17 25-04-2019 06:00:57.125 T: 27.6431999206543 [C]; A:[6, -32, 248]; H: 67.47869873046875
SENSE daab 13 25-04-2019 06:00:57.170 T: 27.70559883117675 [C]; A:[-18, -4, 226]; H: 67.5931396484375
SENSE daaa 18 25-04-2019 06:00:57.488 T: 27.6431999206543 [C]; A:[4, -38, 248]; H: 67.47869873046875
SENSE daad 2 25-04-2019 06:00:57.618 T: 27.45599937438964 [C]; A:[150, -8, 176]; H: 73.6661376953125
SENSE daaa 19 25-04-2019 06:00:57.822 T: 27.6431999206543 [C]; A:[4, -36, 248]; H: 67.47869873046875
SENSE daaa 20 25-04-2019 06:00:58.181 T: 27.6431999206543 [C]; A:[6, -40, 246]; H: 67.47869873046875
SENSE daad 3 25-04-2019 06:00:58.055 T: 27.45599937438964 [C]; A:[156, -10, 178]; H: 73.6661376953125
SENSE daaa 21 25-04-2019 06:00:58.514 T: 27.6431999206543 [C]; A:[6, -38, 246]; H: 67.47869873046875
SENSE daad 4 25-04-2019 06:00:58.621 T: 27.45599937438964 [C]; A:[150, -4, 172]; H: 73.59747314453125
SENSE daaa 22 25-04-2019 06:00:58.857 T: 27.6431999206543 [C]; A:[6, -44, 246]; H: 67.50921630859375
SENSE daad 5 25-04-2019 06:00:59.057 T: 27.45599937438964 [C]; A:[150, -8, 176]; H: 73.56695556640625
SENSE daaa 23 25-04-2019 06:00:59.191 T: 27.6431999206543 [C]; A:[12, -40, 248]; H: 67.50921630859375
SENSE daaa 24 25-04-2019 06:00:59.614 T: 27.70559883117675 [C]; A:[8, -44, 240]; H: 67.50921630859375
