SENSE daaa 1 25-04-2019 13:28:22.928 T: 28.64159965515136 [C]; A:[82, 0, 198]; H: 60.20025634765625
SENSE daaa 2 25-04-2019 13:28:23.261 T: 28.64159965515136 [C]; A:[100, 4, 216]; H: 60.20025634765625
SENSE daaa 3 25-04-2019 13:28:23.549 T: 28.64159965515136 [C]; A:[98, 2, 212]; H: 60.20025634765625
SENSE daaa 4 25-04-2019 13:28:23.872 T: 28.64159965515136 [C]; A:[96, 0, 216]; H: 60.23077392578125
SENSE daaa 5 25-04-2019 13:28:24.160 T: 28.64159965515136 [C]; A:[100, 0, 214]; H: 60.23077392578125
SENSE daaa 6 25-04-2019 13:28:24.502 T: 28.64159965515136 [C]; A:[100, 0, 214]; H: 60.253662109375
SENSE daaa 7 25-04-2019 13:28:24.791 T: 28.64159965515136 [C]; A:[96, 0, 210]; H: 60.2841796875
SENSE daaa 8 25-04-2019 13:28:25.123 T: 28.70399856567382 [C]; A:[94, 0, 210]; H: 60.314697265625
SENSE daaa 9 25-04-2019 13:28:25.446 T: 28.64159965515136 [C]; A:[104, 4, 206]; H: 60.314697265625
SENSE daaa 10 25-04-2019 13:28:25.773 T: 28.64159965515136 [C]; A:[96, 4, 210]; H: 60.34521484375
SENSE daaa 11 25-04-2019 13:28:26.056 T: 28.64159965515136 [C]; A:[100, 0, 208]; H: 60.36810302734375
SENSE daaa 12 25-04-2019 13:28:26.359 T: 28.64159965515136 [C]; A:[98, 0, 214]; H: 60.39862060546875
SENSE daaa 13 25-04-2019 13:28:26.712 T: 28.64159965515136 [C]; A:[96, 0, 210]; H: 60.4520263671875
SENSE daaa 14 25-04-2019 13:28:27.039 T: 28.64159965515136 [C]; A:[100, 0, 210]; H: 60.4520263671875
SENSE daaa 15 25-04-2019 13:28:27.377 T: 28.64159965515136 [C]; A:[102, 2, 206]; H: 60.4825439453125
SENSE daaa 16 25-04-2019 13:28:27.730 T: 28.64159965515136 [C]; A:[92, 2, 208]; H: 60.5130615234375
