SENSE daaa 1 25-04-2019 13:17:28.861 T: 29.01599884033203 [C]; A:[98, -8, 212]; H: 60.73431396484375
SENSE daaa 2 25-04-2019 13:17:29.186 T: 29.01599884033203 [C]; A:[96, 2, 206]; H: 60.7572021484375
SENSE daaa 3 25-04-2019 13:17:29.474 T: 29.01599884033203 [C]; A:[100, 0, 212]; H: 60.7877197265625
SENSE daaa 4 25-04-2019 13:17:29.797 T: 29.01599884033203 [C]; A:[94, 4, 212]; H: 60.7877197265625
SENSE daaa 5 25-04-2019 13:17:30.085 T: 29.01599884033203 [C]; A:[102, 2, 208]; H: 60.8182373046875
SENSE daaa 6 25-04-2019 13:17:30.413 T: 29.01599884033203 [C]; A:[96, 2, 206]; H: 60.8182373046875
SENSE daaa 7 25-04-2019 13:17:30.721 T: 29.01599884033203 [C]; A:[104, 0, 208]; H: 60.84112548828125
SENSE daaa 8 25-04-2019 13:17:31.049 T: 29.01599884033203 [C]; A:[98, 0, 216]; H: 60.87164306640625
SENSE daaa 9 25-04-2019 13:17:31.377 T: 29.01599884033203 [C]; A:[100, 2, 204]; H: 60.87164306640625
SENSE daaa 10 25-04-2019 13:17:31.700 T: 29.01599884033203 [C]; A:[100, 2, 212]; H: 60.90216064453125
SENSE daaa 11 25-04-2019 13:17:31.978 T: 29.01599884033203 [C]; A:[100, 4, 210]; H: 60.90216064453125
SENSE daaa 12 25-04-2019 13:17:32.301 T: 29.01599884033203 [C]; A:[100, 4, 214]; H: 60.93267822265625
SENSE daaa 13 25-04-2019 13:17:32.639 T: 28.95359992980957 [C]; A:[94, 4, 204]; H: 60.95556640625
SENSE daaa 14 25-04-2019 13:17:32.926 T: 29.01599884033203 [C]; A:[102, 0, 216]; H: 60.95556640625
SENSE daaa 15 25-04-2019 13:17:33.219 T: 29.01599884033203 [C]; A:[96, 0, 216]; H: 60.986083984375
SENSE daaa 16 25-04-2019 13:17:33.547 T: 29.01599884033203 [C]; A:[94, 4, 218]; H: 60.986083984375
SENSE daaa 17 25-04-2019 13:17:33.875 T: 29.01599884033203 [C]; A:[100, 4, 212]; H: 60.986083984375
SENSE daaa 18 25-04-2019 13:17:34.203 T: 29.01599884033203 [C]; A:[104, 4, 216]; H: 60.986083984375
SENSE daab 5 25-04-2019 13:17:31.352 T: 28.64159965515136 [C]; A:[32, -62, 248]; H: 59.3839111328125
SENSE daaa 19 25-04-2019 13:17:34.625 T: 29.01599884033203 [C]; A:[96, 4, 210]; H: 61.0166015625
SENSE daaa 20 25-04-2019 13:17:34.913 T: 29.01599884033203 [C]; A:[96, 0, 216]; H: 61.0166015625
SENSE daaa 22 25-04-2019 13:17:35.539 T: 29.01599884033203 [C]; A:[98, 0, 214]; H: 61.0166015625
SENSE daaa 23 25-04-2019 13:17:35.812 T: 29.01599884033203 [C]; A:[100, 0, 212]; H: 61.0166015625
SENSE daaa 24 25-04-2019 13:17:36.139 T: 29.07839965820312 [C]; A:[102, 0, 216]; H: 61.0166015625
SENSE daaa 25 25-04-2019 13:17:36.463 T: 29.01599884033203 [C]; A:[98, 6, 216]; H: 61.0166015625
SENSE daaa 26 25-04-2019 13:17:36.740 T: 29.01599884033203 [C]; A:[96, 0, 216]; H: 61.0166015625
SENSE daaa 28 25-04-2019 13:17:37.351 T: 29.01599884033203 [C]; A:[96, 0, 212]; H: 60.986083984375
SENSE daaa 29 25-04-2019 13:17:37.679 T: 29.01599884033203 [C]; A:[100, 2, 214]; H: 60.986083984375
SENSE daaa 30 25-04-2019 13:17:38.007 T: 29.01599884033203 [C]; A:[98, 0, 214]; H: 60.986083984375
SENSE daaa 31 25-04-2019 13:17:38.300 T: 29.01599884033203 [C]; A:[102, 0, 210]; H: 60.95556640625
SENSE daaa 32 25-04-2019 13:17:38.633 T: 29.01599884033203 [C]; A:[98, 2, 208]; H: 60.95556640625
SENSE daaa 33 25-04-2019 13:17:38.916 T: 29.01599884033203 [C]; A:[96, 6, 208]; H: 60.95556640625
SENSE daaa 34 25-04-2019 13:17:39.238 T: 29.01599884033203 [C]; A:[98, 0, 210]; H: 60.95556640625
