SENSE daaa 1 25-04-2019 12:32:54.929 T: 27.39359855651855 [C]; A:[0, 0, 0]; H: 62.47381591796875
SENSE daaa 2 25-04-2019 12:32:55.398 T: 27.3311996459961 [C]; A:[6, -74, 216]; H: 62.450927734375
SENSE daab 1 25-04-2019 12:32:55.142 T: 27.70559883117675 [C]; A:[0, 0, 0]; H: 61.77191162109375
SENSE daac 1 25-04-2019 12:32:55.363 T: 26.27039909362792 [C]; A:[0, 0, 0]; H: 62.48907470703125
SENSE daad 1 25-04-2019 12:32:55.484 T: 25.95839881896972 [C]; A:[0, 0, 0]; H: 63.84710693359375
SENSE daab 2 25-04-2019 12:32:55.960 T: 27.70559883117675 [C]; A:[-8, 6, 236]; H: 61.77191162109375
SENSE daab 3 25-04-2019 12:32:56.615 T: 27.76799964904785 [C]; A:[0, 6, 238]; H: 61.77191162109375
SENSE daab 4 25-04-2019 12:32:57.040 T: 27.70559883117675 [C]; A:[0, 10, 242]; H: 61.77191162109375
SENSE daab 5 25-04-2019 12:32:57.398 T: 27.76799964904785 [C]; A:[0, 8, 230]; H: 61.77191162109375
SENSE daab 6 25-04-2019 12:32:57.746 T: 27.76799964904785 [C]; A:[0, 8, 238]; H: 61.77191162109375
SENSE daab 7 25-04-2019 12:32:58.094 T: 27.76799964904785 [C]; A:[-4, 12, 232]; H: 61.77191162109375
SENSE daab 8 25-04-2019 12:32:58.428 T: 27.76799964904785 [C]; A:[0, 8, 234]; H: 61.77191162109375
SENSE daab 9 25-04-2019 12:32:58.776 T: 27.76799964904785 [C]; A:[-4, 8, 234]; H: 61.77191162109375
SENSE daab 10 25-04-2019 12:32:59.125 T: 27.76799964904785 [C]; A:[0, 8, 236]; H: 61.74139404296875
SENSE daab 11 25-04-2019 12:32:59.483 T: 27.76799964904785 [C]; A:[-4, 6, 232]; H: 61.74139404296875
SENSE daab 12 25-04-2019 12:32:59.831 T: 27.76799964904785 [C]; A:[0, 14, 230]; H: 61.71087646484375
SENSE daab 13 25-04-2019 12:33:00.189 T: 27.76799964904785 [C]; A:[0, 8, 236]; H: 61.71087646484375
SENSE daaa 3 25-04-2019 12:33:00.508 T: 27.39359855651855 [C]; A:[4, -70, 216]; H: 62.36700439453125
SENSE daaa 4 25-04-2019 12:33:00.963 T: 27.39359855651855 [C]; A:[4, -72, 220]; H: 62.33648681640625
SENSE daab 14 25-04-2019 12:33:00.871 T: 27.76799964904785 [C]; A:[-4, 16, 230]; H: 61.71087646484375
SENSE daaa 5 25-04-2019 12:33:01.422 T: 27.39359855651855 [C]; A:[4, -74, 216]; H: 62.30596923828125
SENSE daac 2 25-04-2019 12:32:56.320 T: 26.20800018310546 [C]; A:[2, -32, 244]; H: 62.48907470703125
SENSE daaa 6 25-04-2019 12:33:01.864 T: 27.39359855651855 [C]; A:[6, -72, 206]; H: 62.30596923828125
SENSE daaa 7 25-04-2019 12:33:02.288 T: 27.39359855651855 [C]; A:[6, -78, 222]; H: 62.2525634765625
SENSE daac 3 25-04-2019 12:33:02.203 T: 26.27039909362792 [C]; A:[6, -38, 246]; H: 62.22967529296875
SENSE daaa 8 25-04-2019 12:33:02.733 T: 27.39359855651855 [C]; A:[0, -70, 216]; H: 62.2525634765625
SENSE daaa 9 25-04-2019 12:33:03.152 T: 27.39359855651855 [C]; A:[2, -72, 216]; H: 62.2220458984375
SENSE daac 4 25-04-2019 12:33:03.094 T: 26.27039909362792 [C]; A:[0, -40, 246]; H: 62.16864013671875
SENSE daaa 10 25-04-2019 12:33:03.602 T: 27.39359855651855 [C]; A:[6, -74, 214]; H: 62.2220458984375
SENSE daaa 11 25-04-2019 12:33:04.016 T: 27.39359855651855 [C]; A:[6, -78, 218]; H: 62.19915771484375
SENSE daac 5 25-04-2019 12:33:03.935 T: 26.33279991149902 [C]; A:[0, -36, 244]; H: 62.10760498046875
SENSE daaa 12 25-04-2019 12:33:04.451 T: 27.3311996459961 [C]; A:[0, -72, 210]; H: 62.16864013671875
SENSE daaa 13 25-04-2019 12:33:04.865 T: 27.39359855651855 [C]; A:[0, -72, 258]; H: 62.16864013671875
SENSE daaa 14 25-04-2019 12:33:05.245 T: 27.39359855651855 [C]; A:[4, -66, 212]; H: 62.206787109375
SENSE daaa 15 25-04-2019 12:33:05.606 T: 27.39359855651855 [C]; A:[4, -72, 212]; H: 62.17626953125
SENSE daaa 16 25-04-2019 12:33:05.934 T: 27.39359855651855 [C]; A:[0, -72, 220]; H: 62.17626953125
SENSE daaa 17 25-04-2019 12:33:06.261 T: 27.39359855651855 [C]; A:[4, -78, 200]; H: 62.17626953125
SENSE daaa 18 25-04-2019 12:33:06.599 T: 27.39359855651855 [C]; A:[10, -74, 212]; H: 62.145751953125
SENSE daad 2 25-04-2019 12:32:56.538 T: 25.95839881896972 [C]; A:[96, 2, 208]; H: 63.84710693359375
SENSE daaa 19 25-04-2019 12:33:07.032 T: 27.39359855651855 [C]; A:[2, -74, 210]; H: 62.145751953125
SENSE daaa 20 25-04-2019 12:33:07.452 T: 27.39359855651855 [C]; A:[2, -74, 216]; H: 62.12286376953125
SENSE daad 3 25-04-2019 12:33:07.443 T: 26.02079963684082 [C]; A:[102, 4, 216]; H: 63.63348388671875
SENSE daad 4 25-04-2019 12:33:07.965 T: 26.02079963684082 [C]; A:[104, 2, 206]; H: 63.63348388671875
SENSE daad 5 25-04-2019 12:33:08.421 T: 25.95839881896972 [C]; A:[102, 0, 214]; H: 63.63348388671875
SENSE daad 6 25-04-2019 12:33:08.912 T: 26.02079963684082 [C]; A:[96, 2, 214]; H: 63.610595703125
SENSE daad 7 25-04-2019 12:33:09.380 T: 26.02079963684082 [C]; A:[100, 0, 216]; H: 63.610595703125
SENSE daac 6 25-04-2019 12:33:04.786 T: 26.27039909362792 [C]; A:[4, -34, 244]; H: 62.04656982421875
SENSE daab 15 25-04-2019 12:33:11.046 T: 27.8927993774414 [C]; A:[0, 12, 230]; H: 61.35992431640625
SENSE daab 16 25-04-2019 12:33:11.415 T: 27.8927993774414 [C]; A:[0, 6, 236]; H: 61.32940673828125
SENSE daab 17 25-04-2019 12:33:11.762 T: 27.8927993774414 [C]; A:[0, 10, 232]; H: 61.32940673828125
SENSE daab 18 25-04-2019 12:33:12.111 T: 27.8927993774414 [C]; A:[0, 6, 232]; H: 61.32940673828125
SENSE daaa 21 25-04-2019 12:33:12.547 T: 27.39359855651855 [C]; A:[0, -72, 220]; H: 62.0084228515625
SENSE daab 19 25-04-2019 12:33:12.479 T: 27.8927993774414 [C]; A:[-4, 8, 238]; H: 61.29888916015625
SENSE daaa 22 25-04-2019 12:33:12.995 T: 27.39359855651855 [C]; A:[0, -82, 210]; H: 62.0084228515625
SENSE daaa 23 25-04-2019 12:33:13.419 T: 27.45599937438964 [C]; A:[6, -78, 216]; H: 62.0084228515625
SENSE daab 20 25-04-2019 12:33:13.340 T: 27.8927993774414 [C]; A:[0, 6, 236]; H: 61.26837158203125
SENSE daaa 24 25-04-2019 12:33:13.879 T: 27.39359855651855 [C]; A:[0, -72, 218]; H: 62.0389404296875
SENSE daaa 25 25-04-2019 12:33:14.303 T: 27.45599937438964 [C]; A:[2, -72, 214]; H: 62.0389404296875
SENSE daab 21 25-04-2019 12:33:14.225 T: 27.8927993774414 [C]; A:[0, 6, 232]; H: 61.29888916015625
SENSE daaa 26 25-04-2019 12:33:14.758 T: 27.45599937438964 [C]; A:[0, -72, 212]; H: 62.0389404296875
SENSE daad 8 25-04-2019 12:33:09.846 T: 26.02079963684082 [C]; A:[98, 0, 210]; H: 63.610595703125
SENSE daab 22 25-04-2019 12:33:15.116 T: 27.8927993774414 [C]; A:[-6, 8, 240]; H: 61.35992431640625
SENSE daab 23 25-04-2019 12:33:15.617 T: 27.8927993774414 [C]; A:[0, 10, 232]; H: 61.39044189453125
SENSE daad 9 25-04-2019 12:33:15.531 T: 26.08319854736328 [C]; A:[98, 2, 210]; H: 63.549560546875
SENSE daab 24 25-04-2019 12:33:16.053 T: 27.9552001953125 [C]; A:[-6, 10, 230]; H: 61.39044189453125
SENSE daab 25 25-04-2019 12:33:16.543 T: 27.8927993774414 [C]; A:[0, 6, 236]; H: 61.39044189453125
SENSE daad 10 25-04-2019 12:33:16.455 T: 26.08319854736328 [C]; A:[96, 6, 212]; H: 63.549560546875
SENSE daab 26 25-04-2019 12:33:16.988 T: 27.8927993774414 [C]; A:[0, 8, 226]; H: 61.35992431640625
SENSE daad 11 25-04-2019 12:33:17.409 T: 26.08319854736328 [C]; A:[96, 4, 204]; H: 63.549560546875
SENSE daad 12 25-04-2019 12:33:17.865 T: 26.08319854736328 [C]; A:[98, 0, 206]; H: 63.52667236328125
SENSE daad 13 25-04-2019 12:33:18.343 T: 26.08319854736328 [C]; A:[96, 6, 206]; H: 63.52667236328125
SENSE daad 14 25-04-2019 12:33:18.809 T: 26.08319854736328 [C]; A:[98, 6, 212]; H: 63.52667236328125
SENSE daad 15 25-04-2019 12:33:19.266 T: 26.08319854736328 [C]; A:[102, 2, 210]; H: 63.52667236328125
SENSE daaa 27 25-04-2019 12:33:19.787 T: 27.51840019226074 [C]; A:[0, -72, 210]; H: 61.95501708984375
SENSE daac 7 25-04-2019 12:33:20.220 T: 26.45759963989257 [C]; A:[2, -34, 244]; H: 61.5506591796875
SENSE daac 8 25-04-2019 12:33:20.623 T: 26.45759963989257 [C]; A:[0, -36, 246]; H: 61.5201416015625
SENSE daac 9 25-04-2019 12:33:21.026 T: 26.51999855041503 [C]; A:[6, -34, 240]; H: 61.4896240234375
SENSE daac 10 25-04-2019 12:33:21.429 T: 26.51999855041503 [C]; A:[4, -34, 240]; H: 61.4896240234375
SENSE daac 11 25-04-2019 12:33:21.833 T: 26.45759963989257 [C]; A:[2, -36, 242]; H: 61.49725341796875
SENSE daab 27 25-04-2019 12:33:22.213 T: 27.9552001953125 [C]; A:[-4, 8, 236]; H: 61.1844482421875
SENSE daab 28 25-04-2019 12:33:22.707 T: 27.8927993774414 [C]; A:[-4, 14, 238]; H: 61.1539306640625
SENSE daac 12 25-04-2019 12:33:22.560 T: 26.51999855041503 [C]; A:[4, -32, 250]; H: 61.43621826171875
SENSE daab 29 25-04-2019 12:33:23.143 T: 27.9552001953125 [C]; A:[0, 8, 236]; H: 61.1539306640625
SENSE daab 30 25-04-2019 12:33:23.633 T: 27.9552001953125 [C]; A:[6, 14, 228]; H: 61.1539306640625
SENSE daac 13 25-04-2019 12:33:23.485 T: 26.51999855041503 [C]; A:[4, -34, 244]; H: 61.40570068359375
SENSE daab 31 25-04-2019 12:33:24.078 T: 28.01759910583496 [C]; A:[-4, 10, 226]; H: 61.1234130859375
SENSE daab 32 25-04-2019 12:33:24.583 T: 27.9552001953125 [C]; A:[0, 14, 230]; H: 61.1234130859375
SENSE daaa 28 25-04-2019 12:33:24.922 T: 27.51840019226074 [C]; A:[6, -76, 220]; H: 61.840576171875
SENSE daac 14 25-04-2019 12:33:24.435 T: 26.51999855041503 [C]; A:[4, -34, 244]; H: 61.40570068359375
SENSE daaa 29 25-04-2019 12:33:25.383 T: 27.51840019226074 [C]; A:[0, -74, 210]; H: 61.840576171875
SENSE daaa 30 25-04-2019 12:33:25.818 T: 27.51840019226074 [C]; A:[2, -72, 216]; H: 61.840576171875
SENSE daac 15 25-04-2019 12:33:25.744 T: 26.58239936828613 [C]; A:[8, -32, 242]; H: 61.40570068359375
SENSE daaa 31 25-04-2019 12:33:26.266 T: 27.51840019226074 [C]; A:[6, -72, 214]; H: 61.840576171875
SENSE daaa 32 25-04-2019 12:33:26.695 T: 27.51840019226074 [C]; A:[0, -72, 212]; H: 61.840576171875
SENSE daac 16 25-04-2019 12:33:26.625 T: 26.51999855041503 [C]; A:[6, -36, 248]; H: 61.5811767578125
SENSE daaa 33 25-04-2019 12:33:27.145 T: 27.51840019226074 [C]; A:[2, -68, 218]; H: 61.840576171875
SENSE daaa 34 25-04-2019 12:33:27.554 T: 27.51840019226074 [C]; A:[6, -70, 218]; H: 61.840576171875
SENSE daac 17 25-04-2019 12:33:27.486 T: 26.58239936828613 [C]; A:[0, -36, 244]; H: 61.7337646484375
SENSE daac 18 25-04-2019 12:33:28.014 T: 26.51999855041503 [C]; A:[2, -34, 242]; H: 61.84820556640625
SENSE daac 19 25-04-2019 12:33:28.422 T: 26.58239936828613 [C]; A:[8, -36, 250]; H: 61.87872314453125
SENSE daac 20 25-04-2019 12:33:28.825 T: 26.58239936828613 [C]; A:[2, -38, 240]; H: 61.90924072265625
SENSE daac 21 25-04-2019 12:33:29.228 T: 26.58239936828613 [C]; A:[4, -38, 246]; H: 61.90924072265625
SENSE daab 33 25-04-2019 12:33:29.830 T: 28.01759910583496 [C]; A:[0, 4, 236]; H: 61.0318603515625
SENSE daac 22 25-04-2019 12:33:29.721 T: 26.58239936828613 [C]; A:[8, -34, 246]; H: 61.90924072265625
SENSE daab 34 25-04-2019 12:33:30.279 T: 28.01759910583496 [C]; A:[0, 10, 236]; H: 61.0318603515625
SENSE daab 35 25-04-2019 12:33:30.768 T: 28.01759910583496 [C]; A:[0, 6, 228]; H: 61.0318603515625
SENSE daac 23 25-04-2019 12:33:30.612 T: 26.58239936828613 [C]; A:[0, -40, 244]; H: 61.93975830078125
SENSE daab 36 25-04-2019 12:33:31.203 T: 28.07999992370605 [C]; A:[0, 8, 234]; H: 61.0318603515625
SENSE daab 37 25-04-2019 12:33:31.698 T: 28.01759910583496 [C]; A:[0, 8, 232]; H: 61.0318603515625
SENSE daac 24 25-04-2019 12:33:31.567 T: 26.58239936828613 [C]; A:[4, -36, 242]; H: 62.17626953125
SENSE daab 38 25-04-2019 12:33:32.150 T: 28.01759910583496 [C]; A:[-4, 12, 240]; H: 61.0318603515625
SENSE daaa 35 25-04-2019 12:33:32.585 T: 27.5807991027832 [C]; A:[4, -72, 220]; H: 61.8253173828125
SENSE daac 25 25-04-2019 12:33:32.513 T: 26.64480018615722 [C]; A:[2, -40, 246]; H: 62.32122802734375
SENSE daaa 36 25-04-2019 12:33:33.028 T: 27.5807991027832 [C]; A:[2, -70, 214]; H: 61.84820556640625
SENSE daaa 37 25-04-2019 12:33:33.442 T: 27.5807991027832 [C]; A:[4, -76, 212]; H: 61.87872314453125
SENSE daac 26 25-04-2019 12:33:33.364 T: 26.64480018615722 [C]; A:[0, -34, 244]; H: 62.32122802734375
SENSE daaa 38 25-04-2019 12:33:33.877 T: 27.5807991027832 [C]; A:[2, -76, 210]; H: 61.90924072265625
SENSE daaa 39 25-04-2019 12:33:34.291 T: 27.5807991027832 [C]; A:[2, -78, 216]; H: 61.962646484375
SENSE daac 27 25-04-2019 12:33:34.215 T: 26.64480018615722 [C]; A:[6, -40, 248]; H: 62.38226318359375
SENSE daaa 40 25-04-2019 12:33:34.741 T: 27.5807991027832 [C]; A:[0, -72, 222]; H: 61.9931640625
