SENSE daaa 1 26-04-2019 03:12:24.466 T: 28.64159965515136 [C]; A:[72, 62, 226]; H: 71.75115966796875
SENSE daab 1 26-04-2019 03:12:24.463 T: 31.44959831237792 [C]; A:[0, 0, 0]; H: 67.12774658203125
SENSE daac 1 26-04-2019 03:12:24.462 T: 30.57599830627441 [C]; A:[-6, -64, 200]; H: 68.89013671875
SENSE daaa 2 26-04-2019 03:12:24.869 T: 28.64159965515136 [C]; A:[74, 48, 232]; H: 71.75115966796875
SENSE daab 2 26-04-2019 03:12:24.866 T: 31.44959831237792 [C]; A:[96, 16, 216]; H: 67.12774658203125
SENSE daac 2 26-04-2019 03:12:25.027 T: 30.57599830627441 [C]; A:[0, -68, 190]; H: 68.89013671875
SENSE daaa 3 26-04-2019 03:12:25.267 T: 28.64159965515136 [C]; A:[74, 52, 232]; H: 71.75115966796875
SENSE daab 3 26-04-2019 03:12:25.264 T: 31.44959831237792 [C]; A:[96, 14, 220]; H: 67.12774658203125
SENSE daaa 4 26-04-2019 03:12:25.670 T: 28.64159965515136 [C]; A:[74, 52, 230]; H: 71.75115966796875
SENSE daac 3 26-04-2019 03:12:25.582 T: 30.51359939575195 [C]; A:[0, -72, 196]; H: 68.89013671875
SENSE daab 4 26-04-2019 03:12:25.662 T: 31.44959831237792 [C]; A:[96, 14, 220]; H: 67.12774658203125
SENSE daaa 5 26-04-2019 03:12:26.078 T: 28.57919883728027 [C]; A:[70, 50, 236]; H: 71.75115966796875
SENSE daab 5 26-04-2019 03:12:26.060 T: 31.38719940185546 [C]; A:[94, 8, 208]; H: 67.12774658203125
SENSE daac 4 26-04-2019 03:12:26.148 T: 30.51359939575195 [C]; A:[0, -68, 192]; H: 68.89013671875
SENSE daaa 6 26-04-2019 03:12:26.476 T: 28.64159965515136 [C]; A:[72, 46, 238]; H: 71.75115966796875
SENSE daab 6 26-04-2019 03:12:26.468 T: 31.38719940185546 [C]; A:[96, 8, 214]; H: 67.12774658203125
SENSE daac 5 26-04-2019 03:12:26.703 T: 30.51359939575195 [C]; A:[0, -66, 198]; H: 68.89013671875
SENSE daab 7 26-04-2019 03:12:26.866 T: 31.44959831237792 [C]; A:[100, 16, 216]; H: 67.12774658203125
SENSE daaa 8 26-04-2019 03:12:27.253 T: 28.64159965515136 [C]; A:[76, 50, 234]; H: 71.75115966796875
SENSE daab 8 26-04-2019 03:12:27.279 T: 31.38719940185546 [C]; A:[92, 8, 216]; H: 67.12774658203125
SENSE daac 6 26-04-2019 03:12:27.223 T: 30.51359939575195 [C]; A:[4, -72, 192]; H: 68.89013671875
SENSE daaa 9 26-04-2019 03:12:27.656 T: 28.70399856567382 [C]; A:[76, 44, 232]; H: 71.75115966796875
SENSE daab 9 26-04-2019 03:12:27.677 T: 31.44959831237792 [C]; A:[98, 12, 218]; H: 67.12774658203125
SENSE daac 7 26-04-2019 03:12:27.798 T: 30.51359939575195 [C]; A:[0, -72, 192]; H: 68.89013671875
SENSE daaa 10 26-04-2019 03:12:28.054 T: 28.64159965515136 [C]; A:[70, 52, 232]; H: 71.75115966796875
SENSE daab 10 26-04-2019 03:12:28.075 T: 31.38719940185546 [C]; A:[94, 10, 208]; H: 67.1048583984375
SENSE daac 8 26-04-2019 03:12:28.358 T: 30.51359939575195 [C]; A:[0, -72, 196]; H: 68.89013671875
SENSE daab 11 26-04-2019 03:12:28.473 T: 31.44959831237792 [C]; A:[96, 10, 210]; H: 67.1048583984375
SENSE daaa 12 26-04-2019 03:12:28.815 T: 28.64159965515136 [C]; A:[76, 46, 236]; H: 71.75115966796875
SENSE daab 12 26-04-2019 03:12:28.871 T: 31.44959831237792 [C]; A:[92, 14, 212]; H: 67.1048583984375
SENSE daac 9 26-04-2019 03:12:28.919 T: 30.51359939575195 [C]; A:[0, -64, 192]; H: 68.89013671875
SENSE daaa 13 26-04-2019 03:12:29.213 T: 28.57919883728027 [C]; A:[76, 50, 238]; H: 71.728271484375
SENSE daab 13 26-04-2019 03:12:29.269 T: 31.38719940185546 [C]; A:[98, 14, 218]; H: 67.1048583984375
SENSE daab 14 26-04-2019 03:12:29.672 T: 31.44959831237792 [C]; A:[96, 8, 216]; H: 67.1048583984375
SENSE daaa 15 26-04-2019 03:12:29.980 T: 28.64159965515136 [C]; A:[78, 48, 230]; H: 71.728271484375
SENSE daac 11 26-04-2019 03:12:30.014 T: 30.51359939575195 [C]; A:[0, -68, 192]; H: 68.89013671875
SENSE daaa 16 26-04-2019 03:12:30.413 T: 28.64159965515136 [C]; A:[76, 50, 234]; H: 71.728271484375
SENSE daab 16 26-04-2019 03:12:30.448 T: 31.38719940185546 [C]; A:[100, 8, 216]; H: 67.0743408203125
SENSE daac 12 26-04-2019 03:12:30.594 T: 30.51359939575195 [C]; A:[0, -68, 190]; H: 68.859619140625
SENSE daab 17 26-04-2019 03:12:30.846 T: 31.44959831237792 [C]; A:[98, 8, 224]; H: 67.0743408203125
SENSE daaa 18 26-04-2019 03:12:31.164 T: 28.64159965515136 [C]; A:[70, 52, 238]; H: 71.728271484375
SENSE daac 13 26-04-2019 03:12:31.144 T: 30.51359939575195 [C]; A:[2, -68, 192]; H: 68.89013671875
SENSE daab 18 26-04-2019 03:12:31.244 T: 31.44959831237792 [C]; A:[96, 12, 214]; H: 67.0743408203125
SENSE daaa 19 26-04-2019 03:12:31.572 T: 28.64159965515136 [C]; A:[76, 50, 230]; H: 71.728271484375
SENSE daab 19 26-04-2019 03:12:31.642 T: 31.44959831237792 [C]; A:[94, 10, 208]; H: 67.0743408203125
SENSE daac 14 26-04-2019 03:12:31.704 T: 30.51359939575195 [C]; A:[0, -72, 192]; H: 68.89013671875
SENSE daaa 20 26-04-2019 03:12:31.970 T: 28.64159965515136 [C]; A:[74, 50, 232]; H: 71.69775390625
SENSE daab 20 26-04-2019 03:12:32.050 T: 31.44959831237792 [C]; A:[96, 8, 220]; H: 67.0743408203125
SENSE daaa 21 26-04-2019 03:12:32.378 T: 28.64159965515136 [C]; A:[70, 52, 236]; H: 71.69775390625
SENSE daac 15 26-04-2019 03:12:32.264 T: 30.51359939575195 [C]; A:[0, -68, 192]; H: 68.89013671875
SENSE daab 21 26-04-2019 03:12:32.453 T: 31.44959831237792 [C]; A:[96, 12, 214]; H: 67.0743408203125
SENSE daaa 22 26-04-2019 03:12:32.781 T: 28.64159965515136 [C]; A:[78, 48, 230]; H: 71.69775390625
SENSE daab 22 26-04-2019 03:12:32.851 T: 31.44959831237792 [C]; A:[96, 8, 218]; H: 67.0743408203125
SENSE daac 16 26-04-2019 03:12:32.845 T: 30.57599830627441 [C]; A:[0, -64, 192]; H: 68.89013671875
SENSE daab 23 26-04-2019 03:12:33.254 T: 31.44959831237792 [C]; A:[94, 12, 206]; H: 67.0743408203125
SENSE daac 17 26-04-2019 03:12:33.405 T: 30.51359939575195 [C]; A:[-8, -70, 194]; H: 68.89013671875
SENSE daaa 24 26-04-2019 03:12:33.552 T: 28.64159965515136 [C]; A:[76, 46, 236]; H: 71.69775390625
SENSE daab 24 26-04-2019 03:12:33.652 T: 31.44959831237792 [C]; A:[94, 12, 214]; H: 67.0743408203125
SENSE daac 19 26-04-2019 03:12:34.475 T: 30.51359939575195 [C]; A:[0, -68, 196]; H: 68.91302490234375
SENSE daaa 27 26-04-2019 03:12:34.713 T: 28.64159965515136 [C]; A:[72, 52, 232]; H: 71.69775390625
SENSE daab 27 26-04-2019 03:12:34.756 T: 31.38719940185546 [C]; A:[100, 8, 212]; H: 67.0438232421875
SENSE daac 20 26-04-2019 03:12:35.035 T: 30.51359939575195 [C]; A:[-4, -70, 194]; H: 68.91302490234375
SENSE daab 28 26-04-2019 03:12:35.169 T: 31.44959831237792 [C]; A:[96, 12, 224]; H: 67.0438232421875
SENSE daaa 29 26-04-2019 03:12:35.478 T: 28.64159965515136 [C]; A:[76, 48, 234]; H: 71.69775390625
