SENSE daab 1 26-04-2019 03:34:19.873 T: 29.01599884033203 [C]; A:[0, 0, 0]; H: 72.45306396484375
SENSE daaa 2 26-04-2019 03:34:20.240 T: 26.64480018615722 [C]; A:[118, 78, 208]; H: 77.19854736328125
SENSE daab 2 26-04-2019 03:34:20.271 T: 29.01599884033203 [C]; A:[86, 2, 222]; H: 72.48358154296875
SENSE daac 2 26-04-2019 03:34:20.400 T: 27.45599937438964 [C]; A:[-28, 0, 196]; H: 76.93914794921875
SENSE daaa 3 26-04-2019 03:34:20.638 T: 26.64480018615722 [C]; A:[122, 72, 208]; H: 77.19854736328125
SENSE daab 3 26-04-2019 03:34:20.679 T: 29.01599884033203 [C]; A:[90, 2, 224]; H: 72.48358154296875
SENSE daaa 4 26-04-2019 03:34:21.036 T: 26.64480018615722 [C]; A:[120, 68, 216]; H: 77.19854736328125
SENSE daac 3 26-04-2019 03:34:20.960 T: 27.45599937438964 [C]; A:[-30, -8, 194]; H: 76.93914794921875
SENSE daab 4 26-04-2019 03:34:21.077 T: 29.01599884033203 [C]; A:[86, 0, 212]; H: 72.48358154296875
SENSE daab 5 26-04-2019 03:34:21.475 T: 29.01599884033203 [C]; A:[88, 2, 222]; H: 72.48358154296875
SENSE daac 4 26-04-2019 03:34:21.520 T: 27.45599937438964 [C]; A:[-32, -12, 192]; H: 76.93914794921875
SENSE daaa 6 26-04-2019 03:34:21.793 T: 26.64480018615722 [C]; A:[120, 70, 216]; H: 77.19854736328125
SENSE daab 6 26-04-2019 03:34:21.878 T: 29.01599884033203 [C]; A:[90, 0, 222]; H: 72.48358154296875
SENSE daac 5 26-04-2019 03:34:22.079 T: 27.39359855651855 [C]; A:[-28, -10, 204]; H: 76.90863037109375
SENSE daab 7 26-04-2019 03:34:22.286 T: 29.01599884033203 [C]; A:[90, 0, 214]; H: 72.48358154296875
SENSE daaa 8 26-04-2019 03:34:22.584 T: 26.64480018615722 [C]; A:[122, 72, 210]; H: 77.19854736328125
SENSE daac 6 26-04-2019 03:34:22.654 T: 27.45599937438964 [C]; A:[-32, -8, 196]; H: 76.93914794921875
SENSE daaa 9 26-04-2019 03:34:22.982 T: 26.64480018615722 [C]; A:[120, 74, 206]; H: 77.19854736328125
SENSE daab 9 26-04-2019 03:34:23.042 T: 29.01599884033203 [C]; A:[80, 2, 228]; H: 72.48358154296875
SENSE daac 7 26-04-2019 03:34:23.214 T: 27.45599937438964 [C]; A:[-30, -12, 198]; H: 76.90863037109375
SENSE daaa 10 26-04-2019 03:34:23.380 T: 26.70719909667968 [C]; A:[116, 74, 206]; H: 77.19854736328125
SENSE daab 10 26-04-2019 03:34:23.440 T: 29.07839965820312 [C]; A:[88, 4, 222]; H: 72.48358154296875
SENSE daaa 11 26-04-2019 03:34:23.778 T: 26.64480018615722 [C]; A:[116, 76, 206]; H: 77.19854736328125
SENSE daac 8 26-04-2019 03:34:23.774 T: 27.45599937438964 [C]; A:[-26, -10, 204]; H: 76.90863037109375
SENSE daab 11 26-04-2019 03:34:23.838 T: 29.01599884033203 [C]; A:[84, -6, 218]; H: 72.48358154296875
SENSE daac 9 26-04-2019 03:34:24.334 T: 27.51840019226074 [C]; A:[-28, -10, 202]; H: 76.90863037109375
SENSE daaa 13 26-04-2019 03:34:24.560 T: 26.64480018615722 [C]; A:[114, 72, 212]; H: 77.16802978515625
SENSE daab 13 26-04-2019 03:34:24.614 T: 29.01599884033203 [C]; A:[84, -10, 218]; H: 72.48358154296875
SENSE daaa 14 26-04-2019 03:34:24.968 T: 26.70719909667968 [C]; A:[118, 72, 214]; H: 77.16802978515625
SENSE daac 10 26-04-2019 03:34:24.894 T: 27.45599937438964 [C]; A:[-32, -10, 196]; H: 76.90863037109375
SENSE daab 14 26-04-2019 03:34:25.018 T: 29.01599884033203 [C]; A:[86, -8, 218]; H: 72.51409912109375
SENSE daab 14 26-04-2019 03:34:25.018 T: 29.01599884033203 [C]; A:[86, -8, 218]; H: 72.51409912109375
SENSE daaa 15 26-04-2019 03:34:25.366 T: 26.64480018615722 [C]; A:[120, 76, 210]; H: 77.16802978515625
SENSE daab 15 26-04-2019 03:34:25.420 T: 29.01599884033203 [C]; A:[90, 4, 232]; H: 72.51409912109375
SENSE daac 11 26-04-2019 03:34:25.464 T: 27.45599937438964 [C]; A:[-30, -10, 206]; H: 76.87811279296875
SENSE daaa 16 26-04-2019 03:34:25.764 T: 26.70719909667968 [C]; A:[116, 70, 210]; H: 77.16802978515625
SENSE daab 16 26-04-2019 03:34:25.833 T: 29.01599884033203 [C]; A:[84, -12, 206]; H: 72.51409912109375
SENSE daac 12 26-04-2019 03:34:26.034 T: 27.45599937438964 [C]; A:[-30, -10, 200]; H: 76.87811279296875
SENSE daaa 17 26-04-2019 03:34:26.162 T: 26.64480018615722 [C]; A:[114, 72, 210]; H: 77.16802978515625
SENSE daab 17 26-04-2019 03:34:26.231 T: 29.01599884033203 [C]; A:[82, -4, 222]; H: 72.51409912109375
SENSE daaa 18 26-04-2019 03:34:26.561 T: 26.64480018615722 [C]; A:[118, 80, 206]; H: 77.16802978515625
SENSE daab 18 26-04-2019 03:34:26.629 T: 29.01599884033203 [C]; A:[86, 0, 222]; H: 72.51409912109375
SENSE daac 13 26-04-2019 03:34:26.594 T: 27.45599937438964 [C]; A:[-30, -8, 198]; H: 76.87811279296875
SENSE daaa 19 26-04-2019 03:34:26.969 T: 26.64480018615722 [C]; A:[122, 72, 216]; H: 77.1451416015625
SENSE daac 14 26-04-2019 03:34:27.154 T: 27.45599937438964 [C]; A:[-26, -6, 200]; H: 76.87811279296875
SENSE daaa 20 26-04-2019 03:34:27.387 T: 26.70719909667968 [C]; A:[122, 74, 212]; H: 77.1451416015625
SENSE daac 15 26-04-2019 03:34:27.713 T: 27.45599937438964 [C]; A:[-28, -14, 200]; H: 76.855224609375
SENSE daab 21 26-04-2019 03:34:27.779 T: 29.01599884033203 [C]; A:[86, -6, 216]; H: 72.51409912109375
SENSE daac 15 26-04-2019 03:34:27.713 T: 27.45599937438964 [C]; A:[-28, -14, 200]; H: 76.855224609375
SENSE daaa 22 26-04-2019 03:34:28.143 T: 26.70719909667968 [C]; A:[120, 72, 210]; H: 77.1451416015625
SENSE daab 22 26-04-2019 03:34:28.186 T: 29.01599884033203 [C]; A:[82, 0, 216]; H: 72.51409912109375
SENSE daab 23 26-04-2019 03:34:28.584 T: 29.01599884033203 [C]; A:[86, 0, 226]; H: 72.5369873046875
SENSE daaa 24 26-04-2019 03:34:28.934 T: 26.70719909667968 [C]; A:[120, 74, 212]; H: 77.1451416015625
SENSE daac 17 26-04-2019 03:34:28.823 T: 27.51840019226074 [C]; A:[-32, -8, 202]; H: 76.855224609375
SENSE daab 24 26-04-2019 03:34:28.982 T: 29.01599884033203 [C]; A:[94, 4, 226]; H: 72.5369873046875
SENSE daab 25 26-04-2019 03:34:29.380 T: 29.07839965820312 [C]; A:[84, -8, 216]; H: 72.5369873046875
SENSE daac 18 26-04-2019 03:34:29.398 T: 27.45599937438964 [C]; A:[-30, -12, 198]; H: 76.855224609375
SENSE daaa 26 26-04-2019 03:34:29.716 T: 26.70719909667968 [C]; A:[120, 78, 212]; H: 77.1146240234375
SENSE daab 26 26-04-2019 03:34:29.778 T: 29.01599884033203 [C]; A:[90, 0, 218]; H: 72.5369873046875
SENSE daac 19 26-04-2019 03:34:29.958 T: 27.51840019226074 [C]; A:[-30, -12, 200]; H: 76.82470703125
SENSE daab 27 26-04-2019 03:34:30.182 T: 29.07839965820312 [C]; A:[82, 2, 224]; H: 72.5675048828125
SENSE daab 28 26-04-2019 03:34:30.579 T: 29.01599884033203 [C]; A:[86, -6, 224]; H: 72.5675048828125
SENSE daaa 29 26-04-2019 03:34:30.871 T: 26.70719909667968 [C]; A:[118, 76, 210]; H: 77.1146240234375
SENSE daac 21 26-04-2019 03:34:31.043 T: 27.51840019226074 [C]; A:[-32, -8, 198]; H: 76.82470703125
SENSE daaa 30 26-04-2019 03:34:31.269 T: 26.70719909667968 [C]; A:[118, 74, 212]; H: 77.1146240234375
SENSE daaa 31 26-04-2019 03:34:31.667 T: 26.76959991455078 [C]; A:[116, 74, 214]; H: 77.1298828125
SENSE daac 22 26-04-2019 03:34:31.603 T: 27.51840019226074 [C]; A:[-26, -12, 202]; H: 76.82470703125
SENSE daab 31 26-04-2019 03:34:31.719 T: 29.01599884033203 [C]; A:[94, 2, 224]; H: 72.59039306640625
SENSE daaa 32 26-04-2019 03:34:32.085 T: 26.70719909667968 [C]; A:[118, 78, 216]; H: 77.09173583984375
SENSE daac 23 26-04-2019 03:34:32.163 T: 27.51840019226074 [C]; A:[-30, -10, 200]; H: 76.82470703125
SENSE daab 33 26-04-2019 03:34:32.485 T: 29.01599884033203 [C]; A:[82, 0, 222]; H: 72.59039306640625
SENSE daab 33 26-04-2019 03:34:32.485 T: 29.01599884033203 [C]; A:[82, 0, 222]; H: 72.59039306640625
SENSE daaa 34 26-04-2019 03:34:32.852 T: 26.70719909667968 [C]; A:[120, 74, 216]; H: 77.1298828125
SENSE daac 24 26-04-2019 03:34:32.733 T: 27.51840019226074 [C]; A:[-26, -10, 202]; H: 76.82470703125
SENSE daaa 35 26-04-2019 03:34:33.250 T: 26.76959991455078 [C]; A:[112, 76, 212]; H: 77.09173583984375
SENSE daab 35 26-04-2019 03:34:33.261 T: 29.01599884033203 [C]; A:[82, -4, 208]; H: 72.62091064453125
SENSE daac 25 26-04-2019 03:34:33.293 T: 27.51840019226074 [C]; A:[-28, -10, 204]; H: 76.82470703125
SENSE daaa 36 26-04-2019 03:34:33.653 T: 26.70719909667968 [C]; A:[114, 76, 208]; H: 77.09173583984375
SENSE daab 36 26-04-2019 03:34:33.659 T: 29.01599884033203 [C]; A:[92, 6, 230]; H: 72.62091064453125
SENSE daac 26 26-04-2019 03:34:33.853 T: 27.51840019226074 [C]; A:[-26, -8, 204]; H: 76.82470703125
SENSE daaa 37 26-04-2019 03:34:34.051 T: 26.76959991455078 [C]; A:[114, 74, 214]; H: 77.1298828125
SENSE daab 37 26-04-2019 03:34:34.057 T: 29.01599884033203 [C]; A:[78, 0, 212]; H: 72.65142822265625
SENSE daaa 38 26-04-2019 03:34:34.449 T: 26.70719909667968 [C]; A:[120, 74, 216]; H: 77.1298828125
SENSE daab 38 26-04-2019 03:34:34.455 T: 29.01599884033203 [C]; A:[86, 0, 212]; H: 72.65142822265625
SENSE daab 39 26-04-2019 03:34:34.853 T: 29.01599884033203 [C]; A:[80, -6, 216]; H: 72.65142822265625
SENSE daac 28 26-04-2019 03:34:34.927 T: 27.51840019226074 [C]; A:[-28, -12, 202]; H: 76.794189453125
SENSE daaa 40 26-04-2019 03:34:35.210 T: 26.70719909667968 [C]; A:[118, 72, 214]; H: 77.09173583984375
SENSE daab 40 26-04-2019 03:34:35.256 T: 29.01599884033203 [C]; A:[86, -8, 210]; H: 72.65142822265625
SENSE daab 41 26-04-2019 03:34:35.664 T: 29.07839965820312 [C]; A:[78, 0, 212]; H: 72.65142822265625
SENSE daaa 42 26-04-2019 03:34:35.987 T: 26.70719909667968 [C]; A:[116, 76, 216]; H: 77.07647705078125
SENSE daab 42 26-04-2019 03:34:36.062 T: 29.01599884033203 [C]; A:[80, -4, 220]; H: 72.65142822265625
SENSE daac 30 26-04-2019 03:34:36.022 T: 27.51840019226074 [C]; A:[-26, -8, 200]; H: 76.77130126953125
SENSE daaa 43 26-04-2019 03:34:36.395 T: 26.70719909667968 [C]; A:[116, 70, 206]; H: 77.07647705078125
SENSE daac 31 26-04-2019 03:34:36.582 T: 27.5807991027832 [C]; A:[-36, -10, 204]; H: 76.77130126953125
SENSE daaa 44 26-04-2019 03:34:36.793 T: 26.76959991455078 [C]; A:[114, 76, 214]; H: 77.07647705078125
SENSE daab 44 26-04-2019 03:34:36.823 T: 29.01599884033203 [C]; A:[82, 0, 210]; H: 72.65142822265625
SENSE daac 32 26-04-2019 03:34:37.147 T: 27.51840019226074 [C]; A:[-34, -4, 200]; H: 76.74078369140625
SENSE daab 45 26-04-2019 03:34:37.221 T: 29.01599884033203 [C]; A:[92, 0, 220]; H: 72.65142822265625
SENSE daaa 46 26-04-2019 03:34:37.564 T: 26.76959991455078 [C]; A:[118, 70, 204]; H: 77.07647705078125
SENSE daab 46 26-04-2019 03:34:37.619 T: 29.01599884033203 [C]; A:[82, 0, 214]; H: 72.65142822265625
SENSE daab 46 26-04-2019 03:34:37.619 T: 29.01599884033203 [C]; A:[82, 0, 214]; H: 72.65142822265625
SENSE daac 33 26-04-2019 03:34:37.707 T: 27.51840019226074 [C]; A:[-34, -14, 192]; H: 76.74078369140625
SENSE daab 47 26-04-2019 03:34:38.037 T: 29.01599884033203 [C]; A:[82, 0, 222]; H: 72.65142822265625
SENSE daab 48 26-04-2019 03:34:38.435 T: 29.07839965820312 [C]; A:[82, 0, 220]; H: 72.65142822265625
SENSE daaa 49 26-04-2019 03:34:38.714 T: 26.76959991455078 [C]; A:[116, 70, 212]; H: 77.04595947265625
SENSE daac 35 26-04-2019 03:34:38.812 T: 27.5807991027832 [C]; A:[-36, -12, 194]; H: 76.71026611328125
SENSE daab 50 26-04-2019 03:34:39.201 T: 29.01599884033203 [C]; A:[88, 0, 224]; H: 72.65142822265625
SENSE daaa 51 26-04-2019 03:34:39.476 T: 26.70719909667968 [C]; A:[120, 74, 212]; H: 77.04595947265625
SENSE daac 36 26-04-2019 03:34:39.372 T: 27.51840019226074 [C]; A:[-30, -10, 200]; H: 76.75604248046875
SENSE daab 51 26-04-2019 03:34:39.599 T: 29.01599884033203 [C]; A:[88, 2, 230]; H: 72.65142822265625
SENSE daaa 52 26-04-2019 03:34:39.874 T: 26.76959991455078 [C]; A:[112, 74, 210]; H: 77.04595947265625
SENSE daab 52 26-04-2019 03:34:39.997 T: 29.07839965820312 [C]; A:[90, 0, 216]; H: 72.65142822265625
SENSE daaa 53 26-04-2019 03:34:40.277 T: 26.76959991455078 [C]; A:[120, 70, 208]; H: 77.04595947265625
SENSE daab 53 26-04-2019 03:34:40.395 T: 29.01599884033203 [C]; A:[86, 0, 222]; H: 72.65142822265625
SENSE daac 38 26-04-2019 03:34:40.461 T: 27.51840019226074 [C]; A:[-34, -4, 202]; H: 76.72552490234375
SENSE daaa 54 26-04-2019 03:34:40.685 T: 26.70719909667968 [C]; A:[118, 76, 208]; H: 77.04595947265625
SENSE daab 54 26-04-2019 03:34:40.814 T: 29.01599884033203 [C]; A:[86, 0, 218]; H: 72.65142822265625
SENSE daaa 55 26-04-2019 03:34:41.083 T: 26.76959991455078 [C]; A:[120, 78, 210]; H: 77.0230712890625
SENSE daac 39 26-04-2019 03:34:41.021 T: 27.51840019226074 [C]; A:[-32, -6, 202]; H: 76.72552490234375
SENSE daab 55 26-04-2019 03:34:41.211 T: 29.01599884033203 [C]; A:[92, -4, 222]; H: 72.62091064453125
SENSE daaa 56 26-04-2019 03:34:41.486 T: 26.76959991455078 [C]; A:[120, 76, 212]; H: 77.0230712890625
SENSE daac 40 26-04-2019 03:34:41.581 T: 27.51840019226074 [C]; A:[-32, -10, 198]; H: 76.70263671875
SENSE daaa 57 26-04-2019 03:34:41.879 T: 26.70719909667968 [C]; A:[120, 72, 210]; H: 77.0230712890625
SENSE daab 57 26-04-2019 03:34:41.978 T: 29.01599884033203 [C]; A:[88, 0, 224]; H: 72.62091064453125
SENSE daaa 58 26-04-2019 03:34:42.273 T: 26.76959991455078 [C]; A:[120, 72, 208]; H: 77.0230712890625
SENSE daac 41 26-04-2019 03:34:42.146 T: 27.51840019226074 [C]; A:[-32, -6, 198]; H: 76.70263671875
SENSE daab 58 26-04-2019 03:34:42.376 T: 29.01599884033203 [C]; A:[84, -2, 218]; H: 72.59039306640625
SENSE daac 42 26-04-2019 03:34:42.711 T: 27.5807991027832 [C]; A:[-30, -12, 206]; H: 76.70263671875
SENSE daab 59 26-04-2019 03:34:42.774 T: 29.01599884033203 [C]; A:[86, -8, 212]; H: 72.59039306640625
SENSE daaa 60 26-04-2019 03:34:43.034 T: 26.76959991455078 [C]; A:[112, 72, 212]; H: 77.0230712890625
SENSE daac 43 26-04-2019 03:34:43.286 T: 27.5807991027832 [C]; A:[-34, -10, 204]; H: 76.672119140625
SENSE daaa 61 26-04-2019 03:34:43.437 T: 26.76959991455078 [C]; A:[120, 74, 210]; H: 77.0230712890625
SENSE daab 61 26-04-2019 03:34:43.580 T: 29.01599884033203 [C]; A:[92, 0, 216]; H: 72.59039306640625
SENSE daaa 62 26-04-2019 03:34:43.840 T: 26.76959991455078 [C]; A:[120, 72, 206]; H: 77.0230712890625
SENSE daac 44 26-04-2019 03:34:43.846 T: 27.5807991027832 [C]; A:[-32, -10, 208]; H: 76.672119140625
SENSE daac 45 26-04-2019 03:34:44.431 T: 27.5807991027832 [C]; A:[-30, -10, 200]; H: 76.6416015625
SENSE daab 64 26-04-2019 03:34:44.704 T: 29.01599884033203 [C]; A:[88, 0, 216]; H: 72.5675048828125
SENSE daab 65 26-04-2019 03:34:45.102 T: 29.07839965820312 [C]; A:[86, 2, 222]; H: 72.5675048828125
SENSE daaa 66 26-04-2019 03:34:45.338 T: 26.76959991455078 [C]; A:[116, 76, 212]; H: 77.0230712890625
SENSE daab 66 26-04-2019 03:34:45.500 T: 29.01599884033203 [C]; A:[76, 0, 220]; H: 72.5369873046875
SENSE daac 47 26-04-2019 03:34:45.521 T: 27.5807991027832 [C]; A:[-32, -10, 200]; H: 76.6416015625
SENSE daaa 67 26-04-2019 03:34:45.747 T: 26.76959991455078 [C]; A:[114, 72, 208]; H: 77.0230712890625
SENSE daaa 68 26-04-2019 03:34:46.165 T: 26.76959991455078 [C]; A:[120, 70, 212]; H: 77.0230712890625
SENSE daac 48 26-04-2019 03:34:46.081 T: 27.5807991027832 [C]; A:[-30, -10, 198]; H: 76.6416015625
SENSE daab 68 26-04-2019 03:34:46.271 T: 29.01599884033203 [C]; A:[94, 2, 218]; H: 72.5369873046875
SENSE daaa 69 26-04-2019 03:34:46.563 T: 26.76959991455078 [C]; A:[122, 72, 214]; H: 77.0230712890625
SENSE daab 69 26-04-2019 03:34:46.669 T: 29.07839965820312 [C]; A:[88, 0, 216]; H: 72.5369873046875
SENSE daaa 70 26-04-2019 03:34:46.961 T: 26.83199882507324 [C]; A:[114, 72, 208]; H: 77.0230712890625
SENSE daab 70 26-04-2019 03:34:47.087 T: 29.07839965820312 [C]; A:[84, 0, 216]; H: 72.5369873046875
SENSE daac 50 26-04-2019 03:34:47.160 T: 27.5807991027832 [C]; A:[-30, -8, 202]; H: 76.611083984375
SENSE daaa 71 26-04-2019 03:34:47.364 T: 26.76959991455078 [C]; A:[114, 74, 212]; H: 77.04595947265625
SENSE daab 71 26-04-2019 03:34:47.495 T: 29.01599884033203 [C]; A:[80, 0, 214]; H: 72.5369873046875
SENSE daab 72 26-04-2019 03:34:47.893 T: 29.01599884033203 [C]; A:[88, 0, 218]; H: 72.5675048828125
SENSE daaa 73 26-04-2019 03:34:48.131 T: 26.76959991455078 [C]; A:[118, 78, 216]; H: 77.04595947265625
SENSE daac 52 26-04-2019 03:34:48.250 T: 27.5807991027832 [C]; A:[-28, -8, 200]; H: 76.611083984375
SENSE daaa 74 26-04-2019 03:34:48.534 T: 26.76959991455078 [C]; A:[116, 76, 212]; H: 77.04595947265625
SENSE daab 74 26-04-2019 03:34:48.665 T: 29.01599884033203 [C]; A:[78, 0, 220]; H: 72.5675048828125
SENSE daab 75 26-04-2019 03:34:49.062 T: 29.01599884033203 [C]; A:[84, -2, 218]; H: 72.5675048828125
SENSE daaa 76 26-04-2019 03:34:49.320 T: 26.83199882507324 [C]; A:[116, 78, 210]; H: 77.04595947265625
SENSE daac 54 26-04-2019 03:34:49.350 T: 27.5807991027832 [C]; A:[-36, -8, 196]; H: 76.611083984375
SENSE daab 76 26-04-2019 03:34:49.460 T: 29.07839965820312 [C]; A:[90, 0, 218]; H: 72.5675048828125
SENSE daac 55 26-04-2019 03:34:49.910 T: 27.5807991027832 [C]; A:[-34, -2, 198]; H: 76.611083984375
SENSE daaa 78 26-04-2019 03:34:50.087 T: 26.83199882507324 [C]; A:[120, 76, 206]; H: 77.04595947265625
SENSE daab 78 26-04-2019 03:34:50.222 T: 29.07839965820312 [C]; A:[84, -4, 214]; H: 72.59039306640625
SENSE daaa 79 26-04-2019 03:34:50.490 T: 26.76959991455078 [C]; A:[120, 76, 208]; H: 77.04595947265625
SENSE daac 56 26-04-2019 03:34:50.470 T: 27.6431999206543 [C]; A:[-34, -10, 198]; H: 76.58819580078125
SENSE daad 46 26-04-2019 03:34:45.194 T: 27.8927993774414 [C]; A:[-8, 14, 230]; H: 74.2154541015625
SENSE daab 80 26-04-2019 03:34:50.988 T: 29.07839965820312 [C]; A:[86, 0, 214]; H: 72.59039306640625
SENSE daad 47 26-04-2019 03:34:45.592 T: 27.8927993774414 [C]; A:[-8, 20, 230]; H: 74.2154541015625
SENSE daaa 81 26-04-2019 03:34:51.261 T: 26.76959991455078 [C]; A:[122, 70, 208]; H: 77.04595947265625
SENSE daab 81 26-04-2019 03:34:51.391 T: 29.07839965820312 [C]; A:[86, 0, 214]; H: 72.59039306640625
SENSE daac 57 26-04-2019 03:34:51.430 T: 27.6431999206543 [C]; A:[-34, -10, 200]; H: 76.58819580078125
SENSE daaa 82 26-04-2019 03:34:51.659 T: 26.83199882507324 [C]; A:[112, 74, 210]; H: 77.0230712890625
SENSE daab 82 26-04-2019 03:34:51.794 T: 29.07839965820312 [C]; A:[92, 0, 218]; H: 72.59039306640625
SENSE daac 58 26-04-2019 03:34:51.989 T: 27.6431999206543 [C]; A:[-30, -12, 200]; H: 76.55767822265625
SENSE daab 83 26-04-2019 03:34:52.192 T: 29.07839965820312 [C]; A:[80, -8, 208]; H: 72.59039306640625
SENSE daaa 84 26-04-2019 03:34:52.416 T: 26.83199882507324 [C]; A:[116, 78, 210]; H: 77.0230712890625
SENSE daac 59 26-04-2019 03:34:52.560 T: 27.6431999206543 [C]; A:[-32, -10, 202]; H: 76.55767822265625
SENSE daaa 85 26-04-2019 03:34:52.814 T: 26.83199882507324 [C]; A:[116, 74, 214]; H: 76.9925537109375
SENSE daab 85 26-04-2019 03:34:52.953 T: 29.07839965820312 [C]; A:[84, -8, 222]; H: 72.65142822265625
SENSE daac 60 26-04-2019 03:34:53.119 T: 27.6431999206543 [C]; A:[-30, -14, 194]; H: 76.55767822265625
SENSE daab 86 26-04-2019 03:34:53.351 T: 29.07839965820312 [C]; A:[86, 0, 218]; H: 72.704833984375
SENSE daaa 87 26-04-2019 03:34:53.581 T: 26.83199882507324 [C]; A:[120, 70, 212]; H: 76.9925537109375
SENSE daab 87 26-04-2019 03:34:53.749 T: 29.07839965820312 [C]; A:[82, 0, 220]; H: 72.7353515625
SENSE daac 61 26-04-2019 03:34:53.684 T: 27.5807991027832 [C]; A:[-40, -8, 198]; H: 76.5347900390625
SENSE daaa 88 26-04-2019 03:34:53.983 T: 26.76959991455078 [C]; A:[114, 78, 204]; H: 76.9620361328125
SENSE daab 88 26-04-2019 03:34:54.182 T: 29.07839965820312 [C]; A:[80, -8, 216]; H: 72.765869140625
SENSE daab 89 26-04-2019 03:34:54.580 T: 29.07839965820312 [C]; A:[86, 0, 216]; H: 72.78875732421875
SENSE daaa 90 26-04-2019 03:34:54.750 T: 26.76959991455078 [C]; A:[114, 76, 222]; H: 76.9620361328125
SENSE daac 63 26-04-2019 03:34:54.809 T: 27.70559883117675 [C]; A:[-32, -6, 206]; H: 76.5042724609375
SENSE daab 90 26-04-2019 03:34:54.978 T: 29.07839965820312 [C]; A:[88, 2, 224]; H: 72.78875732421875
SENSE daaa 91 26-04-2019 03:34:55.148 T: 26.83199882507324 [C]; A:[116, 74, 216]; H: 76.9620361328125
SENSE daab 91 26-04-2019 03:34:55.376 T: 29.07839965820312 [C]; A:[82, -2, 220]; H: 72.78875732421875
SENSE daac 64 26-04-2019 03:34:55.379 T: 27.6431999206543 [C]; A:[-30, -14, 228]; H: 76.4737548828125
SENSE daaa 92 26-04-2019 03:34:55.551 T: 26.83199882507324 [C]; A:[116, 76, 230]; H: 76.93914794921875
SENSE daab 92 26-04-2019 03:34:55.774 T: 29.07839965820312 [C]; A:[82, -6, 216]; H: 72.81927490234375
SENSE daaa 93 26-04-2019 03:34:55.954 T: 26.83199882507324 [C]; A:[114, 72, 214]; H: 76.93914794921875
SENSE daac 66 26-04-2019 03:34:56.473 T: 27.6431999206543 [C]; A:[-30, -14, 204]; H: 76.45086669921875
SENSE daaa 95 26-04-2019 03:34:56.736 T: 26.83199882507324 [C]; A:[118, 74, 206]; H: 76.90863037109375
SENSE daab 95 26-04-2019 03:34:56.898 T: 29.07839965820312 [C]; A:[90, -2, 216]; H: 72.857421875
SENSE daaa 96 26-04-2019 03:34:57.134 T: 26.76959991455078 [C]; A:[118, 78, 206]; H: 76.90863037109375
SENSE daac 67 26-04-2019 03:34:57.063 T: 27.6431999206543 [C]; A:[-32, -10, 200]; H: 76.45086669921875
