SENSE daaa 1 26-04-2019 04:40:10.844 T: 32.5103988647461 [C]; A:[0, 0, 0]; H: 63.610595703125
SENSE daac 1 26-04-2019 04:40:10.846 T: 29.82719993591308 [C]; A:[0, -8, 202]; H: 68.951171875
SENSE daaa 2 26-04-2019 04:40:11.199 T: 32.5103988647461 [C]; A:[72, -14, 226]; H: 63.610595703125
SENSE daac 2 26-04-2019 04:40:11.318 T: 29.88959884643554 [C]; A:[0, -10, 196]; H: 68.951171875
SENSE daad 1 26-04-2019 04:40:11.060 T: 30.26399993896484 [C]; A:[0, 18, 228]; H: 66.6318359375
SENSE daaa 3 26-04-2019 04:40:11.640 T: 32.5103988647461 [C]; A:[72, -20, 222]; H: 63.580078125
SENSE daac 3 26-04-2019 04:40:11.754 T: 29.88959884643554 [C]; A:[0, -8, 210]; H: 68.951171875
SENSE daaa 4 26-04-2019 04:40:12.069 T: 32.447998046875 [C]; A:[72, -20, 224]; H: 63.580078125
SENSE daac 4 26-04-2019 04:40:12.172 T: 29.88959884643554 [C]; A:[0, -8, 210]; H: 68.951171875
SENSE daad 2 26-04-2019 04:40:12.100 T: 30.26399993896484 [C]; A:[0, 12, 232]; H: 66.6318359375
SENSE daaa 5 26-04-2019 04:40:12.501 T: 32.5103988647461 [C]; A:[72, -18, 222]; H: 63.580078125
SENSE daac 5 26-04-2019 04:40:12.629 T: 29.88959884643554 [C]; A:[-6, -10, 196]; H: 68.951171875
SENSE daaa 6 26-04-2019 04:40:12.938 T: 32.447998046875 [C]; A:[74, -18, 228]; H: 63.580078125
SENSE daac 6 26-04-2019 04:40:13.047 T: 29.88959884643554 [C]; A:[0, -8, 200]; H: 68.981689453125
SENSE daad 3 26-04-2019 04:40:12.969 T: 30.26399993896484 [C]; A:[0, 14, 232]; H: 66.662353515625
SENSE daaa 7 26-04-2019 04:40:13.381 T: 32.5103988647461 [C]; A:[72, -22, 226]; H: 63.580078125
SENSE daac 7 26-04-2019 04:40:13.485 T: 29.88959884643554 [C]; A:[0, -10, 200]; H: 68.981689453125
SENSE daaa 8 26-04-2019 04:40:13.819 T: 32.5103988647461 [C]; A:[68, -22, 224]; H: 63.580078125
SENSE daac 8 26-04-2019 04:40:13.902 T: 29.82719993591308 [C]; A:[0, -8, 202]; H: 68.981689453125
SENSE daad 4 26-04-2019 04:40:13.828 T: 30.26399993896484 [C]; A:[0, 18, 230]; H: 66.662353515625
SENSE daaa 9 26-04-2019 04:40:14.252 T: 32.5103988647461 [C]; A:[78, -20, 222]; H: 63.580078125
SENSE daac 9 26-04-2019 04:40:14.350 T: 29.82719993591308 [C]; A:[0, -10, 200]; H: 68.981689453125
SENSE daaa 10 26-04-2019 04:40:14.671 T: 32.5103988647461 [C]; A:[72, -20, 224]; H: 63.580078125
SENSE daad 5 26-04-2019 04:40:14.707 T: 30.20159912109375 [C]; A:[0, 20, 232]; H: 66.662353515625
SENSE daaa 11 26-04-2019 04:40:15.113 T: 32.5103988647461 [C]; A:[76, -20, 224]; H: 63.580078125
SENSE daad 6 26-04-2019 04:40:15.094 T: 30.26399993896484 [C]; A:[0, 14, 230]; H: 66.662353515625
SENSE daaa 12 26-04-2019 04:40:15.571 T: 32.5103988647461 [C]; A:[68, -18, 218]; H: 63.580078125
SENSE daad 7 26-04-2019 04:40:15.472 T: 30.26399993896484 [C]; A:[0, 16, 228]; H: 66.662353515625
SENSE daab 1 26-04-2019 04:40:10.835 T: 29.01599884033203 [C]; A:[6, 98, 234]; H: 68.82147216796875
SENSE daaa 13 26-04-2019 04:40:15.956 T: 32.5103988647461 [C]; A:[76, -20, 224]; H: 63.610595703125
SENSE daad 8 26-04-2019 04:40:15.904 T: 30.26399993896484 [C]; A:[0, 12, 230]; H: 66.662353515625
SENSE daab 2 26-04-2019 04:40:16.092 T: 29.01599884033203 [C]; A:[22, 94, 230]; H: 68.79095458984375
SENSE daaa 14 26-04-2019 04:40:16.298 T: 32.5103988647461 [C]; A:[72, -24, 220]; H: 63.610595703125
SENSE daad 9 26-04-2019 04:40:16.316 T: 30.20159912109375 [C]; A:[0, 12, 228]; H: 66.69287109375
SENSE daab 3 26-04-2019 04:40:16.505 T: 29.07839965820312 [C]; A:[16, 98, 230]; H: 68.79095458984375
SENSE daaa 15 26-04-2019 04:40:16.711 T: 32.5103988647461 [C]; A:[72, -22, 230]; H: 63.610595703125
SENSE daad 10 26-04-2019 04:40:16.728 T: 30.26399993896484 [C]; A:[0, 18, 232]; H: 66.69287109375
SENSE daab 4 26-04-2019 04:40:16.918 T: 29.07839965820312 [C]; A:[18, 94, 230]; H: 68.79095458984375
