SENSE daaa 1 24-04-2019 06:07:00.317 T: 30.3887996673584 [C]; A:[0, 0, 0]; H: 68.4476318359375
SENSE daab 1 24-04-2019 06:07:00.315 T: 30.76319885253906 [C]; A:[0, 0, 0]; H: 65.6400146484375
SENSE daac 1 24-04-2019 06:07:00.313 T: 30.6383991241455 [C]; A:[-24, 56, 168]; H: 69.43182373046875
SENSE daad 1 24-04-2019 06:07:00.311 T: 29.57759857177734 [C]; A:[0, -76, 208]; H: 71.7740478515625
SENSE daaa 2 24-04-2019 06:07:00.646 T: 30.3887996673584 [C]; A:[0, 0, 226]; H: 68.4476318359375
SENSE daab 2 24-04-2019 06:07:00.644 T: 30.76319885253906 [C]; A:[42, 26, 242]; H: 65.6400146484375
SENSE daac 2 24-04-2019 06:07:00.642 T: 30.6383991241455 [C]; A:[-24, 56, 190]; H: 69.43182373046875
SENSE daad 2 24-04-2019 06:07:00.642 T: 29.63999938964843 [C]; A:[2, -74, 210]; H: 71.7740478515625
SENSE daaa 3 24-04-2019 06:07:00.979 T: 30.3887996673584 [C]; A:[0, 0, 230]; H: 68.4476318359375
SENSE daab 3 24-04-2019 06:07:00.978 T: 30.82559967041015 [C]; A:[42, 28, 244]; H: 65.6400146484375
SENSE daac 3 24-04-2019 06:07:00.974 T: 30.6383991241455 [C]; A:[-32, 56, 192]; H: 69.43182373046875
SENSE daad 3 24-04-2019 06:07:00.973 T: 29.63999938964843 [C]; A:[0, -68, 220]; H: 71.7740478515625
SENSE daaa 4 24-04-2019 06:07:01.308 T: 30.3887996673584 [C]; A:[0, 0, 224]; H: 68.48577880859375
SENSE daab 4 24-04-2019 06:07:01.308 T: 30.76319885253906 [C]; A:[44, 26, 246]; H: 65.6400146484375
SENSE daac 4 24-04-2019 06:07:01.306 T: 30.6383991241455 [C]; A:[-28, 56, 194]; H: 69.43182373046875
SENSE daad 4 24-04-2019 06:07:01.306 T: 29.57759857177734 [C]; A:[4, -74, 212]; H: 71.7740478515625
SENSE daaa 5 24-04-2019 06:07:01.643 T: 30.3887996673584 [C]; A:[-4, 0, 238]; H: 68.48577880859375
SENSE daab 5 24-04-2019 06:07:01.642 T: 30.76319885253906 [C]; A:[42, 26, 244]; H: 65.6400146484375
SENSE daac 5 24-04-2019 06:07:01.640 T: 30.6383991241455 [C]; A:[-26, 52, 194]; H: 69.43182373046875
SENSE daad 5 24-04-2019 06:07:01.641 T: 29.57759857177734 [C]; A:[2, -70, 206]; H: 71.7740478515625
SENSE daaa 6 24-04-2019 06:07:01.980 T: 30.3887996673584 [C]; A:[0, -6, 230]; H: 68.45526123046875
SENSE daab 6 24-04-2019 06:07:01.978 T: 30.82559967041015 [C]; A:[40, 30, 242]; H: 65.5789794921875
SENSE daac 6 24-04-2019 06:07:01.975 T: 30.57599830627441 [C]; A:[-32, 56, 188]; H: 69.43182373046875
SENSE daad 6 24-04-2019 06:07:01.975 T: 29.57759857177734 [C]; A:[4, -74, 212]; H: 71.7740478515625
SENSE daaa 7 24-04-2019 06:07:02.312 T: 30.3887996673584 [C]; A:[0, 0, 216]; H: 68.45526123046875
SENSE daab 7 24-04-2019 06:07:02.310 T: 30.82559967041015 [C]; A:[52, 26, 250]; H: 65.5789794921875
SENSE daac 7 24-04-2019 06:07:02.307 T: 30.6383991241455 [C]; A:[-30, 60, 192]; H: 69.43182373046875
SENSE daad 7 24-04-2019 06:07:02.310 T: 29.57759857177734 [C]; A:[2, -70, 212]; H: 71.7740478515625
SENSE daaa 8 24-04-2019 06:07:02.653 T: 30.3887996673584 [C]; A:[0, 0, 232]; H: 68.45526123046875
SENSE daab 8 24-04-2019 06:07:02.650 T: 30.82559967041015 [C]; A:[44, 28, 244]; H: 65.5789794921875
SENSE daac 8 24-04-2019 06:07:02.646 T: 30.6383991241455 [C]; A:[-30, 60, 192]; H: 69.43182373046875
SENSE daad 8 24-04-2019 06:07:02.646 T: 29.57759857177734 [C]; A:[2, -72, 214]; H: 71.7740478515625
SENSE daaa 9 24-04-2019 06:07:02.980 T: 30.3887996673584 [C]; A:[0, 0, 226]; H: 68.45526123046875
SENSE daab 9 24-04-2019 06:07:02.980 T: 30.76319885253906 [C]; A:[40, 26, 248]; H: 65.5789794921875
SENSE daac 9 24-04-2019 06:07:02.976 T: 30.6383991241455 [C]; A:[-26, 54, 192]; H: 69.43182373046875
SENSE daad 9 24-04-2019 06:07:02.976 T: 29.57759857177734 [C]; A:[0, -72, 210]; H: 71.7740478515625
SENSE daaa 10 24-04-2019 06:07:03.314 T: 30.3887996673584 [C]; A:[0, -6, 232]; H: 68.45526123046875
SENSE daab 10 24-04-2019 06:07:03.315 T: 30.76319885253906 [C]; A:[40, 28, 248]; H: 65.5789794921875
SENSE daac 10 24-04-2019 06:07:03.312 T: 30.6383991241455 [C]; A:[-28, 56, 192]; H: 69.43182373046875
SENSE daad 10 24-04-2019 06:07:03.316 T: 29.57759857177734 [C]; A:[0, -74, 224]; H: 71.7740478515625
SENSE daaa 11 24-04-2019 06:07:03.652 T: 30.3887996673584 [C]; A:[4, -6, 228]; H: 68.42474365234375
SENSE daab 11 24-04-2019 06:07:03.650 T: 30.82559967041015 [C]; A:[40, 24, 244]; H: 65.5789794921875
