SENSE daaa 1 23-04-2019 21:34:36.524 T: 31.63679885864257 [C]; A:[0, 0, 0]; H: 65.807861328125
SENSE daab 1 23-04-2019 21:34:36.519 T: 31.63679885864257 [C]; A:[0, 0, 0]; H: 67.02093505859375
SENSE daaa 2 23-04-2019 21:34:36.988 T: 31.57439994812011 [C]; A:[-64, -44, 232]; H: 65.807861328125
SENSE daab 2 23-04-2019 21:34:37.211 T: 31.57439994812011 [C]; A:[58, -16, 224]; H: 66.99041748046875
SENSE daaa 3 23-04-2019 21:34:37.565 T: 31.63679885864257 [C]; A:[-64, -42, 238]; H: 65.807861328125
SENSE daab 3 23-04-2019 21:34:37.787 T: 31.57439994812011 [C]; A:[52, -16, 224]; H: 66.99041748046875
SENSE daaa 4 23-04-2019 21:34:38.142 T: 31.63679885864257 [C]; A:[-64, -48, 240]; H: 65.77734375
SENSE daab 4 23-04-2019 21:34:38.373 T: 31.57439994812011 [C]; A:[58, -18, 226]; H: 66.99041748046875
SENSE daaa 5 23-04-2019 21:34:38.719 T: 31.57439994812011 [C]; A:[-66, -40, 230]; H: 65.77734375
SENSE daab 5 23-04-2019 21:34:38.939 T: 31.57439994812011 [C]; A:[52, -16, 222]; H: 66.99041748046875
SENSE daaa 6 23-04-2019 21:34:39.292 T: 31.57439994812011 [C]; A:[-66, -48, 240]; H: 65.77734375
SENSE daac 1 23-04-2019 21:34:36.519 T: 30.82559967041015 [C]; A:[12, -78, 192]; H: 70.02691650390625
SENSE daaa 7 23-04-2019 21:34:39.870 T: 31.63679885864257 [C]; A:[-62, -52, 240]; H: 65.71630859375
SENSE daac 2 23-04-2019 21:34:40.040 T: 30.82559967041015 [C]; A:[6, -80, 214]; H: 70.08795166015625
SENSE daaa 8 23-04-2019 21:34:40.447 T: 31.57439994812011 [C]; A:[-56, -52, 224]; H: 65.685791015625
SENSE daac 3 23-04-2019 21:34:40.621 T: 30.82559967041015 [C]; A:[8, -80, 214]; H: 70.08795166015625
SENSE daaa 9 23-04-2019 21:34:41.019 T: 31.63679885864257 [C]; A:[-64, -44, 236]; H: 65.685791015625
SENSE daac 4 23-04-2019 21:34:41.192 T: 30.82559967041015 [C]; A:[12, -80, 212]; H: 70.08795166015625
SENSE daaa 10 23-04-2019 21:34:41.596 T: 31.63679885864257 [C]; A:[-60, -42, 240]; H: 65.6552734375
