SENSE daaa 1 24-04-2019 09:05:52.434 T: 31.01279830932617 [C]; A:[0, 0, 0]; H: 61.81768798828125
SENSE daab 1 24-04-2019 09:05:52.432 T: 30.26399993896484 [C]; A:[0, 0, 0]; H: 65.81549072265625
SENSE daac 1 24-04-2019 09:05:52.429 T: 30.88799858093261 [C]; A:[232, 78, 22]; H: 63.29779052734375
SENSE daad 1 24-04-2019 09:05:52.426 T: 32.57279968261718 [C]; A:[-4, 68, 230]; H: 62.05419921875
SENSE daaa 2 24-04-2019 09:05:52.764 T: 31.01279830932617 [C]; A:[86, -24, 230]; H: 61.81768798828125
SENSE daab 2 24-04-2019 09:05:52.764 T: 30.26399993896484 [C]; A:[-26, -40, 230]; H: 65.78497314453125
SENSE daac 2 24-04-2019 09:05:52.760 T: 30.88799858093261 [C]; A:[234, 84, 12]; H: 63.27490234375
SENSE daad 2 24-04-2019 09:05:52.759 T: 32.57279968261718 [C]; A:[0, 68, 234]; H: 62.05419921875
SENSE daaa 3 24-04-2019 09:05:53.097 T: 31.07519912719726 [C]; A:[90, -20, 234]; H: 61.84820556640625
SENSE daab 3 24-04-2019 09:05:53.096 T: 30.26399993896484 [C]; A:[-26, -36, 222]; H: 65.7620849609375
SENSE daac 3 24-04-2019 09:05:53.094 T: 30.88799858093261 [C]; A:[242, 74, 18]; H: 63.244384765625
SENSE daad 3 24-04-2019 09:05:53.092 T: 32.5103988647461 [C]; A:[0, 64, 222]; H: 62.05419921875
SENSE daaa 4 24-04-2019 09:05:53.432 T: 31.07519912719726 [C]; A:[84, -18, 230]; H: 61.84820556640625
SENSE daab 4 24-04-2019 09:05:53.430 T: 30.26399993896484 [C]; A:[-22, -38, 226]; H: 65.7620849609375
SENSE daac 4 24-04-2019 09:05:53.428 T: 30.88799858093261 [C]; A:[240, 84, 18]; H: 63.244384765625
SENSE daad 4 24-04-2019 09:05:53.424 T: 32.5103988647461 [C]; A:[0, 68, 226]; H: 62.05419921875
SENSE daaa 5 24-04-2019 09:05:53.762 T: 31.07519912719726 [C]; A:[86, -18, 228]; H: 61.87872314453125
SENSE daab 5 24-04-2019 09:05:53.760 T: 30.26399993896484 [C]; A:[-22, -44, 228]; H: 65.7620849609375
SENSE daac 5 24-04-2019 09:05:53.758 T: 30.95039939880371 [C]; A:[236, 80, 18]; H: 63.244384765625
SENSE daad 5 24-04-2019 09:05:53.756 T: 32.57279968261718 [C]; A:[-16, 72, 232]; H: 62.05419921875
SENSE daaa 6 24-04-2019 09:05:54.096 T: 31.07519912719726 [C]; A:[88, -24, 234]; H: 61.84820556640625
SENSE daab 6 24-04-2019 09:05:54.093 T: 30.3263988494873 [C]; A:[-20, -42, 230]; H: 65.7315673828125
SENSE daac 6 24-04-2019 09:05:54.090 T: 30.88799858093261 [C]; A:[240, 82, 20]; H: 63.244384765625
SENSE daad 6 24-04-2019 09:05:54.087 T: 32.5103988647461 [C]; A:[-6, 64, 234]; H: 62.05419921875
SENSE daaa 7 24-04-2019 09:05:54.426 T: 31.07519912719726 [C]; A:[90, -16, 230]; H: 61.84820556640625
SENSE daab 7 24-04-2019 09:05:54.425 T: 30.26399993896484 [C]; A:[-26, -38, 228]; H: 65.7315673828125
SENSE daac 7 24-04-2019 09:05:54.422 T: 30.88799858093261 [C]; A:[236, 80, 26]; H: 63.244384765625
SENSE daad 7 24-04-2019 09:05:54.432 T: 32.5103988647461 [C]; A:[0, 62, 226]; H: 62.023681640625
SENSE daaa 8 24-04-2019 09:05:54.763 T: 31.01279830932617 [C]; A:[88, -20, 230]; H: 61.84820556640625
SENSE daab 8 24-04-2019 09:05:54.763 T: 30.3263988494873 [C]; A:[-24, -44, 226]; H: 65.7010498046875
SENSE daac 8 24-04-2019 09:05:54.761 T: 30.88799858093261 [C]; A:[234, 80, 20]; H: 63.244384765625
SENSE daad 8 24-04-2019 09:05:54.759 T: 32.57279968261718 [C]; A:[0, 64, 228]; H: 62.023681640625
SENSE daaa 9 24-04-2019 09:05:55.096 T: 31.01279830932617 [C]; A:[88, -22, 236]; H: 61.84820556640625
SENSE daab 9 24-04-2019 09:05:55.099 T: 30.3263988494873 [C]; A:[-32, -40, 230]; H: 65.746826171875
SENSE daac 9 24-04-2019 09:05:55.097 T: 30.88799858093261 [C]; A:[238, 80, 24]; H: 63.244384765625
SENSE daad 9 24-04-2019 09:05:55.094 T: 32.5103988647461 [C]; A:[-6, 68, 228]; H: 61.9931640625
SENSE daaa 10 24-04-2019 09:05:55.433 T: 31.07519912719726 [C]; A:[88, -18, 230]; H: 61.84820556640625
SENSE daab 10 24-04-2019 09:05:55.433 T: 30.3263988494873 [C]; A:[-28, -36, 218]; H: 65.746826171875
SENSE daac 10 24-04-2019 09:05:55.431 T: 30.88799858093261 [C]; A:[240, 74, 18]; H: 63.244384765625
SENSE daad 10 24-04-2019 09:05:55.427 T: 32.57279968261718 [C]; A:[0, 64, 232]; H: 61.9931640625
SENSE daaa 11 24-04-2019 09:05:55.767 T: 31.01279830932617 [C]; A:[92, -24, 234]; H: 61.84820556640625
SENSE daab 11 24-04-2019 09:05:55.767 T: 30.3263988494873 [C]; A:[-28, -38, 222]; H: 65.71630859375
SENSE daac 11 24-04-2019 09:05:55.765 T: 30.88799858093261 [C]; A:[236, 80, 30]; H: 63.244384765625
SENSE daad 11 24-04-2019 09:05:55.763 T: 32.57279968261718 [C]; A:[0, 64, 234]; H: 61.93212890625
SENSE daaa 12 24-04-2019 09:05:56.101 T: 31.01279830932617 [C]; A:[86, -16, 234]; H: 61.84820556640625
SENSE daab 12 24-04-2019 09:05:56.100 T: 30.3263988494873 [C]; A:[-26, -36, 230]; H: 65.685791015625
SENSE daac 12 24-04-2019 09:05:56.098 T: 30.88799858093261 [C]; A:[236, 84, 22]; H: 63.244384765625
SENSE daad 12 24-04-2019 09:05:56.096 T: 32.57279968261718 [C]; A:[-4, 68, 226]; H: 61.901611328125
SENSE daaa 13 24-04-2019 09:05:56.436 T: 31.01279830932617 [C]; A:[88, -22, 232]; H: 61.84820556640625
SENSE daab 13 24-04-2019 09:05:56.435 T: 30.3263988494873 [C]; A:[-28, -34, 220]; H: 65.66290283203125
SENSE daac 13 24-04-2019 09:05:56.434 T: 30.88799858093261 [C]; A:[234, 80, 20]; H: 63.27490234375
SENSE daad 13 24-04-2019 09:05:56.432 T: 32.5103988647461 [C]; A:[0, 66, 226]; H: 61.87109375
