SENSE daaa 1 24-04-2019 09:20:30.822 T: 32.1983985900879 [C]; A:[20, -36, 248]; H: 58.239501953125
SENSE daab 1 24-04-2019 09:20:30.821 T: 32.8847999572754 [C]; A:[-20, -20, 256]; H: 58.99481201171875
SENSE daac 1 24-04-2019 09:20:30.819 T: 29.45279884338378 [C]; A:[240, 82, 24]; H: 64.25909423828125
SENSE daad 1 24-04-2019 09:20:30.816 T: 31.44959831237792 [C]; A:[-16, 64, 232]; H: 62.19915771484375
SENSE daaa 2 24-04-2019 09:20:31.153 T: 32.1359977722168 [C]; A:[22, -44, 246]; H: 58.208984375
SENSE daab 2 24-04-2019 09:20:31.153 T: 32.94720077514648 [C]; A:[-22, -22, 228]; H: 58.99481201171875
SENSE daac 2 24-04-2019 09:20:31.149 T: 29.45279884338378 [C]; A:[230, 78, 20]; H: 64.25909423828125
SENSE daad 2 24-04-2019 09:20:31.146 T: 31.44959831237792 [C]; A:[2, 56, 226]; H: 62.19915771484375
SENSE daaa 3 24-04-2019 09:20:31.483 T: 32.1983985900879 [C]; A:[24, -48, 246]; H: 58.208984375
SENSE daab 3 24-04-2019 09:20:31.483 T: 32.94720077514648 [C]; A:[-16, -24, 226]; H: 58.99481201171875
SENSE daac 3 24-04-2019 09:20:31.480 T: 29.45279884338378 [C]; A:[236, 80, 24]; H: 64.25909423828125
SENSE daad 3 24-04-2019 09:20:31.479 T: 31.44959831237792 [C]; A:[0, 60, 226]; H: 62.19915771484375
SENSE daaa 4 24-04-2019 09:20:31.816 T: 32.1983985900879 [C]; A:[22, -48, 238]; H: 58.178466796875
SENSE daab 4 24-04-2019 09:20:31.816 T: 32.94720077514648 [C]; A:[-18, -22, 226]; H: 58.99481201171875
SENSE daac 4 24-04-2019 09:20:31.814 T: 29.45279884338378 [C]; A:[236, 78, 30]; H: 64.22857666015625
SENSE daad 4 24-04-2019 09:20:31.812 T: 31.44959831237792 [C]; A:[-4, 62, 230]; H: 62.19915771484375
SENSE daaa 5 24-04-2019 09:20:32.151 T: 32.1983985900879 [C]; A:[24, -50, 242]; H: 58.178466796875
SENSE daab 5 24-04-2019 09:20:32.150 T: 32.94720077514648 [C]; A:[-20, -18, 228]; H: 58.99481201171875
SENSE daac 5 24-04-2019 09:20:32.148 T: 29.45279884338378 [C]; A:[236, 82, 22]; H: 64.19805908203125
SENSE daad 5 24-04-2019 09:20:32.145 T: 31.44959831237792 [C]; A:[4, 62, 238]; H: 62.1915283203125
SENSE daaa 6 24-04-2019 09:20:32.482 T: 32.1983985900879 [C]; A:[24, -44, 242]; H: 58.14794921875
SENSE daab 6 24-04-2019 09:20:32.480 T: 32.94720077514648 [C]; A:[-20, -22, 228]; H: 58.99481201171875
SENSE daac 6 24-04-2019 09:20:32.477 T: 29.45279884338378 [C]; A:[240, 84, 30]; H: 64.19805908203125
