SENSE daaa 1 24-04-2019 21:20:50.628 T: 30.76319885253906 [C]; A:[48, -6, 224]; H: 67.41766357421875
SENSE daab 1 24-04-2019 21:20:50.629 T: 26.89439964294433 [C]; A:[14, -52, 242]; H: 71.84271240234375
SENSE daac 1 24-04-2019 21:20:50.623 T: 27.76799964904785 [C]; A:[60, 22, 224]; H: 75.4056396484375
SENSE daaa 2 24-04-2019 21:20:50.983 T: 30.76319885253906 [C]; A:[50, -4, 232]; H: 67.4710693359375
SENSE daab 2 24-04-2019 21:20:51.029 T: 26.89439964294433 [C]; A:[14, -48, 240]; H: 71.81219482421875
SENSE daac 2 24-04-2019 21:20:51.091 T: 27.76799964904785 [C]; A:[58, 28, 224]; H: 75.4056396484375
SENSE daaa 3 24-04-2019 21:20:51.346 T: 30.76319885253906 [C]; A:[52, 0, 224]; H: 67.52447509765625
SENSE daab 3 24-04-2019 21:20:51.427 T: 26.89439964294433 [C]; A:[10, -48, 240]; H: 71.81219482421875
SENSE daac 3 24-04-2019 21:20:51.498 T: 27.76799964904785 [C]; A:[66, 20, 226]; H: 75.4056396484375
SENSE daaa 4 24-04-2019 21:20:51.749 T: 30.76319885253906 [C]; A:[48, -4, 224]; H: 67.58551025390625
SENSE daab 4 24-04-2019 21:20:51.835 T: 26.89439964294433 [C]; A:[12, -46, 246]; H: 71.81219482421875
SENSE daac 4 24-04-2019 21:20:51.905 T: 27.76799964904785 [C]; A:[58, 26, 220]; H: 75.4056396484375
SENSE daaa 5 24-04-2019 21:20:52.162 T: 30.82559967041015 [C]; A:[54, -8, 228]; H: 67.67706298828125
SENSE daab 5 24-04-2019 21:20:52.243 T: 26.89439964294433 [C]; A:[14, -50, 240]; H: 71.81219482421875
SENSE daac 5 24-04-2019 21:20:52.312 T: 27.76799964904785 [C]; A:[62, 28, 220]; H: 75.4056396484375
SENSE daaa 6 24-04-2019 21:20:52.566 T: 30.76319885253906 [C]; A:[54, 0, 232]; H: 67.638916015625
SENSE daab 6 24-04-2019 21:20:52.651 T: 26.89439964294433 [C]; A:[8, -42, 242]; H: 71.79693603515625
SENSE daac 6 24-04-2019 21:20:52.720 T: 27.76799964904785 [C]; A:[76, 22, 240]; H: 75.3751220703125
SENSE daaa 7 24-04-2019 21:20:52.969 T: 30.82559967041015 [C]; A:[54, -6, 226]; H: 67.638916015625
SENSE daab 7 24-04-2019 21:20:53.055 T: 26.89439964294433 [C]; A:[16, -50, 244]; H: 71.7587890625
SENSE daac 7 24-04-2019 21:20:53.118 T: 27.76799964904785 [C]; A:[60, 20, 238]; H: 75.2835693359375
SENSE daaa 8 24-04-2019 21:20:53.372 T: 30.76319885253906 [C]; A:[52, -6, 224]; H: 67.55499267578125
SENSE daab 8 24-04-2019 21:20:53.462 T: 26.9567985534668 [C]; A:[14, -48, 248]; H: 71.79693603515625
SENSE daac 8 24-04-2019 21:20:53.524 T: 27.83039855957031 [C]; A:[58, 22, 226]; H: 75.24542236328125
SENSE daaa 9 24-04-2019 21:20:53.775 T: 30.76319885253906 [C]; A:[54, -8, 224]; H: 67.52447509765625
SENSE daab 9 24-04-2019 21:20:53.865 T: 26.89439964294433 [C]; A:[14, -48, 238]; H: 71.79693603515625
SENSE daac 9 24-04-2019 21:20:53.926 T: 27.76799964904785 [C]; A:[64, 16, 222]; H: 75.2835693359375
SENSE daaa 10 24-04-2019 21:20:54.178 T: 30.82559967041015 [C]; A:[54, -6, 226]; H: 67.5626220703125
SENSE daab 10 24-04-2019 21:20:54.253 T: 26.9567985534668 [C]; A:[16, -48, 244]; H: 71.79693603515625
SENSE daac 10 24-04-2019 21:20:54.324 T: 27.76799964904785 [C]; A:[58, 20, 224]; H: 75.3751220703125
SENSE daaa 11 24-04-2019 21:20:54.581 T: 30.82559967041015 [C]; A:[54, -8, 224]; H: 67.61602783203125
SENSE daab 11 24-04-2019 21:20:54.666 T: 26.89439964294433 [C]; A:[14, -46, 246]; H: 71.79693603515625
SENSE daac 11 24-04-2019 21:20:54.731 T: 27.76799964904785 [C]; A:[58, 24, 224]; H: 75.4056396484375
SENSE daaa 12 24-04-2019 21:20:54.994 T: 30.82559967041015 [C]; A:[44, 0, 234]; H: 67.67706298828125
SENSE daab 12 24-04-2019 21:20:55.074 T: 26.9567985534668 [C]; A:[14, -50, 240]; H: 71.79693603515625
SENSE daac 12 24-04-2019 21:20:55.138 T: 27.83039855957031 [C]; A:[62, 24, 222]; H: 75.4056396484375
SENSE daaa 13 24-04-2019 21:20:55.397 T: 30.82559967041015 [C]; A:[48, -8, 226]; H: 67.73046875
SENSE daab 13 24-04-2019 21:20:55.477 T: 26.89439964294433 [C]; A:[12, -46, 244]; H: 71.79693603515625
SENSE daad 1 24-04-2019 21:20:50.611 T: 27.45599937438964 [C]; A:[0, 20, 248]; H: 73.04052734375
SENSE daaa 14 24-04-2019 21:20:55.796 T: 30.82559967041015 [C]; A:[50, -10, 226]; H: 67.760986328125
SENSE daab 14 24-04-2019 21:20:55.886 T: 26.89439964294433 [C]; A:[16, -46, 244]; H: 71.79693603515625
SENSE daad 2 24-04-2019 21:20:55.887 T: 27.45599937438964 [C]; A:[4, 6, 242]; H: 73.315185546875
SENSE daaa 15 24-04-2019 21:20:56.198 T: 30.82559967041015 [C]; A:[48, 0, 232]; H: 67.78387451171875
SENSE daab 15 24-04-2019 21:20:56.284 T: 26.9567985534668 [C]; A:[14, -50, 242]; H: 71.79693603515625
SENSE daad 3 24-04-2019 21:20:56.285 T: 27.45599937438964 [C]; A:[6, 8, 242]; H: 73.315185546875
SENSE daaa 16 24-04-2019 21:20:56.601 T: 30.82559967041015 [C]; A:[52, -8, 228]; H: 67.84490966796875
SENSE daab 16 24-04-2019 21:20:56.687 T: 26.9567985534668 [C]; A:[14, -50, 244]; H: 71.79693603515625
SENSE daad 4 24-04-2019 21:20:56.694 T: 27.45599937438964 [C]; A:[6, 6, 240]; H: 73.315185546875
SENSE daaa 17 24-04-2019 21:20:57.004 T: 30.82559967041015 [C]; A:[54, -6, 226]; H: 67.9288330078125
SENSE daab 17 24-04-2019 21:20:57.090 T: 26.9567985534668 [C]; A:[14, -46, 246]; H: 71.79693603515625
SENSE daad 5 24-04-2019 21:20:57.092 T: 27.45599937438964 [C]; A:[2, 8, 240]; H: 73.315185546875
SENSE daaa 18 24-04-2019 21:20:57.407 T: 30.82559967041015 [C]; A:[54, -4, 226]; H: 67.98223876953125
SENSE daab 18 24-04-2019 21:20:57.493 T: 26.9567985534668 [C]; A:[18, -50, 246]; H: 71.79693603515625
SENSE daad 6 24-04-2019 21:20:57.491 T: 27.45599937438964 [C]; A:[4, 8, 240]; H: 73.315185546875
SENSE daaa 19 24-04-2019 21:20:57.810 T: 30.82559967041015 [C]; A:[50, -6, 230]; H: 68.04327392578125
SENSE daab 19 24-04-2019 21:20:57.886 T: 26.9567985534668 [C]; A:[18, -50, 242]; H: 71.76641845703125
SENSE daad 7 24-04-2019 21:20:57.890 T: 27.39359855651855 [C]; A:[4, 8, 240]; H: 73.315185546875
SENSE daaa 20 24-04-2019 21:20:58.209 T: 30.88799858093261 [C]; A:[54, -8, 232]; H: 68.066162109375
SENSE daab 20 24-04-2019 21:20:58.295 T: 26.9567985534668 [C]; A:[16, -50, 246]; H: 71.76641845703125
SENSE daad 8 24-04-2019 21:20:58.293 T: 27.51840019226074 [C]; A:[6, 8, 236]; H: 73.315185546875
SENSE daaa 21 24-04-2019 21:20:58.606 T: 30.88799858093261 [C]; A:[48, -8, 226]; H: 68.127197265625
SENSE daab 21 24-04-2019 21:20:58.687 T: 26.9567985534668 [C]; A:[18, -48, 242]; H: 71.73590087890625
SENSE daad 9 24-04-2019 21:20:58.691 T: 27.45599937438964 [C]; A:[6, 8, 240]; H: 73.29229736328125
SENSE daaa 22 24-04-2019 21:20:59.004 T: 30.88799858093261 [C]; A:[52, -6, 230]; H: 68.127197265625
